"sampleName","taxon","type","degdays","counts","fracBySample"
"HLR1BCS","c__4C0d_2","Rib",0,1,0.00015701051970482
"HLR1BCS","c__Bacilli","Rib",0,602,0.0945203328623018
"HLR1BCS","c__Bacteroidia","Rib",0,1,0.00015701051970482
"HLR1BCS","c__Betaproteobacteria","Rib",0,49,0.00769351546553619
"HLR1BCS","c__Clostridia","Rib",0,12,0.00188412623645784
"HLR1BCS","c__Deltaproteobacteria","Rib",0,1,0.00015701051970482
"HLR1BCS","c__Flavobacteriia","Rib",0,153,0.0240226095148375
"HLR1BCS","c__Gammaproteobacteria","Rib",0,5530,0.868268173967656
"HLR1BCS","c__Holophagae","Rib",0,0,0
"HLR1BCS","c__Ignavibacteria","Rib",0,0,0
"HLR1BCS","c__Spirochaetes","Rib",0,0,0
"HLR1BCS","Rare","Rib",0,20,0.0031402103940964
"HLR1C10CS","c__4C0d_2","Rib",2496,115,0.01874185136897
"HLR1C10CS","c__Bacilli","Rib",2496,130,0.0211864406779661
"HLR1C10CS","c__Bacteroidia","Rib",2496,428,0.0697522816166884
"HLR1C10CS","c__Betaproteobacteria","Rib",2496,26,0.00423728813559322
"HLR1C10CS","c__Clostridia","Rib",2496,2552,0.415906127770535
"HLR1C10CS","c__Deltaproteobacteria","Rib",2496,179,0.0291720990873533
"HLR1C10CS","c__Flavobacteriia","Rib",2496,1,0.000162972620599739
"HLR1C10CS","c__Gammaproteobacteria","Rib",2496,374,0.0609517601043025
"HLR1C10CS","c__Holophagae","Rib",2496,1585,0.258311603650587
"HLR1C10CS","c__Ignavibacteria","Rib",2496,10,0.00162972620599739
"HLR1C10CS","c__Spirochaetes","Rib",2496,536,0.0873533246414602
"HLR1C10CS","Rare","Rib",2496,200,0.0325945241199478
"HLR1C11CS","c__4C0d_2","Rib",2784,243,0.0419037765131919
"HLR1C11CS","c__Bacilli","Rib",2784,25,0.00431108811864114
"HLR1C11CS","c__Bacteroidia","Rib",2784,695,0.119848249698224
"HLR1C11CS","c__Betaproteobacteria","Rib",2784,27,0.00465597516813244
"HLR1C11CS","c__Clostridia","Rib",2784,3558,0.613554061045008
"HLR1C11CS","c__Deltaproteobacteria","Rib",2784,156,0.0269011898603207
"HLR1C11CS","c__Flavobacteriia","Rib",2784,0,0
"HLR1C11CS","c__Gammaproteobacteria","Rib",2784,47,0.00810484566304535
"HLR1C11CS","c__Holophagae","Rib",2784,530,0.0913950681151923
"HLR1C11CS","c__Ignavibacteria","Rib",2784,13,0.0022417658216934
"HLR1C11CS","c__Spirochaetes","Rib",2784,430,0.0741507156406277
"HLR1C11CS","Rare","Rib",2784,75,0.0129332643559234
"HLR1C12CS","c__4C0d_2","Rib",3103,79,0.0131316489361702
"HLR1C12CS","c__Bacilli","Rib",3103,11,0.00182845744680851
"HLR1C12CS","c__Bacteroidia","Rib",3103,878,0.14594414893617
