"type","taxon"
"Rib","f__Aeromonadaceae"
"Rib","f__Bacteroidaceae"
"Rib","f__Carnobacteriaceae"
"Rib","f__Clostridiaceae"
"Rib","f__Comamonadaceae"
"Rib","f__Enterobacteriaceae"
"Rib","f__Enterococcaceae"
"Rib","f__Flavobacteriaceae"
"Rib","f__Holophagaceae"
"Rib","f__Lachnospiraceae"
"Rib","f__Mogibacteriaceae"
"Rib","f__Moraxellaceae"
"Rib","f__p_2534_18B5"
"Rib","f__Peptostreptococcaceae"
"Rib","f__Porphyromonadaceae"
"Rib","f__Pseudomonadaceae"
"Rib","f__Rhodocyclaceae"
"Rib","f__Rikenellaceae"
"Rib","f__Ruminococcaceae"
"Rib","f__Shewanellaceae"
"Rib","f__Spirochaetaceae"
"Rib","f__Syntrophomonadaceae"
"Rib","f__Tissierellaceae"
"Rib","f__Veillonellaceae"
"Scapula","f__Aeromonadaceae"
"Scapula","f__Bacteroidaceae"
"Scapula","f__Campylobacteraceae"
"Scapula","f__Carnobacteriaceae"
"Scapula","f__Clostridiaceae"
"Scapula","f__Comamonadaceae"
"Scapula","f__Crenotrichaceae"
"Scapula","f__Desulfobulbaceae"
"Scapula","f__Enterobacteriaceae"
"Scapula","f__Enterococcaceae"
"Scapula","f__Erysipelotrichaceae"
"Scapula","f__Flavobacteriaceae"
"Scapula","f__Geobacteraceae"
"Scapula","f__Holophagaceae"
"Scapula","f__JTB215"
"Scapula","f__Lachnospiraceae"
"Scapula","f__Mogibacteriaceae"
"Scapula","f__Moraxellaceae"
"Scapula","f__Oxalobacteraceae"
"Scapula","f__Peptostreptococcaceae"
"Scapula","f__Phormidiaceae"
"Scapula","f__Pirellulaceae"
"Scapula","f__Porphyromonadaceae"
"Scapula","f__Pseudomonadaceae"
"Scapula","f__Rhodocyclaceae"
"Scapula","f__Rhodospirillaceae"
"Scapula","f__Rikenellaceae"
"Scapula","f__Ruminococcaceae"
"Scapula","f__Sediment_4"
"Scapula","f__Shewanellaceae"
"Scapula","f__Spirochaetaceae"
"Scapula","f__Syntrophomonadaceae"
"Scapula","f__Tissierellaceae"
"Scapula","f__Veillonellaceae"
"Water","f__ACK_M1"
"Water","f__auto67_4W"
"Water","f__Caulobacteraceae"
"Water","f__Cerasicoccaceae"
"Water","f__Chitinophagaceae"
"Water","f__Chthoniobacteraceae"
"Water","f__Clostridiaceae"
"Water","f__Comamonadaceae"
"Water","f__Crenotrichaceae"
"Water","f__Cryomorphaceae"
"Water","f__Cytophagaceae"
"Water","f__Flavobacteriaceae"
"Water","f__Gemmataceae"
"Water","f__Geobacteraceae"
"Water","f__Holophagaceae"
"Water","f__Isosphaeraceae"
"Water","f__Methylococcaceae"
"Water","f__Methylophilaceae"
"Water","f__Microbacteriaceae"
"Water","f__Nostocaceae"
"Water","f__OM27"
"Water","f__Opitutaceae"
"Water","f__Oxalobacteraceae"
"Water","f__Pelagibacteraceae"
"Water","f__Phormidiaceae"
"Water","f__Porphyromonadaceae"
"Water","f__Pseudomonadaceae"
"Water","f__R4_41B"
"Water","f__Rhodocyclaceae"
"Water","f__Rhodospirillaceae"
"Water","f__Verrucomicrobiaceae"
