"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
0,"R1","R1",0,386.34995,-386.34995
0,"R1","R2",0,368.615461111111,-368.615461111111
0,"R1","R3",0,388.217694444444,-388.217694444444
0,"R1","R4",0,361.096394444444,-361.096394444444
0,"R1","R5",0,410.813677777778,-410.813677777778
0,"R1","R1",249,342.485122222222,-93.4851222222222
0,"R1","R1",489,575.436483333333,-86.4364833333328
0,"R1","R1",727,981.99545,-254.99545
0,"R1","R1",989,1330.87546111111,-341.875461111111
0,"R1","R1",1242,1636.91322777778,-394.913227777777
0,"R1","R1",1490,1974.90693333333,-484.906933333332
0,"R1","R1",1738,1369.24838333333,368.751616666668
0,"R1","R1",1980,2409.45070555556,-429.450705555556
0,"R1","R1",2224,3963.11592222223,-1739.11592222223
0,"R1","R1",2496,3430.91604444445,-934.916044444447
0,"R1","R1",2784,2954.92457777778,-170.924577777777
0,"R1","R1",3103,2574.22769444444,528.772305555558
0,"R1","R1",3434,3272.89578888889,161.104211111111
0,"R1","R1",3666,3984.17607777778,-318.176077777783
0,"R1","R1",3962,4168.93013888889,-206.930138888892
0,"R1","R1",4229,3826.16754444444,402.83245555556
0,"R1","R1",4527,4135.48127777778,391.518722222218
0,"R1","R1",4863,4255.60943333334,607.390566666659
0,"R1","R1",5200,4399.42773333333,800.572266666668
0,"R2","R1",0,365.609061111111,-365.609061111111
0,"R2","R2",0,357.478922222222,-357.478922222222
0,"R2","R3",0,371.234505555556,-371.234505555556
0,"R2","R4",0,344.904361111111,-344.904361111111
0,"R2","R5",0,400.980572222222,-400.980572222222
0,"R2","R2",249,412.08125,-163.08125
0,"R2","R2",489,498.757194444445,-9.75719444444479
0,"R2","R2",727,815.813249999999,-88.8132499999988
0,"R2","R2",989,884.075794444444,104.924205555556
0,"R2","R2",1242,1849.00336111111,-607.003361111112
0,"R2","R2",1490,1922.27916111111,-432.279161111111
0,"R2","R2",1738,1650.96936111111,87.0306388888894
0,"R2","R2",1980,2654.55175555556,-674.551755555556
0,"R2","R2",2224,3355.47128888889,-1131.47128888889
0,"R2","R2",2496,3074.27372777778,-578.273727777779
0,"R2","R2",2784,2524.46281111111,259.537188888893
0,"R2","R2",3103,2946.62950555555,156.370494444445
0,"R2","R2",3434,3700.37462777778,-266.374627777778
0,"R2","R2",3666,3358.13308888889,307.866911111108
