"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
249,"R1","R1",249,1038.27201111111,-789.272011111114
249,"R1","R2",249,890.734194444447,-641.734194444447
249,"R1","R3",249,801.914516666668,-552.914516666668
249,"R1","R4",249,1105.27169444445,-856.271694444447
249,"R1","R5",249,877.498511111114,-628.498511111114
249,"R1","R1",489,724.465144444445,-235.465144444445
249,"R1","R1",727,948.78718888889,-221.78718888889
249,"R1","R1",989,1610.50577777778,-621.505777777779
249,"R1","R1",1242,1475.68875555556,-233.688755555557
249,"R1","R1",1490,1480.19227222222,9.80772777777815
249,"R1","R1",1738,1715.35537222222,22.6446277777761
249,"R1","R1",1980,1927.45085,52.549150000001
249,"R1","R1",2224,2544.96159444444,-320.961594444442
249,"R1","R1",2496,4477.02759444445,-1981.02759444445
249,"R1","R1",2784,3347.92188333333,-563.921883333331
249,"R1","R1",3103,2954.19981111111,148.800188888891
249,"R1","R1",3434,3970.57448888889,-536.574488888893
249,"R1","R1",3666,4186.57352777778,-520.573527777777
249,"R1","R1",3962,4242.41976666666,-280.419766666657
249,"R1","R1",4229,4115.00398333332,113.996016666675
249,"R1","R1",4527,4250.24019444444,276.759805555562
249,"R1","R1",4863,4331.05487777777,531.945122222227
249,"R1","R1",5200,4337.81266111112,862.187338888879
249,"R2","R1",249,840.761627777779,-591.761627777779
249,"R2","R2",249,776.270294444445,-527.270294444445
249,"R2","R3",249,786.033555555557,-537.033555555557
249,"R2","R4",249,912.955622222225,-663.955622222225
249,"R2","R5",249,758.96398888889,-509.96398888889
249,"R2","R2",489,600.583855555556,-111.583855555556
249,"R2","R2",727,830.716905555556,-103.716905555556
249,"R2","R2",989,1155.99316666666,-166.993166666665
249,"R2","R2",1242,1889.51836666667,-647.518366666666
249,"R2","R2",1490,1696.04252777778,-206.042527777776
249,"R2","R2",1738,1679.38845,58.611550000001
249,"R2","R2",1980,1881.24335,98.7566500000009
249,"R2","R2",2224,2097.24332222222,126.756677777777
249,"R2","R2",2496,2364.20994444444,131.790055555559
