"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
249,"S1","S1",249,696.75465,-447.75465
249,"S1","S2",249,728.186605555555,-479.186605555555
249,"S1","S3",249,801.280083333333,-552.280083333333
249,"S1","S4",249,777.986777777778,-528.986777777778
249,"S1","S5",249,696.579744444443,-447.579744444443
249,"S1","S1",489,692.553888888889,-203.553888888889
249,"S1","S1",727,763.286772222221,-36.2867722222213
249,"S1","S1",989,1387.77359444445,-398.773594444447
249,"S1","S1",1242,1552.95613333334,-310.956133333336
249,"S1","S1",1490,1165.9906,324.009399999998
249,"S1","S1",1738,2288.39545,-550.395449999998
249,"S1","S1",1980,2227.27908333333,-247.27908333333
249,"S1","S1",2224,3085.28217777778,-861.282177777784
249,"S1","S1",2496,2388.45781666667,107.542183333333
249,"S1","S1",3103,2375.83228333333,727.167716666667
249,"S1","S1",3434,3131.51355555556,302.486444444442
249,"S1","S1",3666,4029.10540555555,-363.105405555554
249,"S1","S1",3962,4199.22603888889,-237.226038888885
249,"S1","S1",4229,3947.27528333334,281.724716666662
249,"S1","S1",4527,3530.05095555556,996.949044444444
249,"S1","S1",4863,4463.84682222222,399.15317777778
249,"S1","S1",5200,4675.49742777778,524.50257222222
249,"S2","S1",249,741.735477777778,-492.735477777778
249,"S2","S2",249,809.399916666667,-560.399916666667
249,"S2","S3",249,855.066005555556,-606.066005555556
249,"S2","S4",249,847.415716666667,-598.415716666667
249,"S2","S5",249,765.038938888889,-516.038938888889
249,"S2","S2",489,657.685966666666,-168.685966666666
249,"S2","S2",727,910.289744444444,-183.289744444444
249,"S2","S2",989,1089.99145555556,-100.991455555556
249,"S2","S2",1242,1398.5612,-156.561199999999
249,"S2","S2",1490,1790.84963888889,-300.849638888889
249,"S2","S2",1980,2369.42321111111,-389.42321111111
249,"S2","S2",2224,2251.94547777778,-27.945477777776
249,"S2","S2",2496,2291.73307222222,204.266927777778
249,"S2","S2",2784,2540.18778888889,243.812211111114
249,"S2","S2",3103,2712.85339444444,390.146605555557
249,"S2","S2",3434,3654.03932222223,-220.039322222228
249,"S2","S2",3666,2717.44172222222,948.558277777784
249,"S2","S2",3962,4228.2499388889,-266.249938888897
249,"S2","S2",4229,3976.27514444444,252.724855555556
249,"S2","S2",4527,4438.48212222222,88.5178777777792
249,"S2","S2",4863,4535.84396666667,327.156033333333
249,"S2","S2",5200,4516.82426666667,683.175733333333
249,"S3","S1",249,715.25635,-466.25635
249,"S3","S2",249,739.056877777778,-490.056877777778
249,"S3","S3",249,983.950555555556,-734.950555555556
249,"S3","S4",249,969.143150000001,-720.143150000001
249,"S3","S5",249,730.207472222222,-481.207472222222
249,"S3","S3",489,904.954294444445,-415.954294444445
249,"S3","S3",727,1078.93931666667,-351.939316666668
249,"S3","S3",989,933.414027777777,55.5859722222231
249,"S3","S3",1242,1646.67616666667,-404.676166666668
249,"S3","S3",1490,1361.76888888889,128.231111111111
249,"S3","S3",1738,1598.58569444445,139.414305555554
249,"S3","S3",1980,1755.46921666667,224.530783333334
249,"S3","S3",2224,2633.73907222222,-409.739072222224
249,"S3","S3",2496,2695.62322222222,-199.623222222223
249,"S3","S3",2784,3044.13475,-260.134750000001
249,"S3","S3",3434,3313.3935,120.606500000001
249,"S3","S3",3666,3666.1388611111,-0.13886111110196
249,"S3","S3",3962,4174.63527222222,-212.635272222224
249,"S3","S3",4229,4100.97431111111,128.02568888889
249,"S3","S3",4863,4184.95715555556,678.042844444438
249,"S3","S3",5200,4516.29058888889,683.709411111113
249,"S4","S1",249,654.696077777778,-405.696077777778
249,"S4","S2",249,734.451494444444,-485.451494444444
249,"S4","S3",249,861.385722222223,-612.385722222223
249,"S4","S4",249,810.382477777778,-561.382477777778
249,"S4","S5",249,692.778194444444,-443.778194444444
249,"S4","S4",489,614.107016666667,-125.107016666667
249,"S4","S4",727,722.148283333333,4.85171666666679
249,"S4","S4",989,1133.14249444444,-144.142494444444
249,"S4","S4",1242,1236.95373333333,5.04626666666718
249,"S4","S4",1490,1157.61965,332.38035
249,"S4","S4",1980,2911.03055,-931.030549999999
249,"S4","S4",2224,2208.08605,15.9139500000006
249,"S4","S4",2496,2529.90132222222,-33.9013222222184
249,"S4","S4",2784,2416.69481111111,367.30518888889
249,"S4","S4",3103,3232.06788333333,-129.067883333334
249,"S4","S4",3666,3585.52592777779,80.474072222215
249,"S4","S4",3962,4165.22239444444,-203.222394444442
249,"S4","S4",4229,4308.532,-79.5319999999974
249,"S4","S4",4527,4340.51451111112,186.485488888883
249,"S4","S4",4863,4513.78298333334,349.217016666665
249,"S5","S1",249,626.564383333333,-377.564383333333
249,"S5","S2",249,705.1428,-456.1428
249,"S5","S3",249,742.387238888889,-493.387238888889
249,"S5","S4",249,735.351383333333,-486.351383333333
249,"S5","S5",249,702.922088888889,-453.922088888889
249,"S5","S5",489,629.325905555556,-140.325905555556
249,"S5","S5",727,1137.94363333333,-410.943633333333
249,"S5","S5",989,1319.4936,-330.4936
249,"S5","S5",1242,1669.76933888889,-427.769338888888
249,"S5","S5",1490,1364.58957222222,125.410427777779
249,"S5","S5",1738,1397.97422222222,340.025777777777
249,"S5","S5",1980,1825.14831111111,154.851688888889
249,"S5","S5",2224,2036.43693333333,187.563066666668
249,"S5","S5",2784,2771.32618888889,12.6738111111094
249,"S5","S5",3103,3551.65276666667,-448.652766666667
249,"S5","S5",3434,3182.0273,251.972699999998
249,"S5","S5",3666,4119.44969444444,-453.44969444444
249,"S5","S5",3962,4191.50865,-229.508650000002
249,"S5","S5",4229,3762.66807777778,466.331922222222
249,"S5","S5",4527,4320.834,206.166000000001
249,"S5","S5",4863,4499.17302222222,363.82697777778
249,"S5","S5",5200,4714.75832222222,485.241677777777
489,"S1","S1",249,460.491438888889,-211.491438888889
489,"S1","S1",489,798.110972222223,-309.110972222223
489,"S1","S2",489,780.439505555557,-291.439505555557
489,"S1","S3",489,725.521977777778,-236.521977777778
489,"S1","S4",489,703.859944444445,-214.859944444445
489,"S1","S5",489,727.164927777778,-238.164927777778
489,"S1","S1",727,736.333716666667,-9.33371666666653
489,"S1","S1",989,1211.58428888889,-222.58428888889
489,"S1","S1",1242,1543.93678888889,-301.936788888889
489,"S1","S1",1490,1148.83236666667,341.167633333333
489,"S1","S1",1738,2357.46663888889,-619.466638888888
489,"S1","S1",1980,2237.79027222222,-257.790272222222
489,"S1","S1",2224,3115.30582222222,-891.305822222225
489,"S1","S1",2496,2402.42701666666,93.5729833333357
489,"S1","S1",3103,2339.72548333333,763.274516666666
489,"S1","S1",3434,3093.66539444444,340.334605555556
489,"S1","S1",3666,4052.75823888889,-386.75823888889
489,"S1","S1",3962,4178.19604444444,-216.196044444444
489,"S1","S1",4229,3947.41562222222,281.58437777778
489,"S1","S1",4527,3458.13754444444,1068.86245555556
489,"S1","S1",4863,4464.11665,398.883350000002
489,"S1","S1",5200,4671.54487222222,528.455127777783
489,"S2","S2",249,328.870322222222,-79.8703222222219
489,"S2","S1",489,848.352583333334,-359.352583333334
489,"S2","S2",489,856.115022222223,-367.115022222223
489,"S2","S3",489,677.875488888888,-188.875488888888
489,"S2","S4",489,736.740166666666,-247.740166666666
489,"S2","S5",489,719.977588888888,-230.977588888888
489,"S2","S2",727,841.209244444444,-114.209244444444
489,"S2","S2",989,1035.87948333333,-46.8794833333332
489,"S2","S2",1242,1358.98113333333,-116.981133333335
489,"S2","S2",1490,1785.34111111111,-295.34111111111
489,"S2","S2",1980,2352.46805555556,-372.468055555556
489,"S2","S2",2224,2270.78036666667,-46.7803666666705
489,"S2","S2",2496,2318.49312222222,177.506877777776
489,"S2","S2",2784,2527.40341666666,256.596583333337
489,"S2","S2",3103,2717.09008333334,385.909916666662
489,"S2","S2",3434,3641.1535,-207.153500000003
489,"S2","S2",3666,2710.8336,955.166400000003
489,"S2","S2",3962,4217.73621111111,-255.736211111108
489,"S2","S2",4229,3953.37685,275.623150000002
489,"S2","S2",4527,4438.83662222222,88.163377777777
489,"S2","S2",4863,4539.89352777778,323.106472222222
489,"S2","S2",5200,4520.57836111111,679.421638888885
489,"S3","S3",249,530.220294444444,-281.220294444444
489,"S3","S1",489,983.020122222223,-494.020122222223
489,"S3","S2",489,1024.21422777778,-535.21422777778
489,"S3","S3",489,874.669961111112,-385.669961111112
489,"S3","S4",489,884.043972222223,-395.043972222223
489,"S3","S5",489,823.504455555556,-334.504455555556
489,"S3","S3",727,902.140877777778,-175.140877777778
489,"S3","S3",989,912.055772222222,76.9442277777775
489,"S3","S3",1242,1633.1698,-391.1698
489,"S3","S3",1490,1379.48752777778,110.512472222222
489,"S3","S3",1738,1641.26807777778,96.7319222222225
489,"S3","S3",1980,1809.65120555556,170.348794444445
489,"S3","S3",2224,2630.70617222222,-406.706172222224
489,"S3","S3",2496,2766.35665555555,-270.356655555553
489,"S3","S3",2784,3036.42464444444,-252.424644444444
489,"S3","S3",3434,3358.51628888889,75.4837111111065
489,"S3","S3",3666,3671.36363888889,-5.36363888888673
489,"S3","S3",3962,4200.21867222223,-238.218672222226
489,"S3","S3",4229,4101.00405555556,127.995944444442
489,"S3","S3",4863,4198.83398333334,664.166016666656
489,"S3","S3",5200,4522.31212222223,677.687877777773
489,"S4","S4",249,596.074238888889,-347.074238888889
489,"S4","S1",489,921.718894444445,-432.718894444445
489,"S4","S2",489,978.943572222222,-489.943572222222
489,"S4","S3",489,809.503866666666,-320.503866666666
489,"S4","S4",489,790.150527777777,-301.150527777777
489,"S4","S5",489,850.832716666667,-361.832716666667
489,"S4","S4",727,909.64645,-182.64645
489,"S4","S4",989,1192.45272777778,-203.452727777779
489,"S4","S4",1242,1319.00857777778,-77.0085777777776
489,"S4","S4",1490,1300.14837777778,189.851622222222
489,"S4","S4",1980,2885.01066111111,-905.010661111111
489,"S4","S4",2224,2212.20093888889,11.799061111109
489,"S4","S4",2496,2555.73740555555,-59.7374055555538
489,"S4","S4",2784,2445.99717777778,338.00282222222
489,"S4","S4",3103,3215.34943333334,-112.34943333334
489,"S4","S4",3666,3582.57604444445,83.4239555555537
489,"S4","S4",3962,4154.53225555555,-192.532255555555
489,"S4","S4",4229,4312.69271111111,-83.6927111111072
489,"S4","S4",4527,4353.71645555556,173.283544444442
489,"S4","S4",4863,4515.22737777778,347.772622222221
489,"S5","S5",249,407.842233333333,-158.842233333333
489,"S5","S1",489,808.177155555556,-319.177155555556
489,"S5","S2",489,662.1342,-173.1342
489,"S5","S3",489,612.125105555555,-123.125105555555
489,"S5","S4",489,663.78565,-174.78565
489,"S5","S5",489,683.799477777777,-194.799477777777
489,"S5","S5",727,1158.70023333333,-431.700233333334
489,"S5","S5",989,1331.32882777778,-342.328827777777
489,"S5","S5",1242,1669.04168888889,-427.04168888889
489,"S5","S5",1490,1355.38669444444,134.613305555555
489,"S5","S5",1738,1428.2578,309.742200000001
489,"S5","S5",1980,1816.97116111111,163.028838888887
489,"S5","S5",2224,2009.85945,214.140549999998
489,"S5","S5",2784,2765.76192777778,18.2380722222215
489,"S5","S5",3103,3561.67771666666,-458.677716666659
489,"S5","S5",3434,3213.06299999999,220.937000000007
489,"S5","S5",3666,4122.58921111111,-456.589211111107
489,"S5","S5",3962,4200.93652777778,-238.936527777779
489,"S5","S5",4229,3692.56572777777,536.434272222226
489,"S5","S5",4527,4366.85063888888,160.149361111115
489,"S5","S5",4863,4501.49136666666,361.508633333337
489,"S5","S5",5200,4709.07427777778,490.925722222222
727,"S1","S1",249,374.97395,-125.97395
727,"S1","S1",489,564.191833333334,-75.1918333333335
727,"S1","S1",727,757.549555555556,-30.5495555555558
727,"S1","S2",727,883.24333888889,-156.24333888889
727,"S1","S3",727,700.324472222222,26.6755277777777
727,"S1","S4",727,613.0431,113.9569
727,"S1","S5",727,1083.41795,-356.417950000001
727,"S1","S1",989,1214.04129444444,-225.041294444445
727,"S1","S1",1242,1549.53042222222,-307.530422222223
727,"S1","S1",1490,1116.41977777778,373.580222222221
727,"S1","S1",1738,2396.84832777778,-658.848327777778
727,"S1","S1",1980,2239.45826666667,-259.458266666666
727,"S1","S1",2224,3074.53107777778,-850.531077777781
727,"S1","S1",2496,2404.36058333333,91.6394166666655
727,"S1","S1",3103,2368.99153333334,734.008466666664
727,"S1","S1",3434,3065.17981111111,368.820188888887
727,"S1","S1",3666,4016.73832222222,-350.738322222221
727,"S1","S1",3962,4193.40088888889,-231.400888888894
727,"S1","S1",4229,3956.81653333333,272.183466666669
727,"S1","S1",4527,3443.67815,1083.32185
727,"S1","S1",4863,4467.46433333333,395.535666666669
727,"S1","S1",5200,4660.15823888889,539.841761111113
727,"S2","S2",249,371.403594444445,-122.403594444445
727,"S2","S2",489,645.612361111111,-156.612361111111
727,"S2","S1",727,749.299272222223,-22.2992722222226
727,"S2","S2",727,927.251983333334,-200.251983333334
727,"S2","S3",727,827.250616666667,-100.250616666667
727,"S2","S4",727,695.292666666667,31.7073333333333
727,"S2","S5",727,1035.94226111111,-308.942261111113
727,"S2","S2",989,1095.38258333333,-106.382583333335
