"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
0,"S1","S1",0,660.13595,-660.13595
0,"S1","S2",0,713.176094444445,-713.176094444445
0,"S1","S1",249,364.367022222222,-115.367022222222
0,"S1","S1",489,598.589672222222,-109.589672222222
0,"S1","S1",727,723.891961111111,3.10803888888938
0,"S1","S1",989,1042.92327777778,-53.9232777777781
0,"S1","S1",1242,1486.85737222222,-244.857372222223
0,"S1","S1",1490,1060.49558333333,429.504416666666
0,"S1","S1",1738,2402.38529444444,-664.385294444445
0,"S1","S1",1980,2300.50773333333,-320.507733333332
0,"S1","S1",2224,3019.48640555556,-795.486405555557
0,"S1","S1",2496,2419.18771111111,76.8122888888879
0,"S1","S1",3103,2307.98621666667,795.013783333334
0,"S1","S1",3434,3018.99136111111,415.008638888889
0,"S1","S1",3666,4026.50979444445,-360.509794444446
0,"S1","S1",3962,4207.49927222222,-245.499272222221
0,"S1","S1",4229,3979.63809444444,249.361905555555
0,"S1","S1",4527,3333.24934999999,1193.75065000001
0,"S1","S1",4863,4477.63519999999,385.364800000007
0,"S1","S1",5200,4685.26352222222,514.736477777779
0,"S2","S1",0,555.480522222222,-555.480522222222
0,"S2","S2",0,616.566511111111,-616.566511111111
0,"S2","S2",249,308.019266666667,-59.0192666666665
0,"S2","S2",489,552.507205555555,-63.5072055555553
0,"S2","S2",727,913.13386111111,-186.13386111111
0,"S2","S2",989,1070.34282222222,-81.342822222221
0,"S2","S2",1242,1389.63757222222,-147.637572222222
0,"S2","S2",1490,1750.95497777778,-260.954977777777
0,"S2","S2",1980,2340.36962777778,-360.369627777779
0,"S2","S2",2224,2286.07685555555,-62.0768555555546
0,"S2","S2",2496,2330.54736111111,165.452638888888
0,"S2","S2",2784,2555.09687222222,228.903127777782
0,"S2","S2",3103,2759.68376111111,343.316238888887
0,"S2","S2",3434,3648.66606111111,-214.666061111106
0,"S2","S2",3666,2710.9002,955.099800000003
0,"S2","S2",3962,4214.90121111112,-252.901211111115
0,"S2","S2",4229,3944.12151111111,284.878488888891
0,"S2","S2",4527,4439.25627777778,87.7437222222179
0,"S2","S2",4863,4534.30043888889,328.69956111111
0,"S2","S2",5200,4528.59312777778,671.406872222219
249,"S1","S1",0,441.788416666666,-441.788416666666
249,"S1","S1",249,515.448383333332,-266.448383333332
249,"S1","S2",249,542.551099999998,-293.551099999998
249,"S1","S3",249,521.973049999998,-272.973049999998
249,"S1","S4",249,595.148599999998,-346.148599999998
249,"S1","S5",249,579.920244444443,-330.920244444443
249,"S1","S1",489,639.756605555553,-150.756605555553
249,"S1","S1",727,724.067899999999,2.9321000000009
249,"S1","S1",989,1272.86445,-283.864449999999
249,"S1","S1",1242,1501.06344444444,-259.063444444444
249,"S1","S1",1490,1152.96845,337.031549999998
249,"S1","S1",1738,2343.99358333333,-605.993583333334
249,"S1","S1",1980,2236.91595555556,-256.915955555555
249,"S1","S1",2224,3077.10579444445,-853.105794444448
249,"S1","S1",2496,2376.98625,119.013749999999
249,"S1","S1",3103,2330.70692222222,772.293077777778
249,"S1","S1",3434,3098.67863888889,335.321361111108
249,"S1","S1",3666,4043.36100555555,-377.361005555553
249,"S1","S1",3962,4192.55614999999,-230.556149999993
249,"S1","S1",4229,3945.12732222222,283.872677777785
249,"S1","S1",4527,3424.20406666666,1102.79593333334
249,"S1","S1",4863,4477.16772777777,385.832272222231
249,"S1","S1",5200,4684.69666111111,515.303338888886
249,"S2","S2",0,460.481227777778,-460.481227777778
249,"S2","S1",249,540.698511111111,-291.698511111111
249,"S2","S2",249,566.592172222222,-317.592172222222
