"type","taxon"
"Rib","Armophorea_unclassified"
"Rib","Armophorida"
"Rib","Arthropoda_unclassified"
"Rib","Choreotrichia"
"Rib","Chromadorea_unclassified"
"Rib","Chrysophyceae_unclassified"
"Rib","Eukaryota_unclassified"
"Rib","Haptoria"
"Rib","Hypotrichia"
"Rib","Intramacronucleata_unclassified"
"Rib","Litostomatea_unclassified"
"Rib","Metakinetoplastina_unclassified"
"Rib","Oligohymenophorea"
"Rib","Oligotrichia"
"Rib","Peronosporomycetes_fa"
"Rib","Synurales_fa"
"Scapula","Armophorea_unclassified"
"Scapula","Armophorida"
"Scapula","Arthropoda_unclassified"
"Scapula","Bacillariophyceae"
"Scapula","Choreotrichia"
"Scapula","Chromadorea_unclassified"
"Scapula","Chrysophyceae_unclassified"
"Scapula","Conthreep_unclassified"
"Scapula","Cryptomonadales_fa"
"Scapula","Euglenophyceae_unclassified"
"Scapula","Eukaryota_unclassified"
"Scapula","Haplotaxida_fa"
"Scapula","Haptoria"
"Scapula","Heterobranchia_fa"
"Scapula","Hypotrichia"
"Scapula","Intramacronucleata_unclassified"
"Scapula","Litostomatea_unclassified"
"Scapula","Melosirids"
"Scapula","Metakinetoplastina_unclassified"
"Scapula","Mucoraceae"
"Scapula","Ochrophyta_unclassified"
"Scapula","Oligohymenophorea"
"Scapula","Oligotrichia"
"Scapula","Peronosporomycetes_fa"
"Scapula","Podocopida_fa"
"Scapula","Synurales_fa"
"Scapula","Trypanosomatida"
"Water","Bacillariophyceae"
"Water","Calanoida_fa"
"Water","Choreotrichia"
"Water","Chromulinales_fa"
"Water","Chrysophyceae_unclassified"
"Water","Conthreep_unclassified"
"Water","Cryptomonadales_fa"
"Water","Diplostraca_fa"
"Water","Euglenaceae"
"Water","Euglenophyceae_unclassified"
"Water","Eukaryota_unclassified"
"Water","Fragilariales"
"Water","Haptoria"
"Water","Hypotrichia"
"Water","Intramacronucleata_unclassified"
"Water","MAST_2_fa"
"Water","Melosirids"
"Water","Metakinetoplastina_unclassified"
"Water","Ochromonadales_fa"
"Water","Ochrophyta_unclassified"
"Water","Oligohymenophorea"
"Water","Oligotrichia"
"Water","P34.45_fa"
"Water","Peronosporomycetes_fa"
"Water","Spirotrichea_unclassified"
"Water","Synurales_fa"
"Water","Thoracosphaeraceae"
