type,actual,predicted
Rib,249,398.03952425961916
Rib,249,456.68663594470945
Rib,249,343.1780023959186
Rib,249,814.9696299780705
Rib,249,278.25951320864397
Scapula,249,369.53268436577173
Scapula,249,320.02206016407854
Scapula,249,430.57326260763284
Scapula,249,345.6640508221153
Scapula,249,405.20049415992617
Rib,489,568.6626317374462
Rib,489,627.8591682419892
Rib,489,788.3530982906186
Rib,489,498.79668188737946
Rib,489,600.7885330893803
Scapula,489,441.90027875587066
Scapula,489,789.2118750000236
Scapula,489,531.1325166364327
Scapula,489,602.8685168606582
Scapula,489,672.9064631957158
Rib,727,1049.2346322241876
Rib,727,790.2002757353166
Rib,727,1049.4836455545828
Rib,727,1450.1228866906652
Scapula,727,963.2019859456343
Scapula,727,1110.191356877342
Scapula,727,824.8745366284413
Scapula,727,884.4264426028456
Scapula,727,1115.5275467149074
Rib,989,1952.7278492647188
Rib,989,1293.2875468164982
Rib,989,1625.091422466438
Rib,989,1054.334760223613
Scapula,989,1491.0953562341122
Scapula,989,1084.8016066066248
Scapula,989,1048.050507246395
Scapula,989,1361.2456303513625
Scapula,989,1270.6919417187207
Rib,1242,1329.7503808653448
Rib,1242,1695.8086118639121
Rib,1242,1492.8595366218408
Rib,1242,1509.573811672702
Rib,1242,1741.385344827602
Scapula,1242,1676.7785146310584
Scapula,1242,1535.883317786086
Scapula,1242,2077.1695994954375
Scapula,1242,1347.5241384568649
Scapula,1242,1565.4757688723369
Rib,1490,1543.767086834749
Rib,1490,2139.871373593848
Rib,1490,1553.7760339506344
Rib,1490,1999.4549214975973
Scapula,1490,1252.3368898809729
Scapula,1490,2082.456914893627
Scapula,1490,1586.3855412450334
Scapula,1490,1267.117300324214
Scapula,1490,1344.798096101558
Rib,1738,1529.6033068783245
Rib,1738,1682.3896626297733
Rib,1738,1907.6431877729397
Rib,1738,1806.5398874696007
Rib,1738,2438.262928637627
Scapula,1738,2493.0821642685846
Scapula,1738,1999.688437217716
Scapula,1738,1894.1622486288966
Rib,1980,1675.5258877947037
Rib,1980,2019.577603686648
Rib,1980,1789.2684978274503
Rib,1980,2203.6655045871616
Rib,1980,1954.0956818181933
Scapula,1980,2669.2322182037365
Scapula,1980,2883.7832427536314
Scapula,1980,1946.8163074039476
Scapula,1980,3357.0906666666824
Scapula,1980,1744.3359943977732
Rib,2224,2529.2405016325315
Rib,2224,2273.829336966394
Rib,2224,2830.3468885047596
Scapula,2224,2631.8401813633513
Scapula,2224,2881.8034994068867
Scapula,2224,2947.796250000011
Scapula,2224,2645.558356676003
Scapula,2224,2723.159519492293
Rib,2496,3416.5346431797793
Rib,2496,2459.4626447016913
Rib,2496,2235.537071078433
Rib,2496,2049.920222222233
Scapula,2496,2917.7585602503996
Scapula,2496,2692.1218096080156
Scapula,2496,3401.896843324659
Scapula,2496,3189.7512070566518
Rib,2784,2753.9050737729594
Rib,2784,2803.69820627803
Rib,2784,3069.1048711031303
Scapula,2784,2782.6536160714304
Scapula,2784,2760.452833031947
Scapula,2784,2705.903311362209
Scapula,2784,2824.740339892671
Rib,3103,2533.6868746232667
Rib,3103,2878.3568092205105
Rib,3103,2911.5392468098426
Rib,3103,2887.5190602055864
Scapula,3103,2585.165264100268
Scapula,3103,3129.162829629642
Scapula,3103,2777.002614678901
Scapula,3103,3501.1598700887357
Rib,3434,2720.911890064667
Rib,3434,2120.3141014365374
Rib,3434,2619.6218816712403
Rib,3434,2739.2227216558535
Scapula,3434,3872.307248960208
Scapula,3434,4441.7911091549395
Scapula,3434,3715.0262031296297
Scapula,3434,3853.4412621359415
Rib,3666,3933.8559674502885
Rib,3666,4075.278818181835
Rib,3666,3980.917549371653
Scapula,3666,4216.458937863499
Scapula,3666,3977.6634956417383
Scapula,3666,3391.7415826459064
Scapula,3666,4270.843073593091
Scapula,3666,4047.390281690158
Rib,3962,4183.674932855882
Rib,3962,4260.838514525326
Rib,3962,4148.722297297314
Scapula,3962,3943.097073321026
Scapula,3962,4237.9666198939985
Scapula,3962,4030.089342188505
Scapula,3962,4077.1762014080373
Scapula,3962,4307.525645645663
Rib,4229,3994.007458563552
Rib,4229,4140.771083959917
Rib,4229,3494.6667271627493
Rib,4229,3188.3142671292426
Scapula,4229,4107.975102519058
Scapula,4229,4045.091590214085
Scapula,4229,3968.9688459177582
Scapula,4229,4231.917723651979
Scapula,4229,3884.296696296314
Rib,4527,4232.218989441947
Rib,4527,4094.886363636382
Rib,4527,3702.200659914075
Scapula,4527,2871.6466457023134
Scapula,4527,4450.034465579726
Scapula,4527,4300.114765409401
Scapula,4527,4058.3231286281866
Rib,4863,4380.018929463191
Rib,4863,4197.90162460112
Rib,4863,4263.889969558619
Rib,4863,4545.6677787934295
Rib,4863,4157.501367127514
Scapula,4863,3857.8234445446524
Scapula,4863,4562.6651183970935
Scapula,4863,4278.718348765451
Scapula,4863,4300.294842710241
Scapula,4863,4206.266253822649
Rib,5200,3993.8006357856652
Rib,5200,3352.6206478310646
Rib,5200,3043.3883829538954
Rib,5200,3991.1060316013554
Scapula,5200,4194.434136735998
Scapula,5200,4118.828620155056
Scapula,5200,4244.835247136848
Scapula,5200,4417.042244224439
