type,actual,predicted
Rib,0,142.79889205443078
Rib,0,71.51937742028167
Rib,0,390.8032501540381
Rib,0,317.37974070602513
Rib,0,57.057078853007624
Scapula,0,177.30250463819584
Scapula,0,208.91749608762848
Rib,249,386.56130408287277
Rib,249,297.55073772958303
Rib,249,306.95004721435043
Rib,249,641.8920686456488
Rib,249,283.7197056941732
Scapula,249,365.95221489161213
Scapula,249,273.894191242161
Scapula,249,287.2844924811916
Scapula,249,363.159063829763
Scapula,249,419.63856007066374
Rib,489,497.15774606006903
Rib,489,542.5499233364089
Rib,489,737.3513339466513
Rib,489,505.2631881427785
Rib,489,525.3915465465552
Scapula,489,505.5377736663668
Scapula,489,713.331227598575
Scapula,489,490.9956681350948
Scapula,489,554.0320679012434
Scapula,489,639.0721299533877
Rib,727,1044.571301247782
Rib,727,756.6436292270607
Rib,727,954.9080351538062
Rib,727,941.8314643188214
Scapula,727,962.6962284820117
Scapula,727,1039.0714939474542
Scapula,727,808.9203945459894
Scapula,727,887.8177999395668
Scapula,727,1075.5766547937162
Rib,989,1844.7968844525162
Rib,989,1266.8815368357584
Rib,989,1185.5745036101164
Rib,989,926.2098804185423
Scapula,989,1483.1222172751632
Scapula,989,1044.2249531835287
Scapula,989,1058.3507857358798
Scapula,989,1357.2630394857727
Scapula,989,1292.9134259259329
Rib,1242,1337.6661024702728
Rib,1242,1651.3779534883795
Rib,1242,1482.924533210904
Rib,1242,1492.1564628953847
Rib,1242,1705.3847182876998
Scapula,1242,1607.1055655565629
Scapula,1242,1538.269025735301
Scapula,1242,2214.0287325615936
Scapula,1242,1340.0741713571063
Scapula,1242,1584.3975883256594
Rib,1490,1464.6256223436615
Rib,1490,2089.388792841981
Rib,1490,1555.1784804367676
Rib,1490,1931.3070213379528
Scapula,1490,1260.4772993827219
Scapula,1490,2039.4324856321887
Scapula,1490,1613.5545362318912
Scapula,1490,1259.3876858736112
Scapula,1490,1381.332515611073
Rib,1738,1544.4947610294198
Rib,1738,1724.9956790123526
Rib,1738,1857.7080570902458
Rib,1738,1771.154637410527
Rib,1738,2456.0542823037904
Scapula,1738,2564.0826002393774
Scapula,1738,2009.261047799941
Scapula,1738,2044.8512362637402
Rib,1980,1687.934728610863
Rib,1980,2022.5266512345722
Rib,1980,1732.0525148391198
Rib,1980,2220.450874769799
Rib,1980,1879.2407635829736
Scapula,1980,2732.896590576532
Scapula,1980,2908.0115280289388
Scapula,1980,1926.6261294261342
Scapula,1980,3379.1465623081717
Scapula,1980,1757.8418491484247
Rib,2224,2578.6883458646616
Rib,2224,2255.1300454545462
Rib,2224,2821.964753086424
Scapula,2224,2624.3522977941193
Scapula,2224,2874.493828828834
Scapula,2224,2948.070803030309
Scapula,2224,2584.151210691824
Scapula,2224,2756.389469626892
Rib,2496,3442.4557471264443
Rib,2496,2533.175243753807
Rib,2496,2283.440533333334
Rib,2496,2061.49143518519
Scapula,2496,3017.3185478855785
Scapula,2496,2675.342522355846
Scapula,2496,3418.2823163327344
Scapula,2496,3412.555010501058
Rib,2784,2791.247654320992
Rib,2784,2831.5048868778326
Rib,2784,3148.8261775362384
Scapula,2784,2806.18214928058
Scapula,2784,2778.218492134169
Scapula,2784,2635.282562962965
Scapula,2784,2789.3619900932445
Rib,3103,2568.0878678678682
Rib,3103,2843.422751078255
Rib,3103,2877.008011915966
Rib,3103,2895.184395280241
Scapula,3103,2554.302763002364
Scapula,3103,3158.1969696969772
Scapula,3103,2809.3200516351176
Scapula,3103,3581.0187518617904
Rib,3434,2726.920762976864
Rib,3434,2133.1957844022927
Rib,3434,2625.855216049384
Rib,3434,2742.0822119815703
Scapula,3434,3842.648394495421
Scapula,3434,4451.8324393939365
Scapula,3434,3770.699643570012
Scapula,3434,3868.0303523035313
Rib,3666,3884.3730477058725
Rib,3666,4016.854471544724
Rib,3666,3940.028517512086
Scapula,3666,4235.685021289546
Scapula,3666,4029.8896058965183
Scapula,3666,3561.416136162695
Scapula,3666,4319.431606060615
Scapula,3666,4030.3447146866315
Rib,3962,4179.205136663533
Rib,3962,4245.71379358438
Rib,3962,4168.546272918553
Scapula,3962,3919.9135992747138
Scapula,3962,4290.836545623844
Scapula,3962,3940.3288602941266
Scapula,3962,3998.043154219802
Scapula,3962,4288.106620155046
Rib,4229,4023.022423960282
Rib,4229,4143.454601029608
Rib,4229,3345.1553282588075
Rib,4229,3337.122013702717
Scapula,4229,4090.3305606060685
Scapula,4229,4020.2436025408424
Scapula,4229,3996.2363333333406
Scapula,4229,4201.959259259269
Scapula,4229,3821.264379383966
Rib,4527,4235.246615057688
Rib,4527,4134.220378927919
Rib,4527,3623.800754214737
Scapula,4527,2781.063302891938
Scapula,4527,4451.588321385896
Scapula,4527,4305.706464737802
Scapula,4527,4047.253996447612
Rib,4863,4394.793455834954
Rib,4863,4166.762789243286
Rib,4863,4326.465162676497
Rib,4863,4521.804787552359
Rib,4863,4229.643975373798
Scapula,4863,3859.42781306716
Scapula,4863,4560.963472868208
Scapula,4863,4312.82911540715
Scapula,4863,4309.5612263300345
Scapula,4863,4260.806404593648
Rib,5200,3990.9294894894974
Rib,5200,3327.173027302738
Rib,5200,3053.596850639233
Rib,5200,3986.652499233373
Scapula,5200,4164.132722669058
Scapula,5200,4092.797018844619
Scapula,5200,4249.8624811803775
Scapula,5200,4416.342119815669
