"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
249,"R1","R1",249,708.130372222222,-459.130372222222
249,"R1","R2",249,1513.22936666667,-1264.22936666667
249,"R1","R3",249,777.137933333334,-528.137933333334
249,"R1","R1",489,857.734527777779,-368.734527777779
249,"R1","R1",727,705.855494444445,21.1445055555554
249,"R1","R1",989,1276.51323888889,-287.513238888888
249,"R1","R1",1242,2257.42643888889,-1015.42643888889
249,"R1","R1",1490,1425.98295,64.0170499999988
249,"R1","R1",1980,2604.12747222222,-624.127472222223
249,"R1","R1",2496,2436.2309,59.7691000000013
249,"R1","R1",2784,2858.99960555556,-74.9996055555594
249,"R1","R1",3103,2827.67635,275.323649999998
249,"R1","R1",3434,2233.82793333333,1200.17206666667
249,"R1","R1",3666,910.666705555556,2755.33329444444
249,"R1","R1",3962,3921.22148333333,40.7785166666749
249,"R1","R1",4229,4136.60212777778,92.3978722222237
249,"R1","R1",4527,3738.90984444444,788.090155555555
249,"R1","R1",4863,3853.41855555555,1009.58144444445
249,"R1","R1",5200,3910.18121666667,1289.81878333333
249,"R2","R1",249,910.240911111113,-661.240911111113
249,"R2","R2",249,1503.0918,-1254.0918
249,"R2","R3",249,1003.58202222222,-754.582022222224
249,"R2","R2",489,893.157316666668,-404.157316666668
249,"R2","R2",727,802.696833333334,-75.6968333333341
249,"R2","R2",989,1460.59836666667,-471.598366666666
249,"R2","R2",1490,1770.05128888889,-280.05128888889
249,"R2","R2",1738,2778.14643888889,-1040.14643888889
249,"R2","R2",2496,4169.04827222223,-1673.04827222223
249,"R2","R2",2784,2623.71386666667,160.286133333334
249,"R2","R2",3103,2797.76939444444,305.230605555559
249,"R2","R2",3666,1188.08967777778,2477.91032222222
249,"R2","R2",3962,4301.56691111111,-339.566911111106
249,"R2","R2",4229,3835.55023333333,393.449766666671
249,"R2","R2",4527,4116.5576,410.442400000004
249,"R2","R2",4863,4407.84185000001,455.158149999994
249,"R2","R2",5200,3876.81271666667,1323.18728333333
249,"R3","R1",249,900.735805555557,-651.735805555557
249,"R3","R2",249,2330.71888333333,-2081.71888333333
249,"R3","R3",249,1015.49528888889,-766.495288888891
249,"R3","R3",489,1965.46189444444,-1476.46189444444
249,"R3","R3",727,895.497988888889,-168.497988888889
249,"R3","R3",989,2649.16193333333,-1660.16193333333
249,"R3","R3",1980,2414.70936111111,-434.709361111108
249,"R3","R3",2224,3734.74051666666,-1510.74051666666
249,"R3","R3",2496,3543.65667222222,-1047.65667222222
249,"R3","R3",3103,2729.86982222222,373.130177777776
249,"R3","R3",3666,3382.43204444444,283.567955555557
249,"R3","R3",3962,4130.14963888889,-168.149638888889
249,"R3","R3",4229,4404.67208333334,-175.672083333337
249,"R3","R3",4527,3950.79236111111,576.207638888894
489,"R1","R1",249,699.637922222222,-450.637922222222
489,"R1","R1",489,1154.17752222222,-665.17752222222
489,"R1","R2",489,1011.14357777778,-522.143577777775
489,"R1","R3",489,903.283105555553,-414.283105555553
489,"R1","R4",489,781.764166666666,-292.764166666666
489,"R1","R5",489,818.380499999998,-329.380499999998
489,"R1","R1",727,800.49492222222,-73.4949222222202
489,"R1","R1",989,1274.28636111111,-285.286361111109
489,"R1","R1",1242,2314.08463333333,-1072.08463333333
489,"R1","R1",1490,1418.29053888889,71.7094611111133
489,"R1","R1",1980,2648.97380555555,-668.973805555554
489,"R1","R1",2496,2525.40818333333,-29.4081833333285
489,"R1","R1",2784,2812.28217222222,-28.2821722222211
489,"R1","R1",3103,2805.5006,297.4994
489,"R1","R1",3434,2266.03343333333,1167.96656666667
489,"R1","R1",3666,890.339377777775,2775.66062222222
489,"R1","R1",3962,3941.41396111111,20.5860388888914
489,"R1","R1",4229,4194.3095388889,34.6904611111031
489,"R1","R1",4527,3813.72449444444,713.275505555559
489,"R1","R1",4863,3847.23671111111,1015.76328888889
489,"R1","R1",5200,3926.85672777778,1273.14327222222
489,"R2","R2",249,1658.61048888889,-1409.61048888889
489,"R2","R1",489,1378.96498888889,-889.964988888885
489,"R2","R2",489,1240.14987777778,-751.149877777776
489,"R2","R3",489,1746.06246111111,-1257.06246111111
489,"R2","R4",489,942.272583333332,-453.272583333332
489,"R2","R5",489,982.373072222221,-493.373072222221
489,"R2","R2",727,883.604177777776,-156.604177777776
489,"R2","R2",989,1565.17516111111,-576.175161111109
489,"R2","R2",1490,1507.15994444444,-17.1599444444441
489,"R2","R2",1738,2732.99875,-994.998749999998
489,"R2","R2",2496,4066.06798333334,-1570.06798333334
489,"R2","R2",2784,2614.44533333333,169.554666666671
489,"R2","R2",3103,2792.87922777777,310.120772222229
489,"R2","R2",3666,1404.22937777778,2261.77062222222
489,"R2","R2",3962,4296.12235,-334.122350000001
489,"R2","R2",4229,3878.07041666666,350.929583333338
489,"R2","R2",4527,4118.63648333333,408.363516666668
489,"R2","R2",4863,4444.60737222223,418.392627777771
