"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
249,"S2","S2",249,756.847505555555,-507.847505555555
249,"S2","S3",249,1702.86950555556,-1453.86950555556
249,"S2","S4",249,1076.50713888889,-827.50713888889
249,"S2","S5",249,653.3357,-404.3357
249,"S2","S2",489,620.494977777778,-131.494977777778
249,"S2","S2",727,682.497449999999,44.5025500000007
249,"S2","S2",989,879.596516666666,109.403483333334
249,"S2","S2",1242,1744.94232222222,-502.942322222223
249,"S2","S2",1490,1303.61501111111,186.384988888889
249,"S2","S2",1980,1957.99982222222,22.0001777777779
249,"S2","S2",2496,2418.6966,77.3034000000002
249,"S2","S2",3666,4182.56884444445,-516.56884444445
249,"S2","S2",3962,3816.71096111111,145.289038888886
249,"S2","S2",4229,4410.2177,-181.217700000005
249,"S2","S2",4863,4415.12567222223,447.874327777773
249,"S2","S2",5200,4030.46155555556,1169.53844444444
249,"S3","S2",249,734.966527777777,-485.966527777777
249,"S3","S3",249,1594.83291111111,-1345.83291111111
249,"S3","S4",249,1261.27588888889,-1012.27588888889
249,"S3","S5",249,654.137133333332,-405.137133333332
249,"S3","S3",489,664.678083333333,-175.678083333333
249,"S3","S3",727,844.422349999999,-117.422349999999
249,"S3","S3",989,788.977544444444,200.022455555556
249,"S3","S3",1490,2084.55932222222,-594.559322222221
249,"S3","S3",1738,2008.57648888889,-270.576488888887
249,"S3","S3",2224,2714.09483888889,-490.094838888891
249,"S3","S3",2496,2605.61665555556,-109.616655555555
249,"S3","S3",3434,2559.05036666667,874.949633333331
249,"S3","S3",3666,3612.07120000001,53.9287999999933
249,"S3","S3",3962,3861.59121666667,100.408783333329
249,"S3","S3",4229,4173.8741,55.1258999999964
249,"S3","S3",4527,4315.66362222222,211.33637777778
249,"S3","S3",4863,4087.70811666667,775.291883333331
249,"S3","S3",5200,4341.44416666667,858.555833333333
249,"S4","S2",249,810.25195,-561.25195
249,"S4","S3",249,1397.45055,-1148.45055
249,"S4","S4",249,769.824466666667,-520.824466666667
249,"S4","S5",249,651.256288888889,-402.256288888889
249,"S4","S4",489,754.389311111111,-265.389311111111
249,"S4","S4",727,932.869216666666,-205.869216666666
249,"S4","S4",989,1316.79228333333,-327.792283333331
249,"S4","S4",1242,1955.52461111111,-713.524611111109
249,"S4","S4",1738,2088.72748333333,-350.727483333332
249,"S4","S4",1980,2135.94066666667,-155.940666666669
249,"S4","S4",2224,3122.46789444444,-898.467894444442
249,"S4","S4",2784,2670.81756111111,113.182438888892
249,"S4","S4",3103,2744.43719444444,358.562805555558
249,"S4","S4",3666,4236.31190555556,-570.311905555558
249,"S4","S4",3962,2405.79048888889,1556.20951111111
249,"S4","S4",4229,4411.51233333332,-182.512333333323
249,"S4","S4",4527,4154.41788333333,372.582116666673
249,"S4","S4",4863,4541.41446666666,321.585533333343
249,"S5","S2",249,689.152900000001,-440.152900000001
249,"S5","S3",249,1611.08253888889,-1362.08253888889
249,"S5","S4",249,894.828616666667,-645.828616666667
249,"S5","S5",249,619.998105555556,-370.998105555556
249,"S5","S5",489,808.743005555555,-319.743005555555
249,"S5","S5",727,1137.54028333333,-410.540283333333
249,"S5","S5",989,1082.21224444444,-93.2122444444433
249,"S5","S5",1242,1619.37888888889,-377.378888888886
249,"S5","S5",1490,1752.10268888889,-262.102688888887
249,"S5","S5",1738,1876.49780555555,-138.497805555553
249,"S5","S5",2784,2989.11026111111,-205.110261111106
249,"S5","S5",3103,2585.89274444444,517.107255555562
249,"S5","S5",3434,2381.11147777777,1052.88852222223
249,"S5","S5",3666,3499.32045,166.67955
