"type","taxon"
"Rib","f__Aeromonadaceae"
"Rib","f__Bacteroidaceae"
"Rib","f__Carnobacteriaceae"
"Rib","f__Clostridiaceae"
"Rib","f__Comamonadaceae"
"Rib","f__Enterobacteriaceae"
"Rib","f__Flavobacteriaceae"
"Rib","f__Holophagaceae"
"Rib","f__Mogibacteriaceae"
"Rib","f__Moraxellaceae"
"Rib","f__Phormidiaceae"
"Rib","f__Porphyromonadaceae"
"Rib","f__Pseudomonadaceae"
"Rib","f__Rhodocyclaceae"
"Rib","f__Rikenellaceae"
"Rib","f__Ruminococcaceae"
"Rib","f__Sediment_4"
"Rib","f__Shewanellaceae"
"Rib","f__Spirochaetaceae"
"Rib","f__Syntrophomonadaceae"
"Rib","f__Veillonellaceae"
"Scapula","f__Bacteriovoracaceae"
"Scapula","f__Campylobacteraceae"
"Scapula","f__Chitinophagaceae"
"Scapula","f__Chthoniobacteraceae"
"Scapula","f__Clostridiaceae"
"Scapula","f__Comamonadaceae"
"Scapula","f__Crenotrichaceae"
"Scapula","f__Desulfobacteraceae"
"Scapula","f__Desulfobulbaceae"
"Scapula","f__Enterobacteriaceae"
"Scapula","f__Erysipelotrichaceae"
"Scapula","f__Flavobacteriaceae"
"Scapula","f__Geobacteraceae"
"Scapula","f__Holophagaceae"
"Scapula","f__Lachnospiraceae"
"Scapula","f__Marinilabiaceae"
"Scapula","f__Methylophilaceae"
"Scapula","f__mitochondria"
"Scapula","f__Mogibacteriaceae"
"Scapula","f__Moraxellaceae"
"Scapula","f__Oxalobacteraceae"
"Scapula","f__Phormidiaceae"
"Scapula","f__Pirellulaceae"
"Scapula","f__Porphyromonadaceae"
"Scapula","f__Pseudomonadaceae"
"Scapula","f__Rhizobiaceae"
"Scapula","f__Rhodobacteraceae"
"Scapula","f__Rhodocyclaceae"
"Scapula","f__Rikenellaceae"
"Scapula","f__Ruminococcaceae"
"Scapula","f__Sediment_4"
"Scapula","f__Spirochaetaceae"
"Scapula","f__Syntrophaceae"
"Scapula","f__Syntrophomonadaceae"
"Scapula","f__Tissierellaceae"
"Scapula","f__Veillonellaceae"
"Scapula","f__Verrucomicrobiaceae"
