type,actual,predicted
Rib,489,1241.5838345864759
Rib,489,819.2940595563775
Rib,489,705.9135837245819
Scapula,489,835.3875601684847
Scapula,489,1020.3453408380353
Scapula,489,719.4938969258706
Rib,989,1779.4206406769513
Rib,989,1346.4012713178395
Rib,989,1315.9061041292753
Scapula,989,1866.8626522961663
Scapula,989,1708.6469975490295
Scapula,989,1505.2301134621375
Rib,1490,1791.5525294848003
Rib,1490,1609.4752470799726
Rib,1490,1877.945542093827
Scapula,1490,1683.8379827000404
Scapula,1490,2420.172335495829
Scapula,1490,2005.5508666047735
Rib,1980,1864.6350805226466
Rib,1980,1793.605937311642
Rib,1980,2315.1311399443944
Scapula,1980,2364.381861861861
Scapula,1980,2616.949403723097
Scapula,1980,2052.512288786489
Rib,2496,2934.6264942016123
Rib,2496,2656.1325497287553
Rib,2496,2908.480259938845
Scapula,2496,2833.161100889304
Scapula,2496,2644.683684546618
Scapula,2496,3470.0841971998907
Rib,3103,2903.21964070049
Rib,3103,2936.4634935305066
Rib,3103,2825.967678140104
Scapula,3103,3090.974850388997
Scapula,3103,3091.265209899757
Scapula,3103,3324.1656203288576
Rib,3434,2512.4086061739936
Rib,3434,2900.576274509812
Rib,3434,2754.4455738705797
Scapula,3434,2438.4863318112634
Scapula,3434,3204.579028799028
Scapula,3434,3648.6562993321295
Rib,3962,3488.123144654098
Rib,3962,3626.098777974098
Rib,3962,2798.148024132737
Scapula,3962,3820.106929510165
Scapula,3962,3161.8326825396916
Scapula,3962,3732.232658265837
Rib,4527,3053.3027351247697
Rib,4527,3352.2317322354475
Rib,4527,3427.8029906542142
Scapula,4527,3772.477527573543
Scapula,4527,3200.8120229007727
