numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac,avgsqrtcvMSE,avgsqrtcvErrFrac,avgorigUnitsqrtcvMSE,avgorigUnitsqrtcvErrFrac
600,2,595084.8205403017,0.5750553144137415,62.91906574163822,0.5404076468395337,622908.4565046896,0.5788925244436822
1500,2,592891.175540689,0.5716244048456586,62.85840689781091,0.5420142247547631,623850.6132113353,0.5810996484325145
2100,2,594191.5541203574,0.572374492902076,62.77115154796963,0.5408968687890322,622536.3361175363,0.5795265597222016
3000,2,593425.8965687758,0.5717252209009231,62.7133825072443,0.5423344201274225,622132.4318942633,0.5805869022472638
600,3,526161.704229696,0.5109808859181236,54.44938469259637,0.47942746805471054,554362.7438518597,0.5206728300209151
1500,3,522904.6367965791,0.5071168616205373,54.328854799765864,0.47736813651611426,553051.7767550094,0.5193910215895261
2100,3,525477.0718457036,0.5101824541560143,54.32675497020307,0.47597144235557665,552955.1035459879,0.5180238622252128
3000,3,524855.1866850868,0.5085295286473865,54.34402973041737,0.47620668219423323,553224.6358007871,0.5182522728159088
600,4,484418.33350660757,0.4724330720244827,49.86673688665744,0.4409673057504281,514112.64915272413,0.48364400390635015
1500,4,484346.4081084383,0.4723972331287796,49.84995646171078,0.44232339288036837,513992.5565746066,0.4849822630357349
2100,4,484660.83696896245,0.47305926397472975,49.73934563025456,0.44220545957189,513101.40465202695,0.4850824568318371
3000,4,484705.44034488895,0.4725139036709991,49.749148110686605,0.44083044445482056,513220.02636410354,0.4838668960240563
600,5,459649.8986959293,0.45088507208841355,47.22654013144113,0.42131466202248974,489249.9903373356,0.46372221384943985
1500,5,458248.5648077082,0.447798378717691,46.91676902382575,0.41961042602958465,487276.4928387015,0.46236106302736457
2100,5,458438.58995927015,0.4475612100719599,47.04932218947354,0.41860915356125644,488360.4941634445,0.46180553620736453
3000,5,457753.9540943532,0.4460178279060686,46.98135741562767,0.41916199248748837,488124.3906962815,0.46225765536058006
600,6,440572.6152614598,0.4302531111272364,45.14480082333539,0.4060034609468792,469662.71460177196,0.4477392022884165
1500,6,441746.0963295462,0.43195089265666203,45.15431102068443,0.40367465263415947,470001.25358960754,0.4462509682969218
2100,6,440604.39953885146,0.43106288508054325,45.04037187643156,0.40372511072364703,468621.71778241947,0.44572724495592236
3000,6,441112.26660100895,0.4315989394312757,45.030380039318764,0.40253017421061826,468866.63499886915,0.44483490335240167
600,7,428309.3452100063,0.41941077425655626,43.9659868875341,0.3953769439020601,456862.3789743141,0.4364069460604984
1500,7,427775.981175479,0.41872260492524516,43.83782519713227,0.39386913081070507,456302.0474516084,0.43503808536965466
2100,7,427625.22521842126,0.4196998709144509,43.78407428398573,0.39457925696946433,455607.1310030875,0.43568120851993825
3000,7,428220.85622835375,0.4200755602665807,43.816966158957825,0.3925746931405554,456078.0701497055,0.43406789937734785
600,8,421906.72840627655,0.4145328765662506,43.050296485663836,0.3885340862375528,446960.50468480046,0.4286617578729036
1500,8,419822.9435071543,0.4111217209108483,43.01832923538794,0.3887706089593976,447402.1323750123,0.42908886047515227
