"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
0,"1","1",0,2575.35310555555,-2575.35310555555
0,"1","2",0,2575.92273888889,-2575.92273888889
0,"1","1",489,1067.99941666667,-578.999416666667
0,"1","1",989,1325.70453888889,-336.70453888889
0,"1","1",1490,1430.55971111111,59.4402888888872
0,"1","1",1980,1801.81335555556,178.186644444442
0,"1","1",2496,2620.30501666667,-124.305016666666
0,"1","1",3103,3104.28962777778,-1.28962777777997
0,"1","1",3434,2639.81924444445,794.180755555552
0,"1","1",3962,3820.34752222223,141.652477777772
0,"1","1",4527,2956.5114,1570.4886
0,"2","1",0,2510.81599444444,-2510.81599444444
0,"2","2",0,2497.28787222222,-2497.28787222222
0,"2","2",489,1044.14275,-555.142750000001
0,"2","2",989,1406.08087222222,-417.080872222224
0,"2","2",1490,1629.95173333334,-139.951733333336
0,"2","2",1980,2252.26742222222,-272.267422222223
0,"2","2",2496,2612.91788888889,-116.91788888889
0,"2","2",3103,2921.74747777778,181.252522222219
0,"2","2",3434,3018.95585,415.044149999997
0,"2","2",3962,3589.29736666667,372.702633333326
0,"2","2",4527,3554.85286666667,972.147133333326
489,"1","1",0,1249.75664444445,-1249.75664444445
489,"1","1",489,1176.80674444445,-687.806744444447
489,"1","2",489,1235.32685555556,-746.326855555558
489,"1","3",489,1167.79703888889,-678.797038888891
489,"1","1",989,1494.01746666667,-505.017466666667
489,"1","1",1490,1535.80720555556,-45.807205555556
489,"1","1",1980,1878.02391111111,101.97608888889
489,"1","1",2496,2257.68124444445,238.318755555554
489,"1","1",3103,3044.49083888889,58.5091611111102
489,"1","1",3434,2711.37683333334,722.623166666664
489,"1","1",3962,3656.62051666667,305.379483333327
489,"1","1",4527,3133.00813888888,1393.99186111112
489,"2","2",0,1126.20335,-1126.20335
489,"2","1",489,1258.41798888889,-769.417988888891
489,"2","2",489,1226.27597222222,-737.275972222224
489,"2","3",489,1200.92103333334,-711.921033333336
489,"2","2",989,1647.09670555555,-658.096705555554
489,"2","2",1490,1862.18681666666,-372.186816666662
489,"2","2",1980,2335.26801666667,-355.268016666666
489,"2","2",2496,2394.93735,101.06265
489,"2","2",3103,2767.99968888889,335.000311111107
489,"2","2",3434,2877.75405555556,556.245944444445
489,"2","2",3962,3506.19036666667,455.809633333331
489,"2","2",4527,3478.75433333334,1048.24566666666
489,"3","1",489,951.102877777778,-462.102877777778
489,"3","2",489,1117.42661111111,-628.426611111112
489,"3","3",489,936.45645,-447.45645
489,"3","3",989,1554.97268888889,-565.972688888891
489,"3","3",1490,1642.55361666667,-152.553616666666
489,"3","3",1980,1943.94813888889,36.0518611111106
489,"3","3",2496,2676.08187222222,-180.081872222223
489,"3","3",3103,3296.43931666667,-193.439316666673
489,"3","3",3434,3656.72747222223,-222.72747222223
489,"3","3",3962,2843.35791666667,1118.64208333333
989,"1","1",0,1108.33163888889,-1108.33163888889
989,"1","1",489,978.720316666667,-489.720316666667
989,"1","1",989,1550.97216666667,-561.972166666665
989,"1","2",989,1809.68362222222,-820.683622222222
989,"1","3",989,1991.58816666667,-1002.58816666667
989,"1","1",1490,1305.34155555555,184.658444444446
989,"1","1",1980,2080.44068888889,-100.440688888891
989,"1","1",2496,2177.96298888889,318.037011111109
989,"1","1",3103,3033.43632777778,69.5636722222221
989,"1","1",3434,2603.89082222222,830.109177777776
989,"1","1",3962,3480.48149444444,481.518505555556
989,"1","1",4527,3053.02667222222,1473.97332777778
989,"2","2",0,991.411333333333,-991.411333333333
989,"2","2",489,1034.59367777778,-545.593677777778
989,"2","1",989,2014.11695,-1025.11695
989,"2","2",989,2190.47387222222,-1201.47387222222
989,"2","3",989,2094.48683333333,-1105.48683333333
989,"2","2",1490,2000.97055,-510.97055
989,"2","2",1980,2205.98815,-225.988149999997
989,"2","2",2496,2314.52682222222,181.473177777779
989,"2","2",3103,2557.73223333333,545.267766666666
989,"2","2",3434,2982.25576111111,451.744238888891
989,"2","2",3962,3412.65688333334,549.343116666662
989,"2","2",4527,3477.3372888889,1049.6627111111
989,"3","3",489,700.074344444444,-211.074344444444
989,"3","1",989,1762.46268888889,-773.46268888889
989,"3","2",989,1529.34575,-540.345750000001
989,"3","3",989,1707.11616666667,-718.116166666668
989,"3","3",1490,1635.39296666667,-145.392966666668
989,"3","3",1980,2235.41075,-255.410750000004
989,"3","3",2496,3133.99946111111,-637.999461111109
989,"3","3",3103,3253.22623333333,-150.226233333334
989,"3","3",3434,3538.52671666667,-104.526716666667
989,"3","3",3962,3755.90611666667,206.093883333334
1490,"1","1",0,1140.92871111111,-1140.92871111111
1490,"1","1",489,788.556661111107,-299.556661111107
1490,"1","1",989,1446.07997222222,-457.079972222224
1490,"1","1",1490,1393.94653888889,96.0534611111102
1490,"1","2",1490,1844.98051666668,-354.980516666677
1490,"1","3",1490,1872.03455000001,-382.034550000009
1490,"1","1",1980,1995.45701666667,-15.4570166666724
1490,"1","1",2496,2267.04365,228.956349999996
1490,"1","1",3103,3079.17533888889,23.8246611111108
1490,"1","1",3434,2698.25967777778,735.74032222222
1490,"1","1",3962,3495.16921111111,466.830788888887
1490,"1","1",4527,3104.33068333334,1422.66931666666
1490,"2","2",0,1075.45783333334,-1075.45783333334
1490,"2","2",489,832.473761111109,-343.473761111109
1490,"2","2",989,1709.06824444445,-720.068244444449
1490,"2","1",1490,1225.31547777778,264.68452222222
1490,"2","2",1490,2026.79271111112,-536.792711111118
1490,"2","3",1490,2052.18692222223,-562.186922222227
1490,"2","2",1980,2279.49467777778,-299.494677777782
1490,"2","2",2496,2455.13891111111,40.861088888887
1490,"2","2",3103,2804.19913888889,298.800861111109
1490,"2","2",3434,2863.36821111111,570.631788888889
1490,"2","2",3962,3273.31994444445,688.680055555551
1490,"2","2",4527,3307.82493888889,1219.17506111111
1490,"3","3",489,570.883411111108,-81.883411111108
1490,"3","3",989,1670.95894444445,-681.95894444445
1490,"3","1",1490,1063.89136666667,426.108633333333
1490,"3","2",1490,1895.76007222223,-405.760072222226
1490,"3","3",1490,1688.72531666667,-198.72531666667
1490,"3","3",1980,2065.32775,-85.3277500000004
1490,"3","3",2496,2914.27798333333,-418.277983333334
1490,"3","3",3103,3169.54356666667,-66.5435666666672
1490,"3","3",3434,3555.15271666667,-121.152716666674
1490,"3","3",3962,3282.79512777778,679.204872222217
1980,"1","1",0,1065.68638333333,-1065.68638333333
1980,"1","1",489,742.879977777776,-253.879977777776
1980,"1","1",989,1380.98324444445,-391.983244444446
1980,"1","1",1490,1517.72918888889,-27.729188888891
1980,"1","1",1980,1955.35465,24.6453499999952
1980,"1","2",1980,2567.29365,-587.29365
1980,"1","3",1980,2165.14058333333,-185.140583333335
1980,"1","1",2496,2213.46863333334,282.531366666664
1980,"1","1",3103,3062.99090555556,40.0090944444414
1980,"1","1",3434,2698.08777222222,735.912227777778
1980,"1","1",3962,3491.89791111111,470.102088888887
1980,"1","1",4527,3214.44946111111,1312.55053888889
1980,"2","2",0,1031.99002777778,-1031.99002777778
1980,"2","2",489,865.047166666666,-376.047166666666
1980,"2","2",989,1711.11535555556,-722.115355555556
1980,"2","2",1490,1879.42967777778,-389.429677777782
1980,"2","1",1980,2423.58936666667,-443.589366666669
1980,"2","2",1980,2471.65459444445,-491.654594444447
1980,"2","3",1980,2444.75531111112,-464.755311111116
1980,"2","2",2496,2575.90846111111,-79.9084611111134
1980,"2","2",3103,2828.90739444445,274.092605555555
1980,"2","2",3434,2974.29775555556,459.702244444444
1980,"2","2",3962,3228.20431111111,733.795688888888
1980,"2","2",4527,3318.60050555556,1208.39949444444
1980,"3","3",489,516.201966666667,-27.2019666666665
1980,"3","3",989,1389.99691111111,-400.996911111111
1980,"3","3",1490,1535.5339,-45.5338999999985
1980,"3","1",1980,2614.71516111111,-634.715161111108
1980,"3","2",1980,2783.16511666667,-803.165116666668
1980,"3","3",1980,2570.23733888889,-590.237338888889
1980,"3","3",2496,2965.37485555556,-469.374855555562
1980,"3","3",3103,3162.29698333334,-59.2969833333391
1980,"3","3",3434,3553.61914444445,-119.619144444448
1980,"3","3",3962,3608.51798888889,353.482011111107
2496,"1","1",0,1223.32227222223,-1223.32227222223
2496,"1","1",489,717.282011111108,-228.282011111108
2496,"1","1",989,1190.66089444445,-201.660894444446
2496,"1","1",1490,1270.74825,219.251749999998
2496,"1","1",1980,1762.48330555556,217.516694444444
2496,"1","1",2496,2214.6407,281.3593
2496,"1","2",2496,2326.59662777778,169.403372222222
2496,"1","3",2496,3018.58707777778,-522.58707777778
2496,"1","1",3103,3163.30496666667,-60.3049666666707
2496,"1","1",3434,2897.11022222222,536.889777777776
2496,"1","1",3962,3738.03879444445,223.961205555548
2496,"1","1",4527,3167.76122222223,1359.23877777777
2496,"2","2",0,1200.89487777778,-1200.89487777778
