"date","degdays","season","type","collection","sampleName"
2017-11-17,0,"Fall","Scapula","B","RRS1BCS"
2017-11-17,0,"Fall","Scapula","B","RRS2BCS"
2017-11-17,0,"Fall","Scapula","B","RRS3BCS"
2017-11-17,0,"Fall","Scapula","B","RRS4BCS"
2017-11-17,0,"Fall","Scapula","B","RRS5BCS"
2017-11-17,0,"Fall","Rib","B","RRR1BCS"
2017-11-17,0,"Fall","Rib","B","RRR2BCS"
2017-11-17,0,"Fall","Rib","B","RRR3BCS"
2017-11-17,0,"Fall","Rib","B","RRR4BCS"
2017-11-17,0,"Fall","Rib","B","RRR5BCS"
2017-11-17,0,"Fall","Water","B","RRWBCS"
2017-12-15,268,"Fall","Scapula","1","RRS1C1CS"
2017-12-15,268,"Fall","Scapula","1","RRS2C1CS"
2017-12-15,268,"Fall","Scapula","1","RRS3C1CS"
2017-12-15,268,"Fall","Scapula","1","RRS4C1CS"
2017-12-15,268,"Fall","Scapula","1","RRS5C1CS"
2017-12-15,268,"Fall","Rib","1","RRR1C1CS"
2017-12-15,268,"Fall","Rib","1","RRR2C1CS"
2017-12-15,268,"Fall","Rib","1","RRR3C1CS"
2017-12-15,268,"Fall","Rib","1","RRR4C1CS"
2017-12-15,268,"Fall","Rib","1","RRR5C1CS"
2017-12-15,268,"Fall","Water","1","RRWC1CS"
2017-12-15,268,"Fall","Mud","1","RRMC1CS"
2018-02-06,516,"Winter","Scapula","2","RRS1C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS2C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS3C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS4C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS5C2CS"
2018-02-06,516,"Winter","Rib","2","RRR1C2CS"
2018-02-06,516,"Winter","Rib","2","RRR2C2CS"
2018-02-06,516,"Winter","Rib","2","RRR3C2CS"
2018-02-06,516,"Winter","Rib","2","RRR4C2CS"
2018-02-06,516,"Winter","Rib","2","RRR5C2CS"
2018-02-06,516,"Winter","Water","2","RRWC2CS"
2018-02-06,516,"Winter","Mud","2","RRMC2CS"
2018-03-01,741,"Winter","Scapula","3","RRS1C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS2C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS3C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS4C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS5C3CS"
2018-03-01,741,"Winter","Rib","3","RRR1C3CS"
2018-03-01,741,"Winter","Rib","3","RRR2C3CS"
2018-03-01,741,"Winter","Rib","3","RRR3C3CS"
2018-03-01,741,"Winter","Rib","3","RRR4C3CS"
2018-03-01,741,"Winter","Rib","3","RRR5C3CS"
2018-03-01,741,"Winter","Water","3","RRWC3CS"
2018-03-01,741,"Winter","Mud","3","RRMC3CS"
2018-03-29,1012,"Spring","Scapula","4","RRS1C4CS"
2018-03-29,1012,"Spring","Scapula","4","RRS2C4CS"
2018-03-29,1012,"Spring","Scapula","4","RRS3C4CS"
2018-03-29,1012,"Spring","Scapula","4","RRS4C4CS"
2018-03-29,1012,"Spring","Scapula","4","RRS5C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR1C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR2C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR3C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR4C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR5C4CS"
2018-03-29,1012,"Spring","Water","4","RRWC4CS"
2018-03-29,1012,"Spring","Mud","4","RRMC4CS"
2018-04-17,1278,"Spring","Scapula","5","RRS1C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS2C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS3C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS4C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS5C5CS"
2018-04-17,1278,"Spring","RIb","5","RRR1C5CS"
2018-04-17,1278,"Spring","RIb","5","RRR2C5CS"
2018-04-17,1278,"Spring","Water","5","RRWC5CS"
2018-05-02,1513,"Spring","Scapula","6","RRS1C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS2C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS3C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS4C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS5C6CS"
2018-05-02,1513,"Spring","Rib","6","RRR1C6CS"
2018-05-02,1513,"Spring","Water","6","RRWC6CS"
2018-05-02,1513,"Spring","Mud","6","RRMC6CS"
2018-05-16,1827,"Spring","Scapula","7","RRS1C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS2C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS3C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS4C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS5C7CS"
2018-05-16,1827,"Spring","Water","7","RRWC7CS"
2018-05-16,1827,"Spring","Mud","7","RRMC7CS"
2018-05-29,2141,"Spring","Scapula","8","RRS1C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS2C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS3C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS4C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS5C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR1C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR2C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR3C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR4C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR5C8CS"
2018-05-29,2141,"Spring","Water","8","RRWC8CS"
2018-05-29,2141,"Spring","Mud","8","RRMC8CS"
2018-06-08,2395,"Spring","Scapula","9","RRS1C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS2C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS3C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS4C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS5C9CS"
2018-06-08,2395,"Spring","Rib","9","RRR1C9CS"
2018-06-08,2395,"Spring","Rib","9","RRR2C9CS"
2018-06-08,2395,"Spring","Rib","9","RRR3C9CS"
2018-06-08,2395,"Spring","Water","9","RRWC9CS"
2018-06-08,2395,"Spring","Mud","9","RRMC9CS"
2018-06-18,2656,"Spring","Scapula","10","RRS1C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS2C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS3C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS4C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS5C10CS"
