"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
268,"R1","R1",268,626.367833333333,-358.367833333333
268,"R1","R2",268,633.921727777778,-365.921727777778
268,"R1","R3",268,708.73745,-440.73745
268,"R1","R4",268,660.349727777778,-392.349727777778
268,"R1","R5",268,754.408572222222,-486.408572222222
268,"R1","R1",516,641.588966666667,-125.588966666667
268,"R1","R1",741,654.0798,86.9201999999999
268,"R1","R1",1012,1098.01015,-86.0101500000005
268,"R1","R1",1278,1790.41112222222,-512.411122222222
268,"R1","R1",1513,1790.57695,-277.576950000001
268,"R1","R1",2141,2085.45773888889,55.5422611111121
268,"R1","R1",2395,2637.79679444444,-242.796794444442
268,"R1","R1",2656,2617.85092777777,38.1490722222261
268,"R1","R1",2915,2740.11330555556,174.886694444442
268,"R1","R1",3181,3408.19566111111,-227.195661111106
268,"R1","R1",3388,3473.67068888889,-85.6706888888857
268,"R1","R1",3673,3418.74486666667,254.255133333334
268,"R1","R1",3949,4481.10345,-532.10345
268,"R1","R1",4267,4613.98382777778,-346.983827777782
268,"R1","R1",4731,3690.15701111111,1040.84298888889
268,"R1","R1",4972,4897.06150555555,74.9384944444519
268,"R1","R1",5296,5117.06101111111,178.93898888889
268,"R1","R1",5546,4733.82593333333,812.174066666675
268,"R1","R1",5803,4893.56453888889,909.435461111113
268,"R1","R1",6104,4706.70461666667,1397.29538333333
268,"R1","R1",6322,5419.42628333333,902.573716666666
268,"R2","R1",268,641.435588888889,-373.435588888889
268,"R2","R2",268,641.568172222222,-373.568172222222
268,"R2","R3",268,678.965072222222,-410.965072222222
268,"R2","R4",268,640.980155555555,-372.980155555555
268,"R2","R5",268,747.880022222222,-479.880022222222
268,"R2","R2",516,613.441583333333,-97.4415833333333
268,"R2","R2",741,792.395916666666,-51.3959166666659
268,"R2","R2",1012,940.495477777777,71.5045222222226
268,"R2","R2",1278,1864.02522222223,-586.025222222227
268,"R2","R2",2141,2415.08033333333,-274.080333333332
268,"R2","R2",2395,2746.68305555555,-351.683055555553
268,"R2","R2",2656,3040.72118888889,-384.721188888886
268,"R2","R2",2915,3038.38774444444,-123.387744444445
268,"R2","R2",3181,3634.21538333333,-453.215383333329
268,"R2","R2",3388,4000.35255,-612.352549999998
268,"R2","R2",3673,3218.49389444444,454.506105555557
268,"R2","R2",3949,3757.34248333333,191.657516666671
268,"R2","R2",4267,5130.34004999999,-863.340049999994
268,"R2","R2",4731,4174.2391,556.760900000002
268,"R2","R2",5546,5082.28092777777,463.719072222229
268,"R2","R2",5803,5285.83593888889,517.164061111113
268,"R2","R2",6104,5619.9007611111,484.099238888904
268,"R3","R1",268,634.795822222222,-366.795822222222
268,"R3","R2",268,620.385716666667,-352.385716666667
268,"R3","R3",268,724.386661111111,-456.386661111111
268,"R3","R4",268,684.563238888889,-416.563238888889
268,"R3","R5",268,817.176527777778,-549.176527777778
268,"R3","R3",516,629.2523,-113.2523
268,"R3","R3",741,779.747938888889,-38.7479388888892
268,"R3","R3",1012,973.717427777778,38.2825722222217
268,"R3","R3",2141,2227.06725555555,-86.0672555555516
268,"R3","R3",2395,2647.7123,-252.712299999995
268,"R3","R3",2656,2393.43247777777,262.567522222232
268,"R3","R3",2915,2971.86868333333,-56.8686833333322
268,"R3","R3",3388,4147.03161111111,-759.031611111105
268,"R3","R3",3673,3858.87448333333,-185.874483333329
268,"R3","R3",3949,4201.30942777777,-252.309427777772
268,"R3","R3",4267,3994.29247222222,272.70752777778
268,"R3","R3",4731,4520.51188888888,210.488111111115
268,"R3","R3",5546,4637.90179999999,908.098200000006
268,"R3","R3",5803,5236.17975555555,566.82024444445
268,"R3","R3",6104,4965.2520111111,1138.7479888889
268,"R4","R1",268,633.618988888889,-365.618988888889
268,"R4","R2",268,620.758866666666,-352.758866666666
268,"R4","R3",268,743.457111111111,-475.457111111111
268,"R4","R4",268,687.978088888889,-419.978088888889
268,"R4","R5",268,781.929644444445,-513.929644444445
268,"R4","R4",516,675.390294444444,-159.390294444444
268,"R4","R4",741,751.412544444444,-10.4125444444443
268,"R4","R4",1012,1052.07787777778,-40.0778777777789
268,"R4","R4",2141,2278.38185,-137.381849999999
268,"R4","R4",2656,2680.42749444444,-24.4274944444446
268,"R4","R4",2915,3205.71658333333,-290.716583333335
268,"R4","R4",3388,3711.21879444444,-323.218794444438
268,"R4","R4",3949,4405.4423111111,-456.442311111105
268,"R4","R4",4267,4282.79397222222,-15.79397222222
268,"R4","R4",4731,4182.13305555556,548.866944444443
268,"R4","R4",4972,4138.16553888889,833.834461111112
268,"R4","R4",5803,5003.84227777776,799.157722222239
268,"R4","R4",6104,5038.76467777776,1065.23532222224
268,"R5","R1",268,658.555627777778,-390.555627777778
268,"R5","R2",268,621.774488888889,-353.774488888889
268,"R5","R3",268,721.000127777777,-453.000127777777
268,"R5","R4",268,682.580261111111,-414.580261111111
268,"R5","R5",268,762.25221111111,-494.25221111111
268,"R5","R5",516,731.620016666666,-215.620016666666
268,"R5","R5",741,695.417505555555,45.5824944444446
268,"R5","R5",1012,890.174488888889,121.825511111111
268,"R5","R5",2141,1791.56778888889,349.43221111111
268,"R5","R5",2656,3275.04584444444,-619.045844444442
268,"R5","R5",2915,3029.69106111111,-114.691061111112
268,"R5","R5",3388,3804.90721666666,-416.907216666664
268,"R5","R5",3673,4485.01108888889,-812.01108888889
268,"R5","R5",4267,4509.34756111111,-242.347561111111
268,"R5","R5",4731,4658.40039999999,72.5996000000059
516,"R1","R1",268,395.229816666667,-127.229816666667
516,"R1","R1",516,549.51835,-33.5183499999996
516,"R1","R2",516,395.516344444445,120.483655555555
516,"R1","R3",516,536.493966666666,-20.4939666666662
516,"R1","R4",516,608.518222222221,-92.5182222222214
516,"R1","R5",516,530.439622222222,-14.4396222222217
516,"R1","R1",741,642.292138888889,98.7078611111114
516,"R1","R1",1012,1108.15477222222,-96.1547722222228
516,"R1","R1",1278,1573.09555555556,-295.095555555557
516,"R1","R1",1513,1558.4946,-45.4946000000002
516,"R1","R1",2141,2009.16972222222,131.830277777779
516,"R1","R1",2395,2640.89353888889,-245.893538888887
516,"R1","R1",2656,2583.51249444444,72.4875055555576
516,"R1","R1",2915,2807.14271666667,107.857283333329
516,"R1","R1",3181,3388.09376666667,-207.093766666665
516,"R1","R1",3388,3440.49512777778,-52.4951277777795
516,"R1","R1",3673,3414.09757222222,258.902427777779
516,"R1","R1",3949,4442.92457222222,-493.924572222219
