"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
0,"S1","S1",0,988.511938888889,-988.511938888889
0,"S1","S2",0,584.547861111111,-584.547861111111
0,"S1","S3",0,592.670877777778,-592.670877777778
0,"S1","S4",0,590.856366666667,-590.856366666667
0,"S1","S5",0,588.485972222222,-588.485972222222
0,"S1","S1",268,358.616894444445,-90.6168944444448
0,"S1","S1",516,606.630633333333,-90.6306333333332
0,"S1","S1",741,797.039699999999,-56.0396999999992
0,"S1","S1",1012,1327.16807222222,-315.168072222222
0,"S1","S1",1278,1605.00077777778,-327.00077777778
0,"S1","S1",1513,1316.21465555556,196.785344444444
0,"S1","S1",1827,2196.66193888889,-369.66193888889
0,"S1","S1",2141,2206.14378333333,-65.1437833333334
0,"S1","S1",2395,2398.44665555556,-3.44665555555548
0,"S1","S1",2656,2849.88586111111,-193.885861111111
0,"S1","S1",2915,3207.95047222222,-292.950472222222
0,"S1","S1",3388,4284.41851666667,-896.418516666667
0,"S1","S1",3673,3570.00005,102.99995
0,"S1","S1",3949,4001.56389444445,-52.5638944444499
0,"S1","S1",4267,4654.35225,-387.352249999997
0,"S1","S1",4731,4280.00018333333,450.999816666666
0,"S1","S1",4972,5091.10957222223,-119.109572222225
0,"S1","S1",5296,5293.05244444444,2.94755555555639
0,"S1","S1",5546,4807.67087777777,738.329122222231
0,"S1","S1",5803,5209.01093888888,593.98906111112
0,"S1","S1",6104,5414.32360555555,689.676394444446
0,"S1","S1",6322,5259.23237222223,1062.76762777777
0,"S2","S1",0,1069.77064444444,-1069.77064444444
0,"S2","S2",0,550.304022222223,-550.304022222223
0,"S2","S3",0,551.945088888889,-551.945088888889
0,"S2","S4",0,543.245322222223,-543.245322222223
0,"S2","S5",0,547.561083333334,-547.561083333334
0,"S2","S2",268,342.290405555556,-74.290405555556
0,"S2","S2",516,470.199061111111,45.8009388888886
0,"S2","S2",741,581.253916666667,159.746083333333
0,"S2","S2",1012,1009.35972777778,2.64027222222194
0,"S2","S2",1278,1293.75627222222,-15.7562722222228
0,"S2","S2",1513,1550.59942777778,-37.5994277777766
0,"S2","S2",1827,2022.46515,-195.46515
0,"S2","S2",2141,2262.70052222222,-121.700522222221
0,"S2","S2",2395,2773.4652,-378.465199999998
0,"S2","S2",2656,2394.58851111111,261.411488888887
0,"S2","S2",2915,3301.28776666667,-386.287766666668
0,"S2","S2",3181,3344.97007777778,-163.970077777778
0,"S2","S2",3388,4149.42431111111,-761.424311111106
0,"S2","S2",3673,3756.79655,-83.7965500000037
0,"S2","S2",3949,3320.44498888889,628.555011111111
0,"S2","S2",4267,4606.30708333333,-339.307083333333
0,"S2","S2",4473,5007.99552777778,-534.995527777778
0,"S2","S2",4731,5178.03598888888,-447.035988888884
0,"S2","S2",4972,4764.70298333333,207.297016666671
0,"S2","S2",5296,5555.86883333333,-259.868833333331
0,"S2","S2",5546,5038.65005,507.349950000003
0,"S2","S2",5803,5318.39913888889,484.60086111111
0,"S2","S2",6104,5502.11705,601.882950000002
0,"S2","S2",6322,5700.26827222223,621.731727777772
0,"S3","S1",0,1034.28630555555,-1034.28630555555
0,"S3","S2",0,682.9905,-682.9905
0,"S3","S3",0,689.798388888889,-689.798388888889
0,"S3","S4",0,689.763738888889,-689.763738888889
0,"S3","S5",0,694.711016666667,-694.711016666667
0,"S3","S3",268,414.7574,-146.7574
0,"S3","S3",516,694.576055555555,-178.576055555555
0,"S3","S3",741,782.55075,-41.55075
0,"S3","S3",1012,982.625166666667,29.3748333333332
0,"S3","S3",1278,1538.70698888889,-260.706988888888
0,"S3","S3",1513,1279.79151666667,233.208483333334
0,"S3","S3",1827,1980.42492222222,-153.424922222222
0,"S3","S3",2141,2290.54615,-149.546150000001
0,"S3","S3",2395,2132.74942777778,262.250572222223
0,"S3","S3",2656,2861.07751111111,-205.077511111113
0,"S3","S3",2915,3313.82188333333,-398.821883333334
0,"S3","S3",3181,3328.61177777778,-147.611777777779
