"taxon","taxaColors"
"Pirellulaceae","#3283FE"
"Rhodospirillaceae","#85660D"
"Sediment_4","#782AB6"
"Streptomycetaceae","#565656"
"Xanthobacteraceae","#1C8356"
"Dethiosulfovibrionaceae","#16FF32"
"Rikenellaceae","#C4451C"
"Syntrophaceae","#DEA0FD"
"Holophagaceae","#FE00FA"
"Methylococcaceae","#325A9B"
"Xanthomonadaceae","#FEAF16"
"Bacteroidaceae","#F6222E"
"Enterobacteriaceae","#2ED9FF"
"Synechococcaceae","#B10DA1"
"Veillonellaceae","#C075A6"
"Crenotrichaceae","#FC1CBF"
"Methylocystaceae","#B00068"
"Moraxellaceae","#FBE426"
"Pseudomonadaceae","#FA0087"
"Clostridiaceae",NA
