"date","degdays","season","type","collection","sampleName"
2017-12-15,268,"Fall","Scapula","1","RRS1C1CS"
2017-12-15,268,"Fall","Scapula","1","RRS2C1CS"
2017-12-15,268,"Fall","Scapula","1","RRS3C1CS"
2017-12-15,268,"Fall","Scapula","1","RRS5C1CS"
2017-12-15,268,"Fall","Rib","1","RRR5C1CS"
2018-02-06,516,"Winter","Scapula","2","RRS1C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS2C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS3C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS4C2CS"
2018-02-06,516,"Winter","Scapula","2","RRS5C2CS"
2018-02-06,516,"Winter","Rib","2","RRR1C2CS"
2018-03-01,741,"Winter","Scapula","3","RRS1C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS2C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS3C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS4C3CS"
2018-03-01,741,"Winter","Scapula","3","RRS5C3CS"
2018-03-01,741,"Winter","Rib","3","RRR1C3CS"
2018-03-01,741,"Winter","Rib","3","RRR2C3CS"
2018-03-01,741,"Winter","Rib","3","RRR3C3CS"
2018-03-01,741,"Winter","Rib","3","RRR5C3CS"
2018-03-29,1012,"Spring","Scapula","4","RRS1C4CS"
2018-03-29,1012,"Spring","Scapula","4","RRS3C4CS"
2018-03-29,1012,"Spring","Scapula","4","RRS4C4CS"
2018-03-29,1012,"Spring","Scapula","4","RRS5C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR1C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR2C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR3C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR4C4CS"
2018-03-29,1012,"Spring","Rib","4","RRR5C4CS"
2018-04-17,1278,"Spring","Scapula","5","RRS1C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS2C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS3C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS4C5CS"
2018-04-17,1278,"Spring","Scapula","5","RRS5C5CS"
2018-04-17,1278,"Spring","Rib","5","RRR1C5CS"
2018-04-17,1278,"Spring","Rib","5","RRR2C5CS"
2018-04-17,1278,"Spring","Water","5","RRWC5CS"
2018-05-02,1513,"Spring","Scapula","6","RRS1C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS2C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS3C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS4C6CS"
2018-05-02,1513,"Spring","Scapula","6","RRS5C6CS"
2018-05-02,1513,"Spring","Rib","6","RRR1C6CS"
2018-05-16,1827,"Spring","Scapula","7","RRS1C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS2C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS3C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS4C7CS"
2018-05-16,1827,"Spring","Scapula","7","RRS5C7CS"
2018-05-29,2141,"Spring","Scapula","8","RRS1C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS2C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS3C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS4C8CS"
2018-05-29,2141,"Spring","Scapula","8","RRS5C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR1C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR2C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR3C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR4C8CS"
2018-05-29,2141,"Spring","Rib","8","RRR5C8CS"
2018-06-08,2395,"Spring","Scapula","9","RRS1C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS2C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS3C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS4C9CS"
2018-06-08,2395,"Spring","Scapula","9","RRS5C9CS"
2018-06-08,2395,"Spring","Rib","9","RRR1C9CS"
2018-06-08,2395,"Spring","Rib","9","RRR2C9CS"
2018-06-18,2656,"Spring","Scapula","10","RRS1C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS2C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS3C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS4C10CS"
2018-06-18,2656,"Spring","Scapula","10","RRS5C10CS"
2018-06-18,2656,"Spring","Rib","10","RRR1C10CS"
2018-06-18,2656,"Spring","Rib","10","RRR2C10CS"
2018-06-18,2656,"Spring","Rib","10","RRR3C10CS"
2018-06-18,2656,"Spring","Rib","10","RRR4C10CS"
