"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
268,"S1","S1",268,1681.10016111111,-1413.10016111111
268,"S1","S2",268,810.104738888889,-542.104738888889
268,"S1","S3",268,756.959555555555,-488.959555555555
268,"S1","S5",268,780.146427777777,-512.146427777777
268,"S1","S1",516,1248.76249444445,-732.762494444445
268,"S1","S1",741,1393.92058333334,-652.920583333336
268,"S1","S1",1012,1060.6944,-48.6944000000005
268,"S1","S1",1278,1900.59966111111,-622.599661111109
268,"S1","S1",1513,1689.65621111111,-176.656211111108
268,"S1","S1",1827,2767.42067222222,-940.420672222221
268,"S1","S1",2141,2562.79374444444,-421.793744444441
268,"S1","S1",2395,2507.88002222222,-112.880022222223
268,"S1","S1",2656,2860.88376666666,-204.883766666665
268,"S1","S1",2915,3168.93131111111,-253.931311111111
268,"S1","S1",3181,3057.51970555556,123.480294444444
268,"S1","S1",3388,3627.26356666667,-239.263566666668
268,"S1","S1",3949,3771.74718333334,177.252816666664
268,"S1","S1",4267,4172.32576666666,94.6742333333359
268,"S1","S1",4731,4265.80844444443,465.191555555566
268,"S1","S1",4972,3533.34535,1438.65465
268,"S2","S1",268,1459.35412777778,-1191.35412777778
268,"S2","S2",268,813.370305555556,-545.370305555556
268,"S2","S3",268,768.51195,-500.51195
268,"S2","S5",268,851.599283333333,-583.599283333333
268,"S2","S2",516,1671.53750555555,-1155.53750555555
268,"S2","S2",741,792.112872222222,-51.1128722222222
268,"S2","S2",1278,1564.24365555556,-286.243655555555
268,"S2","S2",1513,1694.16484444444,-181.164844444443
268,"S2","S2",1827,1644.74353333333,182.256466666669
268,"S2","S2",2141,2435.33225555556,-294.332255555557
268,"S2","S2",2395,2827.5404,-432.540400000002
268,"S2","S2",2656,2579.94473333333,76.055266666669
268,"S2","S2",2915,2834.31901111111,80.6809888888897
268,"S2","S2",3181,3802.67652222223,-621.676522222226
268,"S2","S2",3388,2982.07732777778,405.922672222219
268,"S2","S2",3673,2844.71776666667,828.282233333334
268,"S2","S2",3949,3611.66121111111,337.33878888889
268,"S2","S2",4267,3752.17058888889,514.829411111112
268,"S2","S2",4473,4450.68315,22.3168499999992
268,"S2","S2",4731,3112.93602777778,1618.06397222222
268,"S2","S2",4972,4533.90478333333,438.095216666666
268,"S3","S1",268,1339.25543333333,-1071.25543333333
268,"S3","S2",268,852.100105555556,-584.100105555556
268,"S3","S3",268,856.519016666667,-588.519016666667
268,"S3","S5",268,810.579944444444,-542.579944444444
268,"S3","S3",516,794.338194444444,-278.338194444444
268,"S3","S3",741,826.176394444444,-85.1763944444443
268,"S3","S3",1012,935.87525,76.1247499999998
268,"S3","S3",1278,1631.55515,-353.555149999998
268,"S3","S3",1513,1442.67296111111,70.3270388888893
268,"S3","S3",1827,1657.53165,169.46835
268,"S3","S3",2141,1644.15886666667,496.841133333333
268,"S3","S3",2395,2412.89405,-17.8940500000022
268,"S3","S3",2656,3085.10667222222,-429.106672222223
268,"S3","S3",2915,2388.14681111111,526.853188888889
268,"S3","S3",3181,3481.93665,-300.936650000002
268,"S3","S3",3388,3297.15698333333,90.8430166666676
268,"S3","S3",3673,3716.04353888889,-43.0435388888855
268,"S3","S3",3949,3678.48018888889,270.519811111109
268,"S3","S3",4267,4356.00412777778,-89.0041277777837
268,"S3","S3",4731,3773.22412777778,957.775872222219
268,"S3","S3",4972,4006.38449999999,965.615500000006
268,"S5","S1",268,1344.63926666667,-1076.63926666667
268,"S5","S2",268,718.441799999999,-450.441799999999
268,"S5","S3",268,770.727094444444,-502.727094444444
268,"S5","S5",268,864.974838888889,-596.974838888889
268,"S5","S5",516,1085.60731666667,-569.607316666668
268,"S5","S5",741,1196.80663333333,-455.806633333334
268,"S5","S5",1012,1373.03541111111,-361.035411111111
268,"S5","S5",1278,1503.90372222222,-225.903722222219
268,"S5","S5",1513,1632.66369444444,-119.663694444444
