"sampleName","taxon","type","degdays","counts","fracBySample"
"RRMC15CS","f__ACK_M1","Mud",3949,16,0.00421607378129117
"RRMC15CS","f__Chitinophagaceae","Mud",3949,205,0.0540184453227932
"RRMC15CS","f__Chthoniobacteraceae","Mud",3949,165,0.0434782608695652
"RRMC15CS","f__Comamonadaceae","Mud",3949,303,0.0798418972332016
"RRMC15CS","f__Crenotrichaceae","Mud",3949,39,0.0102766798418972
"RRMC15CS","f__Gemmataceae","Mud",3949,138,0.0363636363636364
"RRMC15CS","f__Nitrospiraceae","Mud",3949,20,0.00527009222661397
"RRMC15CS","f__Oxalobacteraceae","Mud",3949,6,0.00158102766798419
"RRMC15CS","f__Pirellulaceae","Mud",3949,223,0.0587615283267457
"RRMC15CS","f__Planctomycetaceae","Mud",3949,77,0.0202898550724638
"RRMC15CS","f__Polyangiaceae","Mud",3949,55,0.0144927536231884
"RRMC15CS","f__R4_41B","Mud",3949,42,0.0110671936758893
"RRMC15CS","f__Rhodobacteraceae","Mud",3949,131,0.0345191040843215
"RRMC15CS","f__Saprospiraceae","Mud",3949,132,0.0347826086956522
"RRMC15CS","f__Sinobacteraceae","Mud",3949,149,0.039262187088274
"RRMC15CS","f__Sphingomonadaceae","Mud",3949,201,0.0529644268774704
"RRMC15CS","f__Synechococcaceae","Mud",3949,325,0.0856389986824769
"RRMC15CS","f__Verrucomicrobiaceae","Mud",3949,112,0.0295125164690382
"RRMC15CS","Rare","Mud",3949,1456,0.383662714097497
"RRMC20CS","f__ACK_M1","Mud",5296,669,0.137343461301581
"RRMC20CS","f__Chitinophagaceae","Mud",5296,166,0.0340792445083145
"RRMC20CS","f__Chthoniobacteraceae","Mud",5296,547,0.112297269554506
"RRMC20CS","f__Comamonadaceae","Mud",5296,131,0.0268938616300554
"RRMC20CS","f__Crenotrichaceae","Mud",5296,3,0.000615889960993636
"RRMC20CS","f__Gemmataceae","Mud",5296,289,0.0593307329090536
"RRMC20CS","f__Nitrospiraceae","Mud",5296,35,0.00718538287825908
"RRMC20CS","f__Oxalobacteraceae","Mud",5296,113,0.0231985218640936
"RRMC20CS","f__Pirellulaceae","Mud",5296,511,0.104906590022583
"RRMC20CS","f__Planctomycetaceae","Mud",5296,197,0.0404434407719154
"RRMC20CS","f__Polyangiaceae","Mud",5296,6,0.00123177992198727
"RRMC20CS","f__R4_41B","Mud",5296,56,0.0114966126052145
"RRMC20CS","f__Rhodobacteraceae","Mud",5296,36,0.00739067953192363
"RRMC20CS","f__Saprospiraceae","Mud",5296,9,0.00184766988298091
"RRMC20CS","f__Sinobacteraceae","Mud",5296,54,0.0110860192978854
"RRMC20CS","f__Sphingomonadaceae","Mud",5296,20,0.00410593307329091
"RRMC20CS","f__Synechococcaceae","Mud",5296,1084,0.222541572572367
"RRMC20CS","f__Verrucomicrobiaceae","Mud",5296,182,0.0373639909669472
"RRMC20CS","Rare","Mud",5296,763,0.156641346746048
"RRMC21CS","f__ACK_M1","Mud",5546,286,0.059422397672969
"RRMC21CS","f__Chitinophagaceae","Mud",5546,88,0.0182838146686059
"RRMC21CS","f__Chthoniobacteraceae","Mud",5546,270,0.0560980677332225
"RRMC21CS","f__Comamonadaceae","Mud",5546,391,0.0812383129025556
"RRMC21CS","f__Crenotrichaceae","Mud",5546,4,0.00083108248493663
"RRMC21CS","f__Gemmataceae","Mud",5546,274,0.0569291502181592
"RRMC21CS","f__Nitrospiraceae","Mud",5546,101,0.0209848327446499
"RRMC21CS","f__Oxalobacteraceae","Mud",5546,96,0.0199459796384791
"RRMC21CS","f__Pirellulaceae","Mud",5546,200,0.0415541242468315
"RRMC21CS","f__Planctomycetaceae","Mud",5546,111,0.0230625389569915
"RRMC21CS","f__Polyangiaceae","Mud",5546,6,0.00124662372740494
"RRMC21CS","f__R4_41B","Mud",5546,112,0.0232703095782256
"RRMC21CS","f__Rhodobacteraceae","Mud",5546,50,0.0103885310617079
"RRMC21CS","f__Saprospiraceae","Mud",5546,5,0.00103885310617079
"RRMC21CS","f__Sinobacteraceae","Mud",5546,76,0.015790567213796
"RRMC21CS","f__Sphingomonadaceae","Mud",5546,44,0.00914190733430293
"RRMC21CS","f__Synechococcaceae","Mud",5546,1681,0.349262414294619
"RRMC21CS","f__Verrucomicrobiaceae","Mud",5546,99,0.0205692915021816
"RRMC21CS","Rare","Mud",5546,919,0.190941200914191
"RRMC24CS","f__ACK_M1","Mud",6322,14,0.00305676855895197
"RRMC24CS","f__Chitinophagaceae","Mud",6322,251,0.0548034934497817
"RRMC24CS","f__Chthoniobacteraceae","Mud",6322,48,0.0104803493449782
"RRMC24CS","f__Comamonadaceae","Mud",6322,598,0.13056768558952
