"type","taxon"
"Mud","f__ACK_M1"
"Mud","f__Chitinophagaceae"
"Mud","f__Chthoniobacteraceae"
"Mud","f__Comamonadaceae"
"Mud","f__Crenotrichaceae"
"Mud","f__Gemmataceae"
"Mud","f__Nitrospiraceae"
"Mud","f__Oxalobacteraceae"
"Mud","f__Pirellulaceae"
"Mud","f__Planctomycetaceae"
"Mud","f__Polyangiaceae"
"Mud","f__R4_41B"
"Mud","f__Rhodobacteraceae"
"Mud","f__Saprospiraceae"
"Mud","f__Sinobacteraceae"
"Mud","f__Sphingomonadaceae"
"Mud","f__Synechococcaceae"
"Mud","f__Verrucomicrobiaceae"
"Rib","f__Aeromonadaceae"
"Rib","f__Anaerolinaceae"
"Rib","f__Bacteroidaceae"
"Rib","f__Carnobacteriaceae"
"Rib","f__Chthoniobacteraceae"
"Rib","f__Clostridiaceae"
"Rib","f__Comamonadaceae"
"Rib","f__Desulfobacteraceae"
"Rib","f__Desulfobulbaceae"
"Rib","f__Desulfovibrionaceae"
"Rib","f__Enterobacteriaceae"
"Rib","f__Enterococcaceae"
"Rib","f__Flavobacteriaceae"
"Rib","f__Haliangiaceae"
"Rib","f__Holophagaceae"
"Rib","f__Lachnospiraceae"
"Rib","f__Listeriaceae"
"Rib","f__Melioribacteraceae"
"Rib","f__Methylococcaceae"
"Rib","f__Moraxellaceae"
"Rib","f__Myxococcaceae"
"Rib","f__Nitrospiraceae"
"Rib","f__p_2534_18B5"
"Rib","f__Peptostreptococcaceae"
"Rib","f__Pirellulaceae"
"Rib","f__Porphyromonadaceae"
"Rib","f__Pseudomonadaceae"
"Rib","f__Rhodobacteraceae"
"Rib","f__Rhodocyclaceae"
"Rib","f__Rhodospirillaceae"
"Rib","f__Rikenellaceae"
"Rib","f__Ruminococcaceae"
"Rib","f__Sediment_4"
"Rib","f__Spirochaetaceae"
"Rib","f__Streptomycetaceae"
"Rib","f__Streptosporangiaceae"
"Rib","f__Synechococcaceae"
"Rib","f__Syntrophomonadaceae"
"Rib","f__Thiotrichaceae"
"Rib","f__Veillonellaceae"
"Rib","f__Xanthobacteraceae"
"Scapula","f__Aeromonadaceae"
"Scapula","f__Anaerolinaceae"
"Scapula","f__Bacteroidaceae"
"Scapula","f__Campylobacteraceae"
"Scapula","f__Carnobacteriaceae"
"Scapula","f__Chitinophagaceae"
"Scapula","f__Chthoniobacteraceae"
"Scapula","f__Clostridiaceae"
"Scapula","f__Comamonadaceae"
"Scapula","f__Crenotrichaceae"
"Scapula","f__Desulfobacteraceae"
"Scapula","f__Desulfobulbaceae"
"Scapula","f__Desulfovibrionaceae"
"Scapula","f__Dethiosulfovibrionaceae"
"Scapula","f__Enterobacteriaceae"
"Scapula","f__Flavobacteriaceae"
"Scapula","f__Geobacteraceae"
"Scapula","f__Haliangiaceae"
"Scapula","f__Helicobacteraceae"
"Scapula","f__Holophagaceae"
"Scapula","f__Lachnospiraceae"
"Scapula","f__Listeriaceae"
"Scapula","f__Marinilabiaceae"
"Scapula","f__Melioribacteraceae"
"Scapula","f__Methylococcaceae"
"Scapula","f__Moraxellaceae"
"Scapula","f__Myxococcaceae"
"Scapula","f__p_2534_18B5"
"Scapula","f__Peptococcaceae"
"Scapula","f__Peptostreptococcaceae"
"Scapula","f__Pirellulaceae"
"Scapula","f__Porphyromonadaceae"
"Scapula","f__Pseudomonadaceae"
"Scapula","f__Rhodobacteraceae"
"Scapula","f__Rhodocyclaceae"
"Scapula","f__Rhodospirillaceae"
"Scapula","f__Rikenellaceae"
"Scapula","f__Ruminococcaceae"
"Scapula","f__Sediment_4"
"Scapula","f__SHA_116"
"Scapula","f__Shewanellaceae"
"Scapula","f__Sinobacteraceae"
"Scapula","f__Sphingomonadaceae"
"Scapula","f__Spirochaetaceae"
"Scapula","f__Streptomycetaceae"
"Scapula","f__Synechococcaceae"
"Scapula","f__Syntrophaceae"
"Scapula","f__Syntrophobacteraceae"
"Scapula","f__Syntrophomonadaceae"
"Scapula","f__Syntrophorhabdaceae"
"Scapula","f__Thiotrichaceae"
"Scapula","f__Tissierellaceae"
"Scapula","f__Veillonellaceae"
"Scapula","f__Verrucomicrobiaceae"
"Scapula","f__Xanthobacteraceae"
"Water","f__ACK_M1"
"Water","f__C111"
"Water","f__Cerasicoccaceae"
"Water","f__Chitinophagaceae"
"Water","f__Chthoniobacteraceae"
"Water","f__Comamonadaceae"
"Water","f__Cryomorphaceae"
"Water","f__Flavobacteriaceae"
"Water","f__Methylophilaceae"
"Water","f__Nostocaceae"
"Water","f__Opitutaceae"
"Water","f__Oxalobacteraceae"
"Water","f__Pelagibacteraceae"
"Water","f__Pirellulaceae"
"Water","f__Planctomycetaceae"
"Water","f__Pseudanabaenaceae"
"Water","f__R4_41B"
"Water","f__Saprospiraceae"
"Water","f__Sinobacteraceae"
"Water","f__Synechococcaceae"
"Water","f__Verrucomicrobiaceae"
