type,actual,predicted
Rib,268,385.0403840384424
Rib,268,317.19926756356654
Rib,268,286.1475440222821
Rib,268,472.24609515264046
Rib,268,347.2299090909455
Scapula,268,331.44175824179865
Scapula,268,423.0389039855463
Scapula,268,412.6137047268676
Scapula,268,350.72404214563085
Scapula,268,338.18367601249975
Rib,516,511.9666518518925
Rib,516,425.82169459966644
Rib,516,560.1862130707614
Rib,516,731.1476564909399
Rib,516,613.7098181818583
Scapula,516,583.9316118220986
Scapula,516,598.7077313054865
Scapula,516,696.0381038104183
Scapula,516,734.9763805436746
Scapula,516,780.5442352598147
Rib,741,714.3938271605284
Rib,741,794.0038473520572
Rib,741,774.9119753086738
Rib,741,707.7420183486597
Rib,741,691.697587910533
Scapula,741,816.3784715892202
Scapula,741,512.1174067495926
Scapula,741,903.9600545951193
Scapula,741,830.5942763938683
Scapula,741,884.4668177697558
Rib,1012,959.1920551158355
Rib,1012,962.4688506815692
Rib,1012,730.8067412507567
Rib,1012,988.8230980751969
Rib,1012,903.4783480826322
Scapula,1012,1444.495898859112
Scapula,1012,1192.272978215493
Scapula,1012,1041.5944493263414
Scapula,1012,1130.4652855369668
Scapula,1012,1190.5752717391645
Rib,1278,1494.5908093914431
Rib,1278,1657.292646172422
Scapula,1278,1554.5261136024194
Scapula,1278,1497.199207075355
Scapula,1278,1749.3623709775632
Scapula,1278,1457.2846842744686
Rib,1513,1699.6236909871534
Scapula,1513,1303.4591109155258
Scapula,1513,1518.377623590662
Scapula,1513,1467.4523327465097
Scapula,1513,1401.8387492779061
Scapula,1513,1345.0139581409978
Scapula,1827,2683.2158828748834
Scapula,1827,1927.1061411411627
Scapula,1827,1870.5452468568174
Scapula,1827,3188.1951858913244
Scapula,1827,1911.1497414842095
Rib,2141,1575.0866086956835
Rib,2141,2196.7471640885847
Rib,2141,2259.4064653858045
Rib,2141,2326.6548264800413
Rib,2141,1533.0190041626938
Scapula,2141,2263.1423774954787
Scapula,2141,2279.3578517221426
Scapula,2141,2313.879197761208
Scapula,2141,2299.595235975083
Scapula,2141,2241.4653293068927
Rib,2395,2357.9558272946997
Rib,2395,2298.5717391304506
Rib,2395,2466.910059790742
Scapula,2395,2552.5219988084636
Scapula,2395,2394.4251329787357
