numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
600,2,474562.3646405562,0.13240235806103437
1500,2,473328.87663626554,0.13205335055297152
2100,2,473176.0561126477,0.1320010785836217
3000,2,472884.71648577653,0.13191650389795093
600,3,432916.2614844974,0.12093814752614872
1500,3,431856.8960086477,0.12064956175879135
2100,3,431366.3727597659,0.1205069516125411
3000,3,431335.6246800937,0.12049903611069356
600,4,408132.55236857285,0.11412738926067972
1500,4,407634.81701226713,0.11398106084825833
2100,4,407381.8311847346,0.11391079667339299
3000,4,407486.43794831337,0.11393686540838754
600,5,393648.0492437,0.11014227470136279
1500,5,392784.5973516816,0.10990062145617635
2100,5,392511.1318396725,0.10981955545693818
3000,5,392271.2987956414,0.10975277538116837
600,6,382563.6236407563,0.10707924647875328
1500,6,381843.6530485678,0.10687681539468014
2100,6,381663.40218690975,0.10682588222800021
3000,6,381541.61069707776,0.1067936701575931
600,7,374385.48103353573,0.10484288846234267
1500,7,373716.21443856723,0.10465467849312839
2100,7,373624.97897475626,0.10463190672892263
3000,7,373481.75693969283,0.10459162390667522
600,8,367953.3641865506,0.10304174417520537
1500,8,367633.43474189204,0.10296527729219064
2100,8,367439.4407677766,0.10291695051631891
3000,8,367288.58026107994,0.10287392820287354
600,9,363383.5387547197,0.10180681997827094
1500,9,362702.4419202704,0.10162196060782279
2100,9,362690.0143588492,0.10161476676086884
3000,9,362619.4594984399,0.10159435621042796
600,10,359482.9312439574,0.10072078850924665
1500,10,358734.11784326646,0.10051868104154385
2100,10,358776.28566744237,0.10052989758882035
3000,10,358556.44661462185,0.10046514591805555
600,11,356173.61813348887,0.09983443177810038
1500,11,355530.12313895416,0.09963858166242667
2100,11,355417.66101573745,0.09960985339878752
3000,11,355206.9914881503,0.09955092329336548
600,12,353079.1081755001,0.09897793790544882
1500,12,352495.66416724346,0.09880610688641543
2100,12,352490.9372198877,0.09880541865540338
3000,12,352399.5745046966,0.09877424372745773
600,13,351505.8414856588,0.09854217699486939
1500,13,350543.82745069073,0.09826440499240827
2100,13,350391.237517516,0.09822872414904558
3000,13,350208.6324031451,0.09817350387158573
600,14,349425.0678008996,0.09796525408710288
1500,14,348731.13313614717,0.09776988593546199
2100,14,348571.68232799845,0.09772334402004128
3000,14,348480.63977689866,0.09769863773477067
600,15,347696.5075005448,0.09750397032013888
1500,15,346909.78517878643,0.09727820726422957
2100,15,346758.8524279404,0.0972366834395418
3000,15,346770.61182845704,0.09723391620315801
600,16,346281.74249118735,0.0971153274647061
1500,16,345590.37989731994,0.09691923091669823
2100,16,345593.36668268807,0.09691773355872099
3000,16,345436.2288254636,0.09687258388048332
600,17,344986.2542841094,0.09676605428107267
1500,17,344650.1045878074,0.09666043801632765
2100,17,344396.91927013564,0.09658831587788545
3000,17,344272.76346153906,0.0965477034090781
600,18,344229.4119029275,0.09655210131710143
1500,18,343637.4699491619,0.09638994048445158
2100,18,343325.9704095364,0.09629907043217338
3000,18,343204.9429123769,0.09626264526571374
600,19,343168.45339294994,0.09628240580945543
1500,19,342432.40641658346,0.09606714454116776
2100,19,342369.4750373137,0.09604076430550869
3000,19,342245.4727015732,0.09600678488485938
600,20,342391.91773956013,0.0960435820430969
1500,20,341751.03410427086,0.09586675247637165
2100,20,341678.19209749426,0.09584344891680875
3000,20,341692.5805812985,0.09585029258695349
600,21,341567.7021649557,0.09581853799026643
1500,21,341218.1981971571,0.09572954602134273
2100,21,341172.1891433743,0.0957183764020702
3000,21,341028.9243151041,0.09568318869041037
600,22,341374.71712627105,0.09578549346994938
1500,22,340463.94744653266,0.09553305646251897
2100,22,340423.44034862414,0.09552534101443644
3000,22,340317.54845644516,0.09549613336928639
600,23,340315.6734493433,0.09551195305093063
1500,23,340012.83065499103,0.09542628507449546
2100,23,339934.5985131076,0.09539621703217477
3000,23,339895.6545860775,0.09538417328738043
600,24,340167.4613346983,0.09548650589666852
1500,24,339632.0420704387,0.09532396624964945
2100,24,339651.81711463747,0.09532742414964959
3000,24,339622.0338767714,0.09531778692479105
600,25,339680.94892362994,0.09536085737406468
1500,25,339455.1843719335,0.09529059343725839
2100,25,339316.86410487344,0.09525273418577707
3000,25,339367.08899672487,0.0952645148101732
600,26,339458.250679179,0.09530668056657358
1500,26,339139.3838884482,0.095214474561335
2100,26,339211.29230941174,0.09522859348408026
3000,26,339164.2590569185,0.09521603581779196
600,27,339622.21800411615,0.09535648842673322
1500,27,339163.6128276882,0.09522068945758079
2100,27,338973.3675149374,0.09516879577906731
3000,27,339025.46933510026,0.09518573556250437
600,28,339690.2460508903,0.09538023452251575
1500,28,339201.6645472858,0.09524594061542428
2100,28,338976.3311964322,0.0951815737425818
3000,28,338926.42842530506,0.09517256009441322
600,29,339794.7495256608,0.09542899017798245
1500,29,339061.102745795,0.09521731075926025
2100,29,339015.11688006966,0.09520542205421534
3000,29,338952.8900597177,0.09518754521709391
600,30,339683.0990841705,0.09540257841985354
1500,30,339322.6381766294,0.09531414801590898
2100,30,339282.1498337609,0.09529783529111528
3000,30,339024.85590254876,0.09522693037328554
600,31,339667.89099028666,0.09542132070464958
1500,31,339276.94006410026,0.0953136214485097
2100,31,339135.59753912676,0.09527180509372106
3000,31,339163.2646903387,0.09528647107354042
600,32,339733.30599896144,0.09544207135117298
1500,32,339625.69893637433,0.09541954658784373
2100,32,339584.1220407078,0.09540779621248327
3000,32,339576.70170427515,0.09540844622228453
600,33,340974.76641168486,0.09581943467209729
1500,33,340259.9230704946,0.09560666754651223
2100,33,340050.7201106622,0.09554863907411451
3000,33,339868.26260004647,0.09550253881607366
600,34,340965.8876374133,0.09580264765259582
1500,34,340354.49713512097,0.09563399526632162
2100,34,340162.92751227826,0.09558072078048327
3000,34,340224.9780292354,0.09560335890155455
600,35,341615.44563383097,0.09602433238762607
1500,35,341106.9675359155,0.09588071549424683
2100,35,340982.3961967444,0.0958443810707437
3000,35,340860.7562346524,0.09580881569021255
600,36,341549.63821658754,0.09602414441796499
1500,36,341233.7600979092,0.09591944872630609
2100,36,341163.6787469604,0.0958983755251656
3000,36,341059.0246298825,0.09587005203989886
600,37,342196.01242772606,0.09619940507605287
1500,37,341654.3412524641,0.096056429418803907
2100,37,341761.6927622075,0.09608686436288844
3000,37,341860.5192052478,0.09611287398264749
600,38,342953.0179718871,0.09643347689667264
1500,38,342459.4316677397,0.09628836061454178
2100,38,342424.6140324021,0.09627830777065421
3000,38,342406.177875437,0.09627636894313585
