type,actual,predicted
Rib,0,95.85105774725707
Rib,0,143.39266295951575
Rib,0,73.22239174656215
Scapula,0,1200.9207381371223
Scapula,0,51.257425742554005
Scapula,0,27.372912801463826
Scapula,0,59.193923145644476
Scapula,0,102.1270270270079
Rib,268,555.010031298912
Rib,268,395.42773321448794
Rib,268,364.8297806611022
Rib,268,660.7260740044089
Rib,268,308.22320596457985
Scapula,268,313.7353386809136
Scapula,268,464.52486583183736
Scapula,268,407.66217948717394
Scapula,268,359.3602792632114
Scapula,268,351.4077423167728
Rib,516,526.4860314523626
Rib,516,467.1387829246114
Rib,516,639.2984097859453
Rib,516,596.6616463985115
Rib,516,612.9744835029383
Scapula,516,543.1123091603117
Scapula,516,655.0872053872181
Scapula,516,547.8846628680021
Scapula,516,547.2913857677981
Scapula,516,654.2626019945678
Rib,741,834.7909876543426
Rib,741,909.2259861487778
Rib,741,877.9836568084038
Rib,741,845.2100120992359
Rib,741,822.1664786967685
Scapula,741,795.0397883124729
Scapula,741,622.6052389705987
Scapula,741,878.4155879672066
Scapula,741,835.938416512653
Scapula,741,900.0598580918154
Rib,1012,960.0923831071191
Rib,1012,1023.3487853628901
Rib,1012,750.1085844319082
Rib,1012,1067.2412827461978
Rib,1012,1051.4093005952716
Scapula,1012,1448.5697408077453
Scapula,1012,1265.4602540557453
Scapula,1012,978.4780693677421
Scapula,1012,1116.3458486519992
Scapula,1012,984.8024311926915
Rib,1278,1455.5125771605217
Rib,1278,1667.8882733148823
Scapula,1278,1524.8639369123684
Scapula,1278,1415.4159987856974
Scapula,1278,1623.1034977434074
Scapula,1278,1453.3362655728017
Rib,1513,1673.5564756789197
Scapula,1513,1254.8262304745438
Scapula,1513,1477.0334246575594
Scapula,1513,1433.6090949423551
Scapula,1513,1370.6905691795644
Scapula,1513,1417.0701563857817
Scapula,1827,2726.9715607281396
Scapula,1827,1942.0815862708694
Scapula,1827,1935.66929669031
Scapula,1827,3128.3604583695956
Scapula,1827,1952.1368327402135
Rib,2141,1509.7827888687482
Rib,2141,2203.478975664957
Rib,2141,2302.052947530854
Rib,2141,2284.2233180428034
Rib,2141,1531.5494503718276
Scapula,2141,2240.402775222314
Scapula,2141,2280.036350844267
Scapula,2141,2215.5247110705486
Scapula,2141,2274.4802452315967
Scapula,2141,2262.445213754635
Rib,2395,2314.88288450029
Rib,2395,2138.8785083713733
Rib,2395,2448.4310272536595
Scapula,2395,2566.4654951577577
Scapula,2395,2394.5409035408957
Scapula,2395,2350.222232360088
Scapula,2395,2463.558651162783
Scapula,2395,2883.4068539994046
Rib,2656,2531.6379812206505
Rib,2656,2580.923741118313
Rib,2656,2489.018976608179
Rib,2656,2504.6740042892084
Rib,2656,2966.771743827161
Scapula,2656,3028.84273579379
Scapula,2656,2427.199278698579
Scapula,2656,2965.946955576266
Scapula,2656,2903.774908592321
Scapula,2656,2541.989575471692
Rib,2915,2895.980301659124
Rib,2915,3265.556561085975
