"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
0,"R1","R1",0,861.075444444445,-861.075444444445
0,"R1","R3",0,759.280816666667,-759.280816666667
0,"R1","R4",0,904.2771,-904.2771
0,"R1","R1",268,423.525533333333,-155.525533333333
0,"R1","R1",516,509.576233333333,6.42376666666684
0,"R1","R1",741,614.96985,126.03015
0,"R1","R1",1012,1107.30985,-95.3098500000003
0,"R1","R1",1278,1604.83136666667,-326.831366666671
0,"R1","R1",1513,1585.77636111111,-72.7763611111129
0,"R1","R1",2141,2057.86627222222,83.1337277777784
0,"R1","R1",2395,2571.92494444444,-176.924944444437
0,"R1","R1",2656,2541.75294999999,114.247050000005
0,"R1","R1",2915,2841.32992222223,73.6700777777737
0,"R1","R1",3181,3418.56352777777,-237.563527777773
0,"R1","R1",3388,3495.26664444444,-107.266644444438
0,"R1","R1",3673,3441.42847777777,231.571522222225
0,"R1","R1",3949,4434.70941111111,-485.709411111107
0,"R1","R1",4267,4589.21218888889,-322.212188888894
0,"R1","R1",4731,3661.72465555555,1069.27534444445
0,"R1","R1",4972,4855.99638333333,116.003616666672
0,"R1","R1",5296,5107.22024999999,188.779750000006
0,"R1","R1",5546,4678.71830555555,867.281694444449
0,"R1","R1",5803,4931.7130111111,871.286988888895
0,"R1","R1",6104,4711.04863888889,1392.95136111111
0,"R1","R1",6322,5476.04918333333,845.95081666667
0,"R3","R1",0,846.146177777778,-846.146177777778
0,"R3","R3",0,787.349872222222,-787.349872222222
0,"R3","R4",0,790.866666666666,-790.866666666666
0,"R3","R3",268,389.64555,-121.64555
0,"R3","R3",516,542.394338888889,-26.3943388888891
0,"R3","R3",741,780.189283333333,-39.1892833333333
0,"R3","R3",1012,992.272822222221,19.7271777777787
0,"R3","R3",2141,2044.10573888889,96.8942611111113
0,"R3","R3",2395,2536.40491666666,-141.404916666665
0,"R3","R3",2656,2422.97251111111,233.027488888894
0,"R3","R3",2915,3036.65238333333,-121.652383333332
0,"R3","R3",3388,4174.69698333333,-786.69698333333
0,"R3","R3",3673,3894.93353888889,-221.933538888887
0,"R3","R3",3949,4144.5779,-195.577899999999
0,"R3","R3",4267,4028.40929444445,238.590705555554
0,"R3","R3",4731,4562.51840555555,168.481594444445
0,"R3","R3",5546,4549.59806111111,996.401938888889
0,"R3","R3",5803,5318.30231111111,484.697688888895
0,"R3","R3",6104,4971.90623888888,1132.09376111112
0,"R4","R1",0,905.570588888888,-905.570588888888
0,"R4","R3",0,883.291677777777,-883.291677777777
0,"R4","R4",0,891.92751111111,-891.92751111111
0,"R4","R4",268,422.637711111112,-154.637711111112
0,"R4","R4",516,608.878894444445,-92.8788944444449
0,"R4","R4",741,696.314905555555,44.6850944444445
0,"R4","R4",1012,1045.18337777778,-33.1833777777774
0,"R4","R4",2141,2186.63456111111,-45.6345611111092
0,"R4","R4",2656,2641.35327777777,14.6467222222259
0,"R4","R4",2915,3178.85261666667,-263.852616666668
0,"R4","R4",3388,3818.34626666666,-430.346266666656
0,"R4","R4",3949,4374.0082611111,-425.008261111096
0,"R4","R4",4267,4268.74315,-1.7431499999966
0,"R4","R4",4731,4198.62267777777,532.377322222225
0,"R4","R4",4972,4150.98418888888,821.01581111112
0,"R4","R4",5803,5068.10513888887,734.894861111133
0,"R4","R4",6104,5023.13832777776,1080.86167222224
268,"R1","R1",0,569.412033333334,-569.412033333334
268,"R1","R1",268,508.683711111112,-240.683711111112
268,"R1","R2",268,499.664572222223,-231.664572222223
268,"R1","R3",268,530.731344444446,-262.731344444446
268,"R1","R4",268,538.609044444446,-270.609044444446
268,"R1","R5",268,594.482611111112,-326.482611111112
268,"R1","R1",516,531.223055555557,-15.2230555555569
268,"R1","R1",741,630.211655555557,110.788344444443
268,"R1","R1",1012,1088.66549444444,-76.6654944444449
268,"R1","R1",1278,1516.23116666667,-238.231166666669
268,"R1","R1",1513,1497.72946111111,15.2705388888869
268,"R1","R1",2141,2064.61671111111,76.3832888888901
268,"R1","R1",2395,2530.26702777777,-135.267027777772
268,"R1","R1",2656,2528.9592,127.040800000005
268,"R1","R1",2915,2838.80988333333,76.1901166666657
268,"R1","R1",3181,3388.56083333333,-207.560833333327
268,"R1","R1",3388,3474.38928888888,-86.389288888884
268,"R1","R1",3673,3438.32214444444,234.677855555558
268,"R1","R1",3949,4448.17729444444,-499.177294444439
268,"R1","R1",4267,4618.52000555555,-351.520005555549
268,"R1","R1",4731,3665.9213611111,1065.0786388889
268,"R1","R1",4972,4843.10849444444,128.891505555564
268,"R1","R1",5296,5134.59643888888,161.403561111121
268,"R1","R1",5546,4717.25218888888,828.747811111116
268,"R1","R1",5803,4885.18123333332,917.818766666675
268,"R1","R1",6104,4732.07968888888,1371.92031111112
268,"R1","R1",6322,5449.16555555555,872.834444444451
268,"R2","R1",268,498.7674,-230.7674
268,"R2","R2",268,491.555572222223,-223.555572222223
268,"R2","R3",268,531.240727777779,-263.240727777779
268,"R2","R4",268,524.577094444445,-256.577094444445
268,"R2","R5",268,569.625338888889,-301.625338888889
268,"R2","R2",516,469.946261111112,46.0537388888883
268,"R2","R2",741,795.290561111111,-54.2905611111107
268,"R2","R2",1012,952.303844444444,59.6961555555564
268,"R2","R2",1278,1880.75846666667,-602.75846666667
268,"R2","R2",2141,2173.4124,-32.4123999999965
268,"R2","R2",2395,2780.74847777777,-385.748477777771
268,"R2","R2",2656,2897.84381111111,-241.843811111105
268,"R2","R2",2915,2996.79134444444,-81.7913444444439
268,"R2","R2",3181,3625.65455555556,-444.654555555557
268,"R2","R2",3388,4046.29329444444,-658.293294444442
268,"R2","R2",3673,3191.21953333333,481.780466666671
268,"R2","R2",3949,3721.27787222222,227.722127777778
268,"R2","R2",4267,5171.15575555555,-904.155755555554
268,"R2","R2",4731,4177.70368888889,553.296311111108
268,"R2","R2",5546,5144.43647222222,401.563527777784
268,"R2","R2",5803,5364.05343888888,438.946561111119
268,"R2","R2",6104,5612.22943888887,491.77056111113
268,"R3","R3",0,535.752277777778,-535.752277777778
268,"R3","R1",268,514.05283888889,-246.05283888889
268,"R3","R2",268,498.36248888889,-230.36248888889
268,"R3","R3",268,602.25408888889,-334.25408888889
268,"R3","R4",268,523.02253888889,-255.02253888889
268,"R3","R5",268,636.718222222223,-368.718222222223
268,"R3","R3",516,566.900044444445,-50.9000444444453
268,"R3","R3",741,768.827472222223,-27.8274722222228
268,"R3","R3",1012,1005.37911666667,6.62088333333304
268,"R3","R3",2141,2025.5733,115.426700000003
268,"R3","R3",2395,2613.32258333333,-218.32258333333
268,"R3","R3",2656,2428.07738888888,227.922611111117
268,"R3","R3",2915,3021.23023888889,-106.230238888892
268,"R3","R3",3388,4160.65492222222,-772.654922222222
268,"R3","R3",3673,3851.46117222222,-178.461172222221
268,"R3","R3",3949,4166.53287222223,-217.53287222223
268,"R3","R3",4267,4032.42959444444,234.57040555556
268,"R3","R3",4731,4556.19733333334,174.802666666662
268,"R3","R3",5546,4583.01334444444,962.98665555556
268,"R3","R3",5803,5310.32334999999,492.676650000008
268,"R3","R3",6104,4956.14401666666,1147.85598333334
268,"R4","R4",0,377.721911111111,-377.721911111111
268,"R4","R1",268,521.871205555556,-253.871205555556
268,"R4","R2",268,509.114633333333,-241.114633333333
268,"R4","R3",268,556.522672222222,-288.522672222222
268,"R4","R4",268,535.826766666667,-267.826766666667
268,"R4","R5",268,629.49175,-361.49175
268,"R4","R4",516,567.70695,-51.7069500000001
268,"R4","R4",741,696.158972222222,44.8410277777775
268,"R4","R4",1012,1022.13806666667,-10.1380666666664
268,"R4","R4",2141,2275.25104444444,-134.251044444443
268,"R4","R4",2656,2640.91971111111,15.0802888888916
268,"R4","R4",2915,3201.02560555555,-286.025605555554
268,"R4","R4",3388,3749.72504999999,-361.725049999991
268,"R4","R4",3949,4347.78545555554,-398.785455555544
268,"R4","R4",4267,4289.17605,-22.1760499999955
268,"R4","R4",4731,4221.15463333333,509.845366666666
268,"R4","R4",4972,4172.67415555555,799.325844444449
268,"R4","R4",5803,5074.84300555554,728.156994444462
268,"R4","R4",6104,5045.90903333331,1058.09096666669
268,"R5","R1",268,541.969616666666,-273.969616666666
268,"R5","R2",268,507.780983333333,-239.780983333333
