"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
268,"S1","S1",268,887.443911111111,-619.443911111111
268,"S1","S2",268,868.269416666667,-600.269416666667
268,"S1","S3",268,998.085016666667,-730.085016666667
268,"S1","S4",268,1022.11103888889,-754.111038888889
268,"S1","S5",268,954.474894444445,-686.474894444445
268,"S1","S1",516,708.243661111111,-192.243661111111
268,"S1","S1",741,853.048494444445,-112.048494444445
268,"S1","S1",1012,1371.70371666667,-359.703716666667
268,"S1","S1",1278,1638.09175,-360.09175
268,"S1","S1",1513,1372.96248333333,140.037516666667
268,"S1","S1",1827,2197.48616111111,-370.486161111109
268,"S1","S1",2141,2209.04810555556,-68.0481055555565
268,"S1","S1",2395,2422.25206111111,-27.2520611111113
268,"S1","S1",2656,2817.61353888889,-161.613538888892
268,"S1","S1",2915,3138.001,-223.000999999999
268,"S1","S1",3388,4307.91528888889,-919.915288888892
268,"S1","S1",3673,3506.12056111112,166.879438888883
268,"S1","S1",3949,3990.90208888889,-41.9020888888867
268,"S1","S1",4267,4623.29573888889,-356.295738888886
268,"S1","S1",4731,4278.01017222222,452.989827777778
268,"S1","S1",4972,5063.90384444445,-91.9038444444477
268,"S1","S1",5296,5270.17603888889,25.8239611111148
268,"S1","S1",5546,4864.42807777778,681.57192222222
268,"S1","S1",5803,5188.09722777778,614.90277222222
268,"S1","S1",6104,5446.83255555555,657.167444444447
268,"S1","S1",6322,5246.88965555556,1075.11034444444
268,"S2","S1",268,1058.45202777778,-790.452027777778
268,"S2","S2",268,1049.86823333333,-781.868233333334
268,"S2","S3",268,1158.76619444445,-890.766194444446
268,"S2","S4",268,1204.72451111111,-936.724511111112
268,"S2","S5",268,1132.75406666667,-864.754066666668
268,"S2","S2",516,1047.71112222222,-531.711122222223
268,"S2","S2",741,742.624055555556,-1.62405555555563
268,"S2","S2",1012,997.118422222223,14.881577777777
268,"S2","S2",1278,1355.30992777778,-77.3099277777776
268,"S2","S2",1513,1565.96917777778,-52.9691777777759
268,"S2","S2",1827,2013.33022777778,-186.330227777778
268,"S2","S2",2141,2276.22571111111,-135.225711111112
268,"S2","S2",2395,2784.61720555556,-389.617205555558
268,"S2","S2",2656,2373.92342222223,282.076577777775
268,"S2","S2",2915,3322.90679444444,-407.906794444442
268,"S2","S2",3181,3361.75546111111,-180.75546111111
268,"S2","S2",3388,4182.0844,-794.0844
268,"S2","S2",3673,3770.72526666666,-97.725266666665
268,"S2","S2",3949,3198.31782222222,750.682177777777
268,"S2","S2",4267,4646.50322222223,-379.503222222228
268,"S2","S2",4473,5019.15882777778,-546.158827777779
268,"S2","S2",4731,5188.55762222222,-457.557622222223
268,"S2","S2",4972,4766.50755555556,205.492444444443
268,"S2","S2",5296,5540.78352777778,-244.783527777779
268,"S2","S2",5546,5104.5884,441.411599999996
268,"S2","S2",5803,5302.64316111111,500.356838888885
268,"S2","S2",6104,5516.27762777778,587.722372222222
268,"S2","S2",6322,5743.33955555556,578.660444444439
268,"S3","S1",268,874.726255555555,-606.726255555555
268,"S3","S2",268,851.589961111111,-583.589961111111
268,"S3","S3",268,907.823016666667,-639.823016666667
268,"S3","S4",268,937.354411111111,-669.354411111111
268,"S3","S5",268,904.780477777778,-636.780477777778
268,"S3","S3",516,707.277577777778,-191.277577777778
268,"S3","S3",741,814.48165,-73.4816499999999
268,"S3","S3",1012,1003.61397777778,8.38602222222164
268,"S3","S3",1278,1583.34969444445,-305.349694444445
268,"S3","S3",1513,1311.1046,201.8954
268,"S3","S3",1827,2001.84385555555,-174.843855555554
268,"S3","S3",2141,2284.80758888889,-143.807588888889
268,"S3","S3",2395,2111.36226666667,283.637733333332
268,"S3","S3",2656,2870.05415555555,-214.054155555554
268,"S3","S3",2915,3313.97313888889,-398.973138888889
268,"S3","S3",3181,3363.82153333334,-182.821533333336
268,"S3","S3",3388,3237.07227777778,150.92772222222
268,"S3","S3",3673,4572.49541666667,-899.495416666668
268,"S3","S3",3949,4247.16227777777,-298.162277777774
268,"S3","S3",4267,4431.66042777778,-164.660427777781
268,"S3","S3",4731,5024.55596666667,-293.555966666671
268,"S3","S3",4972,4946.05629444444,25.9437055555563
268,"S3","S3",5296,4644.05601111111,651.943988888889
268,"S3","S3",5803,3137.83021111111,2665.16978888889
268,"S3","S3",6104,5131.83506666667,972.164933333334
268,"S3","S3",6322,5329.26063333334,992.739366666663
268,"S4","S1",268,917.406261111112,-649.406261111112
268,"S4","S2",268,938.563133333334,-670.563133333334
268,"S4","S3",268,985.441966666667,-717.441966666667
268,"S4","S4",268,1041.97752777778,-773.977527777778
268,"S4","S5",268,995.13265,-727.13265
268,"S4","S4",516,774.787016666667,-258.787016666667
268,"S4","S4",741,880.880494444444,-139.880494444444
268,"S4","S4",1012,1106.55876111111,-94.5587611111107
268,"S4","S4",1278,1373.8397,-95.8396999999998
268,"S4","S4",1513,1369.52004444444,143.479955555556
268,"S4","S4",1827,2527.44881666667,-700.448816666666
268,"S4","S4",2141,2357.38002222222,-216.380022222223
268,"S4","S4",2395,2163.91886666667,231.081133333334
268,"S4","S4",2656,3432.94030555556,-776.940305555555
268,"S4","S4",2915,2855.55865,59.4413499999991
268,"S4","S4",3181,3420.46165555556,-239.461655555559
268,"S4","S4",3388,4415.96697222222,-1027.96697222222
268,"S4","S4",3673,4388.39872777778,-715.398727777776
