"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
0,"S1","S1",0,983.470066666666,-983.470066666666
0,"S1","S2",0,600.161377777778,-600.161377777778
0,"S1","S3",0,605.083561111111,-605.083561111111
0,"S1","S4",0,602.517694444445,-602.517694444445
0,"S1","S5",0,601.670327777778,-601.670327777778
0,"S1","S1",268,353.538322222223,-85.5383222222226
0,"S1","S1",516,615.473533333334,-99.4735333333336
0,"S1","S1",741,808.033477777777,-67.0334777777772
0,"S1","S1",1012,1331.16453333333,-319.164533333333
0,"S1","S1",1278,1587.78996666667,-309.789966666666
0,"S1","S1",1513,1324.31956111111,188.68043888889
0,"S1","S1",1827,2171.73771111111,-344.737711111111
0,"S1","S1",2141,2238.43868888889,-97.4386888888898
0,"S1","S1",2395,2400.91271111111,-5.91271111111155
0,"S1","S1",2656,2865.3878,-209.387799999999
0,"S1","S1",2915,3177.93086666667,-262.930866666668
0,"S1","S1",3388,4282.44791111111,-894.447911111112
0,"S1","S1",3673,3559.06569444445,113.934305555554
0,"S1","S1",3949,4008.30081111111,-59.3008111111099
0,"S1","S1",4267,4644.13996111111,-377.139961111107
0,"S1","S1",4731,4298.25718333334,432.742816666664
0,"S1","S1",4972,5033.47704999999,-61.477049999995
0,"S1","S1",5296,5270.62923888889,25.3707611111149
0,"S1","S1",5546,4807.87073333333,738.129266666674
0,"S1","S1",5803,5223.70739444445,579.292605555553
0,"S1","S1",6104,5428.45584444445,675.544155555553
0,"S1","S1",6322,5240.89581111111,1081.10418888889
0,"S2","S1",0,1044.21686111111,-1044.21686111111
0,"S2","S2",0,556.322216666667,-556.322216666667
0,"S2","S3",0,567.672061111111,-567.672061111111
0,"S2","S4",0,557.959638888889,-557.959638888889
0,"S2","S5",0,561.305683333333,-561.305683333333
0,"S2","S2",268,342.654483333334,-74.6544833333342
0,"S2","S2",516,467.369888888889,48.6301111111109
0,"S2","S2",741,580.989333333333,160.010666666667
0,"S2","S2",1012,1006.60798333333,5.39201666666645
0,"S2","S2",1278,1296.86534444444,-18.8653444444442
0,"S2","S2",1513,1540.76290555556,-27.7629055555562
0,"S2","S2",1827,2053.44505,-226.445050000001
0,"S2","S2",2141,2266.35603333333,-125.356033333334
0,"S2","S2",2395,2780.29260555556,-385.292605555555
0,"S2","S2",2656,2384.67181666667,271.328183333331
0,"S2","S2",2915,3316.13724444444,-401.137244444442
0,"S2","S2",3181,3375.99085555556,-194.990855555559
0,"S2","S2",3388,4144.60538888889,-756.60538888889
0,"S2","S2",3673,3772.76030555556,-99.7603055555574
0,"S2","S2",3949,3317.91077777778,631.08922222222
0,"S2","S2",4267,4626.82285555555,-359.822855555553
0,"S2","S2",4473,4990.45523333333,-517.455233333334
0,"S2","S2",4731,5173.46665,-442.466649999999
0,"S2","S2",4972,4769.60422777777,202.395772222227
0,"S2","S2",5296,5575.04930555555,-279.049305555551
0,"S2","S2",5546,5078.50281666667,467.49718333333
0,"S2","S2",5803,5308.19075555556,494.80924444444
0,"S2","S2",6104,5496.95662777778,607.043372222221
0,"S2","S2",6322,5710.53324444445,611.466755555552
0,"S3","S1",0,1058.34688333333,-1058.34688333333
0,"S3","S2",0,683.534522222222,-683.534522222222
0,"S3","S3",0,691.948972222222,-691.948972222222
0,"S3","S4",0,689.965866666666,-689.965866666666
0,"S3","S5",0,691.542016666666,-691.542016666666
0,"S3","S3",268,423.763172222222,-155.763172222222
0,"S3","S3",516,687.650027777777,-171.650027777777
0,"S3","S3",741,801.194627777778,-60.1946277777778
0,"S3","S3",1012,1004.2122,7.78780000000029
0,"S3","S3",1278,1542.34606111111,-264.34606111111
0,"S3","S3",1513,1280.29343333333,232.706566666667
0,"S3","S3",1827,1985.93701666666,-158.937016666664
0,"S3","S3",2141,2272.74416666666,-131.744166666663
0,"S3","S3",2395,2119.94249444444,275.057505555555
0,"S3","S3",2656,2880.74836666667,-224.748366666668
0,"S3","S3",2915,3320.62824444445,-405.628244444446
0,"S3","S3",3181,3342.76177222222,-161.761772222223
0,"S3","S3",3388,3260.03929444445,127.960705555551
0,"S3","S3",3673,4530.81741666667,-857.817416666669
0,"S3","S3",3949,4297.16661666667,-348.166616666667
0,"S3","S3",4267,4410.13933333334,-143.139333333336
0,"S3","S3",4731,5003.78505555556,-272.785055555555
0,"S3","S3",4972,4893.90860555555,78.0913944444455
0,"S3","S3",5296,4590.23427222222,705.765727777777
0,"S3","S3",5803,3209.76589444445,2593.23410555555
0,"S3","S3",6104,5119.20439444444,984.795605555557
0,"S3","S3",6322,5341.22901111111,980.770988888887
0,"S4","S1",0,1078.90805555556,-1078.90805555556
0,"S4","S2",0,783.562688888889,-783.562688888889
0,"S4","S3",0,807.138283333333,-807.138283333333
0,"S4","S4",0,827.377488888889,-827.377488888889
0,"S4","S5",0,834.590177777778,-834.590177777778
0,"S4","S4",268,448.983266666667,-180.983266666667
0,"S4","S4",516,665.303022222222,-149.303022222222
0,"S4","S4",741,870.122227777778,-129.122227777778
0,"S4","S4",1012,1137.23831111111,-125.238311111112
0,"S4","S4",1278,1363.64992777778,-85.649927777778
0,"S4","S4",1513,1262.52067777778,250.479322222222
0,"S4","S4",1827,2510.15541666667,-683.155416666666
0,"S4","S4",2141,2324.06186666667,-183.061866666666
0,"S4","S4",2395,2220.08737777778,174.912622222223
0,"S4","S4",2656,3439.95028333334,-783.950283333338
0,"S4","S4",2915,2878.36195,36.6380499999987
0,"S4","S4",3181,3445.43736666667,-264.437366666671
0,"S4","S4",3388,4408.91998888889,-1020.91998888889
0,"S4","S4",3673,4397.28828333334,-724.288283333337
0,"S4","S4",3949,3630.36006111111,318.639938888886
0,"S4","S4",4267,4380.21507777778,-113.215077777777
0,"S4","S4",4731,5440.67632222223,-709.676322222225
0,"S4","S4",4972,4607.71366666667,364.286333333333
0,"S4","S4",5296,5001.21269444445,294.787305555555
0,"S4","S4",5546,5074.22877222223,471.771227777768
0,"S4","S4",5803,5228.26866666667,574.731333333332
0,"S4","S4",6104,5636.51892222222,467.481077777777
0,"S4","S4",6322,5326.28466666666,995.715333333335
0,"S5","S1",0,1150.09596111111,-1150.09596111111
0,"S5","S2",0,734.097494444444,-734.097494444444
0,"S5","S3",0,730.245027777778,-730.245027777778
0,"S5","S4",0,777.022316666667,-777.022316666667
0,"S5","S5",0,779.556383333333,-779.556383333333
0,"S5","S5",268,421.313561111111,-153.313561111111
0,"S5","S5",516,680.399644444445,-164.399644444445
0,"S5","S5",741,696.170377777777,44.8296222222227
0,"S5","S5",1012,1025.89771111111,-13.897711111111
0,"S5","S5",1513,1338.16982222222,174.830177777778
0,"S5","S5",1827,2044.62122222222,-217.621222222221
0,"S5","S5",2141,2056.82348333333,84.1765166666673
0,"S5","S5",2395,2533.84209444444,-138.842094444441
0,"S5","S5",2656,2419.24028888889,236.759711111112
0,"S5","S5",2915,3216.91722777778,-301.917227777778
0,"S5","S5",3181,3708.66873888889,-527.668738888894
0,"S5","S5",3388,3803.15001666667,-415.150016666668
0,"S5","S5",3673,3866.25444444445,-193.254444444448
0,"S5","S5",4267,4140.43896666666,126.561033333335
0,"S5","S5",4972,5102.4594,-130.459400000001
0,"S5","S5",5546,5423.03055,122.969450000002
0,"S5","S5",5803,4743.79362222222,1059.20637777778
0,"S5","S5",6104,5271.48924444444,832.510755555559
0,"S5","S5",6322,4995.94157222222,1326.05842777778
268,"S1","S1",0,948.988461111111,-948.988461111111
268,"S1","S1",268,393.8651,-125.8651
268,"S1","S2",268,361.570688888889,-93.570688888889
268,"S1","S3",268,420.331522222222,-152.331522222222
268,"S1","S4",268,455.338744444444,-187.338744444444
268,"S1","S5",268,308.423877777778,-40.4238777777779
268,"S1","S1",516,636.717283333333,-120.717283333333
268,"S1","S1",741,793.519516666666,-52.5195166666659
268,"S1","S1",1012,1350.733,-338.733
268,"S1","S1",1278,1602.05431111111,-324.054311111111
268,"S1","S1",1513,1346.76307777778,166.236922222223
268,"S1","S1",1827,2178.40367222222,-351.403672222223
268,"S1","S1",2141,2203.30721666667,-62.3072166666689
268,"S1","S1",2395,2400.76477777778,-5.76477777777836
268,"S1","S1",2656,2822.35103333333,-166.351033333334
268,"S1","S1",2915,3155.74684444445,-240.74684444445
268,"S1","S1",3388,4293.50736111112,-905.507361111117
268,"S1","S1",3673,3542.85477777779,130.145222222215
268,"S1","S1",3949,3986.49142777778,-37.4914277777784
268,"S1","S1",4267,4668.81507777778,-401.815077777783
268,"S1","S1",4731,4296.24789444445,434.752105555553
268,"S1","S1",4972,5044.53067222222,-72.5306722222203
268,"S1","S1",5296,5298.05961666667,-2.05961666667463
268,"S1","S1",5546,4820.50325,725.49675
268,"S1","S1",5803,5219.40366111112,583.596338888884
268,"S1","S1",6104,5446.19206111112,657.807938888884
268,"S1","S1",6322,5234.42746111111,1087.57253888889
268,"S2","S2",0,65.05865,-65.05865
268,"S2","S1",268,395.912727777778,-127.912727777778
268,"S2","S2",268,386.476744444444,-118.476744444444
268,"S2","S3",268,508.069155555555,-240.069155555555
268,"S2","S4",268,525.094966666666,-257.094966666666
268,"S2","S5",268,379.125583333333,-111.125583333333
268,"S2","S2",516,564.6405,-48.6404999999999
268,"S2","S2",741,617.639622222222,123.360377777778
268,"S2","S2",1012,1040.73595555556,-28.7359555555558
268,"S2","S2",1278,1293.63752777778,-15.6375277777774
268,"S2","S2",1513,1549.11144444444,-36.1114444444429
268,"S2","S2",1827,2031.38923888889,-204.389238888889
268,"S2","S2",2141,2272.59623888889,-131.59623888889
268,"S2","S2",2395,2805.51535555555,-410.515355555555
268,"S2","S2",2656,2394.41449444445,261.585505555551
268,"S2","S2",2915,3304.55997777778,-389.559977777784
268,"S2","S2",3181,3365.98407222223,-184.984072222226
268,"S2","S2",3388,4161.16501666666,-773.165016666663
268,"S2","S2",3673,3754.99655555556,-81.9965555555586
268,"S2","S2",3949,3370.89123888889,578.108761111108
268,"S2","S2",4267,4638.92845,-371.928450000002
268,"S2","S2",4473,5035.52299444445,-562.522994444449
268,"S2","S2",4731,5187.17287222222,-456.172872222221
268,"S2","S2",4972,4746.98487777778,225.015122222222
268,"S2","S2",5296,5545.20349444444,-249.203494444442
268,"S2","S2",5546,5075.66133888889,470.33866111111
268,"S2","S2",5803,5309.46763333334,493.53236666666
268,"S2","S2",6104,5488.67397222222,615.326027777779
268,"S2","S2",6322,5761.65954444445,560.340455555552
268,"S3","S3",0,76.2425944444445,-76.2425944444445
