"type","taxon"
"Rib","Armophorea_unclassified"
"Rib","Armophorida"
"Rib","Arthropoda_unclassified"
"Rib","Bacillariophyceae"
"Rib","Chromadorea_unclassified"
"Rib","Diatomea_unclassified"
"Rib","Eukaryota_unclassified"
"Rib","Haplotaxida_fa"
"Rib","Hypotrichia"
"Rib","Intramacronucleata_unclassified"
"Rib","Mediophyceae"
"Rib","Melosirids"
"Rib","Oligohymenophorea"
"Rib","Peronosporomycetes_fa"
"Scapula","Armophorea_unclassified"
"Scapula","Armophorida"
"Scapula","Arthropoda_unclassified"
"Scapula","Bacillariophyceae"
"Scapula","Chromadorea_unclassified"
"Scapula","Clitellata_unclassified"
"Scapula","Continenticola_fa"
"Scapula","Diatomea_unclassified"
"Scapula","Eukaryota_unclassified"
"Scapula","Haplotaxida_fa"
"Scapula","Haptoria"
"Scapula","Heterobranchia_fa"
"Scapula","Hypotrichia"
"Scapula","Intramacronucleata_unclassified"
"Scapula","Mediophyceae"
"Scapula","Melosirids"
"Scapula","Metakinetoplastina_unclassified"
"Scapula","Oligohymenophorea"
"Scapula","Peronosporomycetes_fa"
"Scapula","Podocopida_fa"
"Scapula","Trichoptera_fa"
"Water","A31_fa"
"Water","Bacillariophyceae"
"Water","Choreotrichia"
"Water","Chrysophyceae_unclassified"
"Water","Cryptomonadales_fa"
"Water","Diatomea_unclassified"
"Water","Eukaryota_unclassified"
"Water","Haptoria"
"Water","Hypotrichia"
"Water","Intramacronucleata_unclassified"
"Water","Mediophyceae"
"Water","Melosirids"
"Water","Ochrophyta_unclassified"
"Water","Oligohymenophorea"
"Water","Peronosporomycetes_fa"
"Water","Spirotrichea_unclassified"
