"type","taxon"
"Rib","f__Aeromonadaceae"
"Rib","f__Bacteroidaceae"
"Rib","f__Campylobacteraceae"
"Rib","f__Carnobacteriaceae"
"Rib","f__Chitinophagaceae"
"Rib","f__Chthoniobacteraceae"
"Rib","f__Clostridiaceae"
"Rib","f__Comamonadaceae"
"Rib","f__Crenotrichaceae"
"Rib","f__Desulfobacteraceae"
"Rib","f__Desulfobulbaceae"
"Rib","f__Desulfovibrionaceae"
"Rib","f__Ellin6075"
"Rib","f__Enterobacteriaceae"
"Rib","f__Flavobacteriaceae"
"Rib","f__Gemmataceae"
"Rib","f__Haliangiaceae"
"Rib","f__Holophagaceae"
"Rib","f__Hyphomicrobiaceae"
"Rib","f__Isosphaeraceae"
"Rib","f__Listeriaceae"
"Rib","f__Methylococcaceae"
"Rib","f__mitochondria"
"Rib","f__Moraxellaceae"
"Rib","f__Neisseriaceae"
"Rib","f__Nitrospiraceae"
"Rib","f__Peptococcaceae"
"Rib","f__Pirellulaceae"
"Rib","f__Planctomycetaceae"
"Rib","f__Porphyromonadaceae"
"Rib","f__Pseudomonadaceae"
"Rib","f__Rhodobacteraceae"
"Rib","f__Rhodocyclaceae"
"Rib","f__Rhodospirillaceae"
"Rib","f__Rikenellaceae"
"Rib","f__Ruminococcaceae"
"Rib","f__Saprospiraceae"
"Rib","f__Sediment_4"
"Rib","f__Sinobacteraceae"
"Rib","f__Sphingomonadaceae"
"Rib","f__Synechococcaceae"
"Rib","f__Syntrophomonadaceae"
"Rib","f__Veillonellaceae"
"Rib","f__Verrucomicrobiaceae"
"Rib","f__Xanthobacteraceae"
"Rib","f__Xanthomonadaceae"
"Scapula","f__Bacteroidaceae"
"Scapula","f__Chitinophagaceae"
"Scapula","f__Chromatiaceae"
"Scapula","f__Chthoniobacteraceae"
"Scapula","f__Clostridiaceae"
"Scapula","f__Comamonadaceae"
"Scapula","f__Crenotrichaceae"
"Scapula","f__Desulfobulbaceae"
"Scapula","f__Ellin6075"
"Scapula","f__Enterobacteriaceae"
"Scapula","f__Flavobacteriaceae"
"Scapula","f__Gemmataceae"
"Scapula","f__Geobacteraceae"
"Scapula","f__Helicobacteraceae"
"Scapula","f__Holophagaceae"
"Scapula","f__Hydrogenophilaceae"
"Scapula","f__Hyphomicrobiaceae"
"Scapula","f__Isosphaeraceae"
"Scapula","f__Lachnospiraceae"
"Scapula","f__Listeriaceae"
"Scapula","f__Marinilabiaceae"
"Scapula","f__mb2424"
"Scapula","f__Methylococcaceae"
"Scapula","f__mitochondria"
"Scapula","f__Mogibacteriaceae"
"Scapula","f__Moraxellaceae"
"Scapula","f__Nitrospiraceae"
"Scapula","f__Oxalobacteraceae"
"Scapula","f__Peptococcaceae"
"Scapula","f__Pirellulaceae"
"Scapula","f__Planctomycetaceae"
"Scapula","f__Porphyromonadaceae"
"Scapula","f__Procabacteriaceae"
"Scapula","f__Pseudomonadaceae"
"Scapula","f__Rhizobiaceae"
"Scapula","f__Rhodobacteraceae"
"Scapula","f__Rhodocyclaceae"
"Scapula","f__Rikenellaceae"
"Scapula","f__Ruminococcaceae"
"Scapula","f__Saprospiraceae"
"Scapula","f__Sediment_4"
"Scapula","f__Sinobacteraceae"
"Scapula","f__Sphingomonadaceae"
"Scapula","f__Spirochaetaceae"
"Scapula","f__Synechococcaceae"
"Scapula","f__Syntrophaceae"
"Scapula","f__Syntrophobacteraceae"
"Scapula","f__Syntrophomonadaceae"
"Scapula","f__Tissierellaceae"
"Scapula","f__Veillonellaceae"
"Scapula","f__Verrucomicrobiaceae"
"Scapula","f__Xanthobacteraceae"
"Scapula","f__Xanthomonadaceae"
