"sampleName","taxon","type","degdays","counts","fracBySample"
"SARRRR1B","f__Aeromonadaceae","Rib",0,25,0.00336202259279182
"SARRRR1B","f__Bacteroidaceae","Rib",0,1,0.000134480903711673
"SARRRR1B","f__Bradyrhizobiaceae","Rib",0,0,0
"SARRRR1B","f__Campylobacteraceae","Rib",0,0,0
"SARRRR1B","f__Carnobacteriaceae","Rib",0,2137,0.287385691231845
"SARRRR1B","f__Chitinophagaceae","Rib",0,2,0.000268961807423346
"SARRRR1B","f__Chthoniobacteraceae","Rib",0,0,0
"SARRRR1B","f__Clostridiaceae","Rib",0,8,0.00107584722969338
"SARRRR1B","f__Comamonadaceae","Rib",0,7,0.000941366325981711
"SARRRR1B","f__Crenotrichaceae","Rib",0,0,0
"SARRRR1B","f__Desulfobacteraceae","Rib",0,0,0
"SARRRR1B","f__Desulfobulbaceae","Rib",0,6,0.000806885422270038
"SARRRR1B","f__Desulfovibrionaceae","Rib",0,0,0
"SARRRR1B","f__Ellin6075","Rib",0,0,0
"SARRRR1B","f__Enterobacteriaceae","Rib",0,18,0.00242065626681011
"SARRRR1B","f__Flavobacteriaceae","Rib",0,2,0.000268961807423346
"SARRRR1B","f__Gemmataceae","Rib",0,0,0
"SARRRR1B","f__Haliangiaceae","Rib",0,0,0
"SARRRR1B","f__Holophagaceae","Rib",0,0,0
"SARRRR1B","f__Hyphomicrobiaceae","Rib",0,1,0.000134480903711673
"SARRRR1B","f__Isosphaeraceae","Rib",0,0,0
"SARRRR1B","f__Listeriaceae","Rib",0,347,0.0466648735879505
"SARRRR1B","f__Methylococcaceae","Rib",0,0,0
"SARRRR1B","f__mitochondria","Rib",0,0,0
"SARRRR1B","f__Moraxellaceae","Rib",0,1458,0.196073157611619
"SARRRR1B","f__Neisseriaceae","Rib",0,61,0.00820333512641205
"SARRRR1B","f__Nitrospiraceae","Rib",0,0,0
"SARRRR1B","f__Peptococcaceae","Rib",0,0,0
"SARRRR1B","f__Pirellulaceae","Rib",0,2,0.000268961807423346
"SARRRR1B","f__Planctomycetaceae","Rib",0,0,0
"SARRRR1B","f__Polyangiaceae","Rib",0,0,0
"SARRRR1B","f__Porphyromonadaceae","Rib",0,0,0
"SARRRR1B","f__Pseudomonadaceae","Rib",0,3284,0.441635287789134
"SARRRR1B","f__Rhodobacteraceae","Rib",0,0,0
"SARRRR1B","f__Rhodocyclaceae","Rib",0,0,0
"SARRRR1B","f__Rhodospirillaceae","Rib",0,0,0
"SARRRR1B","f__Rikenellaceae","Rib",0,0,0
"SARRRR1B","f__Ruminococcaceae","Rib",0,7,0.000941366325981711
"SARRRR1B","f__Saprospiraceae","Rib",0,0,0
"SARRRR1B","f__Sediment_4","Rib",0,0,0
"SARRRR1B","f__Sinobacteraceae","Rib",0,0,0
"SARRRR1B","f__Sphingomonadaceae","Rib",0,1,0.000134480903711673
"SARRRR1B","f__Synechococcaceae","Rib",0,0,0
"SARRRR1B","f__Syntrophomonadaceae","Rib",0,3,0.000403442711135019
"SARRRR1B","f__Thiotrichaceae","Rib",0,0,0
"SARRRR1B","f__Veillonellaceae","Rib",0,0,0
"SARRRR1B","f__Verrucomicrobiaceae","Rib",0,0,0
"SARRRR1B","f__Weeksellaceae","Rib",0,0,0
"SARRRR1B","f__Xanthomonadaceae","Rib",0,0,0
"SARRRR1B","Rare","Rib",0,66,0.00887573964497041
"SARRRR1C11","f__Aeromonadaceae","Rib",2915,4,0.00126422250316056
"SARRRR1C11","f__Bacteroidaceae","Rib",2915,0,0
