type,actual,predicted
Rib,516,738.1325750541746
Rib,516,837.171245421255
Rib,516,654.4840960727151
Scapula,516,816.076672749404
Scapula,516,1343.1666204986238
Rib,1012,1247.8979206049219
Rib,1012,1087.5497175141336
Scapula,1012,2138.267866549602
Scapula,1012,868.4413773148256
Scapula,1513,2961.367006802728
Scapula,1513,1604.2580640197052
Rib,2141,2270.910748360168
Scapula,2141,2567.7485110470657
Rib,2395,2588.5554456999357
Rib,2915,2960.749018661524
Rib,2915,3263.4234800838667
Rib,2915,3090.978227085322
Scapula,2915,3547.144954128452
Scapula,2915,2661.947679708827
Rib,3388,3412.58157037038
Rib,3388,3315.2071696344983
Rib,3388,2020.200776898269
Scapula,3388,3394.103430909674
Scapula,3388,2421.7498253968265
Scapula,3388,3253.746616541362
Rib,3949,2847.1723566308287
Rib,3949,3486.8349657960316
Scapula,3949,2932.142969240434
Scapula,3949,3149.911730072473
