numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
600,2,437693.37740069197,0.28282604183957677
1500,2,437385.5427572231,0.2827532326261339
2100,2,436927.27793446096,0.28245173014141906
3000,2,436698.0998137704,0.28229761646875623
600,3,421488.4816021243,0.27373520051849365
1500,3,421179.8552735945,0.27383756328833575
2100,3,421263.2993171748,0.27384693698048546
3000,3,421252.58877000504,0.27373327701034234
600,4,411379.2202914377,0.2691436600980917
1500,4,411016.10468318826,0.2686196925179555
2100,4,411041.5895724387,0.2685644641427864
3000,4,410621.59361532284,0.2680419566860638
600,5,404762.0021589206,0.26371724393552187
1500,5,403078.52254220564,0.2631759094459264
2100,5,402984.79811738053,0.26310730764748336
3000,5,403068.151258514,0.2633055993886627
600,6,398821.1497630685,0.2608555093080807
1500,6,397919.1602094208,0.2603140722843435
2100,6,397480.5353092156,0.2601398674976324
3000,6,397618.83051799313,0.2602306060350343
600,7,394092.9912009661,0.25822807021964433
1500,7,393925.1458857308,0.25820113787269855
2100,7,393683.7597232021,0.2581694407628842
3000,7,393299.51916967967,0.25782552995127256
600,8,390387.582242451,0.25590441852379436
1500,8,389598.85942381655,0.25540111525531894
2100,8,389571.1242171535,0.2555200509301468
3000,8,389593.3794935486,0.2555058983643613
600,9,386933.7703704577,0.2537924701396069
1500,9,386217.48914867535,0.25305345836319415
2100,9,385834.93254690384,0.25299054993046266
3000,9,385865.7957670965,0.2531467484890684
600,10,385139.67881701054,0.2525688407700398
1500,10,383875.4169075195,0.2517117211728986
2100,10,383401.79898410896,0.251519343383394
3000,10,382940.9391775788,0.251123368579735
600,11,381663.5655816974,0.25076547606422595
1500,11,381228.6299137561,0.25057298243488024
2100,11,381240.6161722767,0.2505812108700437
3000,11,380814.3127896752,0.250026001872461
600,12,378388.34754451807,0.24830766669357573
1500,12,377927.74313694163,0.24791890782793852
2100,12,377906.9774058989,0.247949177236382
3000,12,377844.07529070775,0.24795303838328445
600,13,376776.2373858398,0.24785757295973682
1500,13,376780.8785941565,0.24718253553560884
2100,13,376219.56003813335,0.247009006000651
3000,13,376276.28392556956,0.2470965061109102
600,14,374911.13393510954,0.2462138530251279
1500,14,374746.88418672176,0.24605605449985854
2100,14,374470.49471905193,0.24602164777239952
3000,14,374325.5287270571,0.24593027542402662
600,15,373182.56259197654,0.24500766438035565
1500,15,372516.2141959363,0.2447613593842499
2100,15,372347.9596776935,0.24454494964888965
3000,15,372400.47940855724,0.24443980400586482
600,16,370499.9802021581,0.24332319388759382
1500,16,370407.7293738744,0.24320514886870576
2100,16,370768.6932777216,0.2434727641890047
3000,16,370725.85927717364,0.24353067528293595
600,17,370819.5810372268,0.24370950607482258
1500,17,369568.59370008204,0.2427444426055937
2100,17,369644.70379601314,0.24279987382034238
3000,17,369662.5106791956,0.24264562867640005
600,18,369783.9147501311,0.24275826569173992
1500,18,368405.3348143946,0.24193930620124032
2100,18,367876.71639442013,0.2418339429663422
3000,18,367806.2997130192,0.24177918106572865
600,19,366851.1905367949,0.2409870030032392
1500,19,366776.2980520677,0.24088013305622394
2100,19,366631.047673802,0.24099872720822493
3000,19,366591.5186845032,0.2410088679561464
600,20,365939.0942803653,0.24050691846777195
1500,20,365531.3975419452,0.24062335677206606
2100,20,365760.8355306965,0.2407257842653079
3000,20,365655.69564620376,0.24053043200736682
600,21,365530.1310644159,0.24011084407807728
1500,21,364912.5712558564,0.23960084208831672
2100,21,364734.274387235,0.23963627398263912
3000,21,364806.56161085947,0.23959978523841985
600,22,364851.8055473368,0.23998424871091836
1500,22,364209.1873821715,0.23953546543772006
2100,22,363971.57527843886,0.23924556006802467
3000,22,363557.9706131346,0.23896685514551846
600,23,363942.5590699411,0.23923238395702445
1500,23,363184.7401819782,0.23889971949746983
2100,23,362767.08518822194,0.2385881896207965
3000,23,362906.0613611542,0.23864346801902314
600,24,362450.92037015676,0.23873953484775737
1500,24,362315.62108161615,0.23822542117849477
2100,24,362317.36767788866,0.2382523522714435
3000,24,362373.01285064925,0.23821746635189603
600,25,362124.4810475026,0.23806159118619066
1500,25,361680.06086310814,0.23795963946323584
2100,25,361525.6934230909,0.23774846976953015
3000,25,361664.0281154474,0.2378183925418424
600,26,362790.8321358777,0.23907574441868865
1500,26,361668.16719335585,0.23794023161829045
2100,26,361544.7505169073,0.23789119085452268
3000,26,361134.48994383443,0.2375798238317656
600,27,361910.030633788,0.23848601919397414
1500,27,361510.3362618576,0.238022891537949
2100,27,361530.77992158284,0.23814782190449657
3000,27,361105.0662150199,0.2378086570253875
600,28,360809.7019826823,0.23746944830856692
1500,28,360082.0124594238,0.23651488305126922
2100,28,359780.8245590562,0.23632877266156005
3000,28,359720.6906535535,0.23635457232967158
600,29,360513.60293566243,0.23680468728631465
