type,actual,predicted
Rib,0,53.10954751127042
Rib,0,66.22648725208546
Rib,0,31.17915543571553
Scapula,0,223.22034291006594
Scapula,0,76.46883720926235
Scapula,0,68.48752327742727
Rib,516,530.1310365135214
Rib,516,569.5860608943703
Rib,516,554.5812401636576
Scapula,516,734.7449162861387
Scapula,516,1384.9287078484078
Rib,1012,851.0615214646482
Rib,1012,562.7205150716779
Scapula,1012,2008.5059886499412
Scapula,1012,1115.945987376022
Scapula,1513,2675.8968174962365
Scapula,1513,1771.3104406130276
Rib,2141,1730.9349952963296
Scapula,2141,2755.757303370795
Rib,2395,2736.357955232919
Rib,2915,2897.7945171339643
Rib,2915,3253.5492319508294
Rib,2915,3070.8161587301543
Scapula,2915,3532.3364366729384
Scapula,2915,2515.242486967194
Rib,3388,3468.621350250599
Rib,3388,3430.905848484822
Rib,3388,2025.1131331513507
Scapula,3388,3415.489589083079
Scapula,3388,2141.3078741342924
Scapula,3388,3297.581898656876
Rib,3949,3174.4725248974646
Rib,3949,3508.7675760426164
Scapula,3949,2580.366991150449
Scapula,3949,3045.2427170868305
