numBtSamps,numVarSplit,avgcvMSE,avgcvErrFrac
600,2,784790.6226138015,2.5781988338193678
1500,2,785886.2965584572,2.594675404382722
2100,2,786884.8773618394,2.5858820016187702
3000,2,784746.845115159,2.570445604848615
600,3,748100.829581923,2.431105876178935
1500,3,749367.1582487171,2.440145244182307
2100,3,749382.6726330633,2.4273425494354846
3000,3,748185.1026789912,2.4348788982606777
600,4,731812.9877409326,2.3646162486828843
1500,4,731424.5163715188,2.358290291380965
2100,4,732259.8339032191,2.361305402258077
3000,4,730609.8604973465,2.3574628154890376
600,5,726280.5057000782,2.3358640897694087
1500,5,721592.2135791417,2.30684867694524
2100,5,722163.5297520726,2.3234718456805554
3000,5,722812.4149170564,2.3206210070843567
600,6,718253.7729605021,2.2947112912342758
1500,6,716725.9768070162,2.2837750649109885
2100,6,715921.6733315198,2.2921856208034432
3000,6,715790.130432435,2.2827945372220277
600,7,715693.2851128647,2.2689400234237733
1500,7,713501.4006377619,2.266676086160904
2100,7,714297.7879403381,2.271018433168773
3000,7,712265.4448484182,2.2642377666972506
600,8,713736.76419069,2.255071645308004
1500,8,713410.3327916728,2.254730337029167
2100,8,711991.5891323396,2.249229411613576
3000,8,712034.1756524727,2.251963283012685
600,9,709477.2513280951,2.232011839993221
1500,9,710614.2713060218,2.2428829483215793
2100,9,710996.844308943,2.243220957734127
3000,9,709733.8804543873,2.2311755411968446
600,10,711720.4916723304,2.23097781385197
1500,10,710615.8684768579,2.24041929736093
2100,10,709654.5932728895,2.2296895671916626
3000,10,710004.5848414894,2.239194564205003
600,11,709713.6021828026,2.230141059389887
1500,11,709876.3532897582,2.2215951991367913
2100,11,708901.6980590551,2.220513047227117
3000,11,709240.431959436,2.2211349596590653
600,12,710307.863993794,2.2275711820198985
1500,12,709419.3499576453,2.2141268095769373
2100,12,710351.1917456525,2.216624193090439
3000,12,709642.6775582125,2.2167283497296992
600,13,711937.7861986646,2.225603275185691
1500,13,711333.0957684171,2.217180254307241
2100,13,709647.4238463374,2.20690428737083
3000,13,710411.4678907943,2.2170276054103883
600,14,712509.6109416301,2.2084671307037635
1500,14,709058.6221715366,2.201065755932976
2100,14,710704.7001548838,2.2136341818711203
3000,14,709612.2426160758,2.213115600229668
600,15,711483.1542102369,2.214617722945552
1500,15,710137.0239337487,2.2035803641415947
2100,15,710752.4959134427,2.208297276929022
3000,15,709594.747643284,2.2056913450958273
600,16,713051.2884416104,2.2130817764013955
1500,16,710429.8916228726,2.2088692315269176
2100,16,709030.6716633694,2.202771341678045
3000,16,709508.72809406,2.2076875396860594
600,17,710572.4711566168,2.205023924594712
1500,17,709966.9054864213,2.195479738079866
2100,17,709951.3225350011,2.201101752716921
3000,17,710151.691731201,2.200291353205003
600,18,709733.6424771271,2.201437793580483
1500,18,709299.7435479764,2.195794125027605
2100,18,711135.3363636336,2.201196786275315
3000,18,710327.6357704286,2.201057398221081
600,19,711835.7154978566,2.189910051220242
1500,19,711362.6530877693,2.1994154764841634
2100,19,710269.6515162342,2.1919498014324854
3000,19,709711.0265783776,2.191640788098291
600,20,712691.829661785,2.2054241403589
1500,20,711682.3764418841,2.203679395425169
2100,20,710986.5333308466,2.1947896817973995
3000,20,711279.2886971751,2.202538468243341
600,21,709800.4836988961,2.1815797033381497
1500,21,711774.4323869962,2.193008535023762
2100,21,710545.2170106368,2.185252787075326
3000,21,710816.9081988966,2.1932506685540853
600,22,711087.2159736493,2.1871574367883846
1500,22,711698.63010436,2.184383955241047
2100,22,710570.423932252,2.1912965829979534
3000,22,710280.3585208427,2.1937879445885855
600,23,711679.6167965035,2.1976764398170743
1500,23,711794.8589293532,2.1881341962165335
2100,23,711446.9792951162,2.192910852488764
3000,23,711290.9575583186,2.1921196640871514
600,24,713609.9354729068,2.197766171486216
1500,24,712536.8500161372,2.196511914877913
2100,24,711814.031475145,2.1849279770183356
3000,24,711203.8000460509,2.187555809665884
600,25,712920.0507478034,2.1846438323991673
1500,25,711941.3304515051,2.1943936345498893
2100,25,712035.8849206251,2.185891273094136
3000,25,711082.544378096,2.1916737519565253
600,26,712719.0215026402,2.1869318182214794
1500,26,710991.5306181355,2.185486433028945
2100,26,712142.5426690762,2.188006357972742
3000,26,711418.9838170597,2.189575778268376
600,27,711599.8130157781,2.1956359216442682
1500,27,712229.286560002,2.1807110169890893
2100,27,711439.9496675403,2.181134913947264
3000,27,711870.448480135,2.1852005233493275
600,28,714786.0820477275,2.1849408621031676
1500,28,712634.4259649556,2.180369417892201
2100,28,712573.407565163,2.1797646370900194
3000,28,711781.5184070874,2.1782457140468163
600,29,713643.2372189853,2.1874989035982826
1500,29,711764.2961825639,2.1838703135305217
2100,29,710352.1342924219,2.1764109052117244
3000,29,711543.8616712292,2.184470467266579
600,30,714540.2582968423,2.1830665408869723
1500,30,712191.8686156803,2.1794292766517325
2100,30,711343.4830179373,2.1767795136673733
3000,30,712208.3169462492,2.1821704667570314
600,31,715150.7528123446,2.1888879103626717
1500,31,713171.0188210953,2.18125316536518
2100,31,712945.745755694,2.179558270522901
3000,31,712587.765127612,2.180827894264375
600,32,715014.8312545845,2.1860180973110017
1500,32,713274.7862966302,2.188873375778226
2100,32,713013.8294397957,2.175506732656152
3000,32,713443.7294604247,2.1809000167248844
600,33,714930.8740732241,2.1839746773665545
1500,33,714095.8303105346,2.1923764508027688
2100,33,713111.555821131,2.180316784085653
3000,33,713614.3352927961,2.17730078489063
600,34,714838.5724380682,2.1840867002369526
1500,34,713511.1856797826,2.173092866376845
2100,34,714990.3891300029,2.1935001494617605
3000,34,713153.3848635148,2.1758059344393845
600,35,714171.57965924,2.1806193345109426
1500,35,712929.2569418222,2.1712168623857457
2100,35,713629.7476793753,2.1851189477606603
3000,35,713257.6568010118,2.1787237677325737
600,36,714983.4335044735,2.1767841896195668
1500,36,714058.8249171268,2.174737998934855
2100,36,715063.4899648887,2.1760175480324557
3000,36,715320.7177676802,2.183697951189168
600,37,716417.3781205947,2.1686782273193215
1500,37,714521.0402641227,2.169942654462546
2100,37,714466.9610859574,2.1730832513693166
3000,37,714653.613410524,2.1773407250170926
600,38,716141.4701280372,2.1849562021515547
1500,38,712426.8187947832,2.162037324588003
2100,38,714759.0403737392,2.184966274933287
3000,38,714576.6404513039,2.1699143261793483
600,39,715395.888525575,2.1768642608613886
1500,39,714832.6640557405,2.1836027039791555
2100,39,713829.863218487,2.170774870015464
3000,39,714855.5385711082,2.173607956208081
600,40,716445.6023406865,2.1773469889034947
1500,40,717163.0154943618,2.186539853955273
2100,40,714561.751692185,2.1727714211720355
3000,40,713906.0809744339,2.169206109570697
600,41,717194.5131954527,2.1773571196035206
1500,41,715514.6846575853,2.1709618096481487
2100,41,715702.5490170142,2.1772920118809735
3000,41,714298.0292689701,2.1722117557208387
600,42,717875.2262575033,2.1865674395405086
1500,42,714685.6800961558,2.1668564278324216
2100,42,714567.3694495477,2.172055801146449
3000,42,715792.90473513,2.1774395159850815
600,43,718324.4426279879,2.1822720867504386
1500,43,715642.3568676058,2.1706145749502923
2100,43,715694.6640749496,2.1741664648550167
3000,43,715909.442484688,2.1694083574884098
600,44,719526.7164127247,2.1907879089787685
1500,44,716700.501656149,2.1782211882737417
2100,44,714814.2177572985,2.169875597976464
3000,44,715673.5870274897,2.1726600559286715
600,45,716606.0580009043,2.181584306212422
1500,45,715915.4515064451,2.1744612600914484
2100,45,716807.8991250278,2.169545501703656
3000,45,715681.2027481943,2.173962963142956
600,46,715415.6116261963,2.1729216422324003
1500,46,716896.8040559388,2.1754107367033364
2100,46,716358.4867873045,2.178100740794362
3000,46,716478.2713223067,2.173325880567364
600,47,718183.4606958557,2.1791524085740095
1500,47,716354.2452456659,2.166148270028422
2100,47,715825.1666478199,2.174793084667962
3000,47,716561.4254850664,2.1741681936935118
600,48,716225.2610770063,2.1662943724847947
1500,48,716190.095387412,2.1669465577999016
2100,48,717316.5482068785,2.1767093144996985
3000,48,716236.0195856647,2.1705276224960954
600,49,717120.8385659967,2.1812826660164544
1500,49,717112.6089085529,2.172843392119244
2100,49,717455.3097403015,2.1702497339039346
3000,49,716449.5070178643,2.172415246922956
600,50,717660.6487893435,2.17383231044769
1500,50,717128.8190076147,2.173133492651367
2100,50,716348.532346964,2.1667988684059445
3000,50,717226.3273124113,2.173045760880957
600,51,718398.4390772207,2.178311717158932
1500,51,718463.8873271183,2.1702189577470405
2100,51,718095.5052521477,2.1756180977355957
3000,51,716753.1889457807,2.1661979188131
600,52,718926.3183927496,2.168707471990401
1500,52,717568.4624576602,2.166755817352413
2100,52,717180.5150543443,2.165484628383619
3000,52,716847.1379201916,2.168284667078213
600,53,717885.0185287223,2.1711846483939703
1500,53,718386.6295760339,2.178385764850505
2100,53,718116.8215814232,2.171322623417694
3000,53,717859.0835324182,2.172460840505917
