"type","taxon"
"Rib","c__4C0d_2"
"Rib","c__Bacilli"
"Rib","c__Bacteroidia"
"Rib","c__Betaproteobacteria"
"Rib","c__Clostridia"
"Rib","c__Deltaproteobacteria"
"Rib","c__Flavobacteriia"
"Rib","c__Gammaproteobacteria"
"Rib","c__Holophagae"
"Rib","c__Ignavibacteria"
"Rib","c__Spirochaetes"
"Scapula","c__4C0d_2"
"Scapula","c__Alphaproteobacteria"
"Scapula","c__Anaerolineae"
"Scapula","c__Bacilli"
"Scapula","c__Bacteroidia"
"Scapula","c__Betaproteobacteria"
"Scapula","c__Clostridia"
"Scapula","c__Deltaproteobacteria"
"Scapula","c__Epsilonproteobacteria"
"Scapula","c__Erysipelotrichi"
"Scapula","c__Flavobacteriia"
"Scapula","c__Gammaproteobacteria"
"Scapula","c__Holophagae"
"Scapula","c__Leptospirae"
"Scapula","c__Oscillatoriophycideae"
"Scapula","c__Planctomycetia"
"Scapula","c__Spirochaetes"
"Water","c__Actinobacteria"
"Water","c__Alphaproteobacteria"
"Water","c__Anaerolineae"
"Water","c__Bacteroidia"
"Water","c__Betaproteobacteria"
"Water","c__Clostridia"
"Water","c__Cytophagia"
"Water","c__Deltaproteobacteria"
"Water","c__Flavobacteriia"
"Water","c__Gammaproteobacteria"
"Water","c__Holophagae"
"Water","c__Nostocophycideae"
"Water","c__Opitutae"
"Water","c__Oscillatoriophycideae"
"Water","c__Pedosphaerae"
"Water","c__Planctomycetia"
"Water","c__Saprospirae"
"Water","c__SL56"
"Water","c__Spartobacteria"
"Water","c__Sphingobacteriia"
"Water","c__Verrucomicrobiae"
