"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
0,"S1","S1",0,477.666727777778,-477.666727777778
0,"S1","S2",0,487.908611111111,-487.908611111111
0,"S1","S1",249,423.076927777778,-174.076927777778
0,"S1","S1",489,500.987261111112,-11.9872611111115
0,"S1","S1",727,746.420311111111,-19.4203111111113
0,"S1","S1",989,1138.18954444445,-149.189544444445
0,"S1","S1",1242,1183.36391111111,58.6360888888878
0,"S1","S1",1490,1096.74311111111,393.256888888888
0,"S1","S1",1738,2331.56968333333,-593.569683333332
0,"S1","S1",1980,2142.16658888889,-162.166588888891
0,"S1","S1",2224,2769.27173333333,-545.271733333333
0,"S1","S1",2496,2406.19627777778,89.8037222222229
0,"S1","S1",3103,2855.94858888889,247.051411111115
0,"S1","S1",3434,2964.68321666666,469.316783333336
0,"S1","S1",3666,4019.43060555556,-353.430605555556
0,"S1","S1",3962,4417.94133333334,-455.941333333335
0,"S1","S1",4229,4193.39302777778,35.6069722222173
0,"S1","S1",4527,4006.55833888889,520.441661111114
0,"S1","S1",4863,4127.81490555556,735.185094444442
0,"S1","S1",5200,4534.14563333333,665.854366666666
0,"S2","S1",0,363.885522222222,-363.885522222222
0,"S2","S2",0,356.990455555555,-356.990455555555
0,"S2","S2",249,315.688161111111,-66.688161111111
0,"S2","S2",489,570.644844444444,-81.6448444444443
0,"S2","S2",727,1042.74355,-315.743549999999
0,"S2","S2",989,1481.74079444444,-492.740794444444
0,"S2","S2",1242,1399.17847222222,-157.178472222223
0,"S2","S2",1490,1341.56495,148.435050000001
0,"S2","S2",1980,2314.44772777778,-334.44772777778
0,"S2","S2",2224,2370.11805555556,-146.118055555556
0,"S2","S2",2496,2372.11198888889,123.888011111113
0,"S2","S2",2784,2493.60578333333,290.394216666668
0,"S2","S2",3103,2847.30843333333,255.69156666667
0,"S2","S2",3434,4111.79387222223,-677.793872222225
0,"S2","S2",3666,2753.66385,912.336150000002
0,"S2","S2",3962,4553.27466666667,-591.274666666673
0,"S2","S2",4229,4227.02699444445,1.97300555555375
0,"S2","S2",4527,4440.01384444445,86.9861555555544
0,"S2","S2",4863,4598.56347777778,264.436522222222
0,"S2","S2",5200,4026.39411111111,1173.60588888889
249,"S1","S1",0,410.929072222222,-410.929072222222
249,"S1","S1",249,575.190227777776,-326.190227777776
249,"S1","S2",249,696.525772222221,-447.525772222221
249,"S1","S3",249,651.01256111111,-402.01256111111
249,"S1","S4",249,754.105099999999,-505.105099999999
249,"S1","S5",249,621.565327777777,-372.565327777777
249,"S1","S1",489,507.634438888888,-18.634438888888
249,"S1","S1",727,803.257355555555,-76.2573555555555
249,"S1","S1",989,1197.48360555556,-208.483605555558
249,"S1","S1",1242,1129.89452222222,112.105477777777
249,"S1","S1",1490,1114.20194444445,375.798055555554
249,"S1","S1",1738,2261.19764444444,-523.197644444444
249,"S1","S1",1980,2125.09432777778,-145.094327777779
249,"S1","S1",2224,2739.70362222222,-515.70362222222
249,"S1","S1",2496,2382.69346666667,113.306533333332
249,"S1","S1",3103,2845.74337777778,257.256622222223
249,"S1","S1",3434,2982.65187777777,451.348122222226
249,"S1","S1",3666,4031.17506666667,-365.175066666671
249,"S1","S1",3962,4423.02297222222,-461.022972222218
249,"S1","S1",4229,4210.75394444445,18.2460555555508
249,"S1","S1",4527,4036.58543888889,490.414561111115
249,"S1","S1",4863,4153.30643888888,709.693561111121
249,"S1","S1",5200,4554.75936111111,645.240638888894
249,"S2","S2",0,393.704533333333,-393.704533333333
249,"S2","S1",249,606.425177777777,-357.425177777777
249,"S2","S2",249,604.847677777776,-355.847677777776
