"dayOmit","scapnumOmit","scapnumactual","yactual","yhat","resid"
0,"S1","S1",0,455.509655555556,-455.509655555556
0,"S1","S2",0,467.101333333334,-467.101333333334
0,"S1","S1",249,418.310911111111,-169.310911111111
0,"S1","S1",489,490.417155555556,-1.41715555555578
0,"S1","S1",727,766.583550000001,-39.5835500000006
0,"S1","S1",989,1188.85238333334,-199.852383333335
0,"S1","S1",1242,1182.81113888889,59.1888611111099
0,"S1","S1",1490,1046.12927222222,443.870727777777
0,"S1","S1",1738,2786.53985,-1048.53985
0,"S1","S1",1980,2095.42188888889,-115.421888888887
0,"S1","S1",2224,2728.97289444444,-504.972894444443
0,"S1","S1",2496,2525.23104444444,-29.231044444442
0,"S1","S1",3103,2785.32293333333,317.677066666668
0,"S1","S1",3434,2400.96963333333,1033.03036666667
0,"S1","S1",3666,4488.33627777778,-822.336277777782
0,"S1","S1",3962,4238.72488888889,-276.724888888889
0,"S1","S1",4229,4235.5619,-6.56190000000242
0,"S1","S1",4527,3638.60980555555,888.390194444447
0,"S1","S1",4863,4087.65100555555,775.348994444449
0,"S1","S1",5200,4626.31771666667,573.682283333333
0,"S2","S1",0,334.428038888889,-334.428038888889
0,"S2","S2",0,335.121438888889,-335.121438888889
0,"S2","S2",249,290.992027777778,-41.9920277777775
0,"S2","S2",489,576.891455555556,-87.8914555555556
0,"S2","S2",727,1205.45347777778,-478.453477777776
0,"S2","S2",989,1758.83985,-769.839850000001
0,"S2","S2",1242,1331.02350555555,-89.0235055555543
0,"S2","S2",1490,1308.33906111111,181.660938888889
0,"S2","S2",1980,2667.51537777777,-687.515377777771
0,"S2","S2",2224,2418.16470555556,-194.164705555556
0,"S2","S2",2496,2535.70514444444,-39.7051444444401
0,"S2","S2",2784,2902.04897222222,-118.04897222222
0,"S2","S2",3103,3001.164,101.836000000001
0,"S2","S2",3434,3900.00003888889,-466.000038888893
0,"S2","S2",3666,2875.20730555555,790.792694444446
0,"S2","S2",3962,4418.04177777777,-456.041777777775
0,"S2","S2",4229,4161.0803611111,67.9196388888977
0,"S2","S2",4527,4119.50331111111,407.496688888892
0,"S2","S2",4863,4409.56854444444,453.431455555556
0,"S2","S2",5200,3883.09205555555,1316.90794444445
249,"S1","S1",0,401.696483333333,-401.696483333333
249,"S1","S1",249,529.711288888888,-280.711288888888
249,"S1","S2",249,516.875705555555,-267.875705555555
249,"S1","S3",249,494.925688888889,-245.925688888889
249,"S1","S4",249,547.067872222222,-298.067872222222
249,"S1","S5",249,603.606138888889,-354.606138888889
249,"S1","S1",489,494.325955555555,-5.32595555555525
