"dayOmit","ribnumOmit","ribnumactual","yactual","yhat","resid"
0,"R1","R1",0,1326.63184444444,-1326.63184444444
0,"R1","R2",0,1224.72696111111,-1224.72696111111
0,"R1","R3",0,1232.95687777778,-1232.95687777778
0,"R1","R4",0,1209.14750555555,-1209.14750555555
0,"R1","R5",0,1147.03582777778,-1147.03582777778
0,"R1","R1",249,488.370133333333,-239.370133333333
0,"R1","R1",489,603.923922222222,-114.923922222222
0,"R1","R1",727,824.416350000001,-97.416350000001
0,"R1","R1",989,1643.41363888889,-654.413638888887
0,"R1","R1",1242,1531.19936111111,-289.199361111112
0,"R1","R1",1490,1432.03673333333,57.9632666666657
0,"R1","R1",1738,1693.06457777778,44.9354222222235
0,"R1","R1",1980,1888.25966666666,91.7403333333361
0,"R1","R1",2224,2546.92358888889,-322.923588888886
0,"R1","R1",2496,4407.87574444444,-1911.87574444444
0,"R1","R1",2784,3254.19398333334,-470.193983333338
0,"R1","R1",3103,2848.89523888889,254.104761111113
0,"R1","R1",3434,3963.10260555555,-529.102605555549
0,"R1","R1",3666,4171.73026666666,-505.730266666664
0,"R1","R1",3962,4241.34951666666,-279.34951666666
0,"R1","R1",4229,4096.56464444444,132.435355555561
0,"R1","R1",4527,4167.70774999999,359.292250000007
0,"R1","R1",4863,4336.41182222222,526.58817777778
0,"R1","R1",5200,4352.56400555555,847.435994444448
0,"R2","R1",0,985.718383333334,-985.718383333334
0,"R2","R2",0,901.514722222222,-901.514722222222
0,"R2","R3",0,925.077411111111,-925.077411111111
0,"R2","R4",0,929.211677777778,-929.211677777778
0,"R2","R5",0,903.749705555556,-903.749705555556
0,"R2","R2",249,405.788894444444,-156.788894444444
0,"R2","R2",489,524.163966666666,-35.1639666666664
0,"R2","R2",727,814.953444444445,-87.9534444444447
0,"R2","R2",989,1097.93037222222,-108.930372222221
0,"R2","R2",1242,2011.57762777778,-769.577627777779
0,"R2","R2",1490,1607.13465,-117.13465
0,"R2","R2",1738,1685.06398333333,52.93601666667
0,"R2","R2",1980,1891.74628888889,88.253711111111
0,"R2","R2",2224,2090.42178333333,133.578216666666
0,"R2","R2",2496,2336.81932222222,159.180677777776
0,"R2","R2",2784,2879.89081111112,-95.8908111111155
0,"R2","R2",3103,3087.39761666667,15.6023833333284
0,"R2","R2",3434,2047.44325555555,1386.55674444445
0,"R2","R2",3666,4080.12087777778,-414.12087777778
0,"R2","R2",3962,4061.78139444445,-99.781394444447
0,"R2","R2",4229,4321.83450555556,-92.8345055555637
0,"R2","R2",4527,4024.77286666667,502.227133333334
0,"R2","R2",4863,4549.64732222223,313.352677777771
0,"R2","R2",5200,3793.83378333334,1406.16621666666
0,"R3","R1",0,1258.72523333333,-1258.72523333333
0,"R3","R2",0,1237.68907222222,-1237.68907222222
0,"R3","R3",0,1361.97865555556,-1361.97865555556
0,"R3","R4",0,1339.67063888889,-1339.67063888889
0,"R3","R5",0,1198.34017777778,-1198.34017777778
0,"R3","R3",249,330.386144444444,-81.3861444444443
0,"R3","R3",489,573.529594444445,-84.5295944444446
0,"R3","R3",727,1052.45232222222,-325.452322222222
0,"R3","R3",989,1371.71038333333,-382.710383333334
0,"R3","R3",1242,1482.93085555556,-240.930855555556
0,"R3","R3",1490,1883.29583333333,-393.295833333334
0,"R3","R3",1738,1974.22074444444,-236.220744444444
0,"R3","R3",1980,1657.03026666667,322.969733333334
0,"R3","R3",2224,3278.74622777778,-1054.74622777778
0,"R3","R3",2496,2045.72484444444,450.275155555558
0,"R3","R3",2784,3234.12185,-450.121850000003
0,"R3","R3",3103,3296.0828,-193.082800000005
0,"R3","R3",3434,3245.24268333334,188.757316666664
0,"R3","R3",3666,3696.19587222222,-30.195872222223
0,"R3","R3",3962,3909.89678333333,52.103216666666
0,"R3","R3",4229,3881.4055611111,347.594438888896
