"taxon","taxaColors"
"Comamonadaceae","#5A5156"
"Holophagaceae","#E4E1E3"
"Pseudomonadaceae","#F6222E"
"Spirochaetaceae","#FE00FA"
"Syntrophomonadaceae","#16FF32"
"Pirellulaceae","#3283FE"
"Rhodospirillaceae","#FEAF16"
"Sediment_4","#B00068"
"Streptomycetaceae","#1CFFCE"
"Xanthobacteraceae","#90AD1C"
"Rhodocyclaceae","#2ED9FF"
"Campylobacteraceae","#DEA0FD"
"Crenotrichaceae","#AA0DFE"
"Dethiosulfovibrionaceae","#F8A19F"
"Rikenellaceae","#325A9B"
"Syntrophaceae","#C4451C"
"Enterobacteriaceae","#1C8356"
"Phormidiaceae","#85660D"
"Methylococcaceae","#B10DA1"
"Xanthomonadaceae","#FBE426"
"Clostridiaceae","#1CBE4F"
"Bacteroidaceae","#FA0087"
"Synechococcaceae","#FC1CBF"
"Veillonellaceae","#F7E1A0"
"Chthoniobacteraceae","#C075A6"
"Methylocystaceae","#782AB6"
"Moraxellaceae","#AAF400"
"Tissierellaceae","#BDCDFF"
"Porphyromonadaceae","#822E1C"
