Sample	Actual Collected ADD	Season	Location	Sample Type	Collection	DaysCollectionADD	ADDCollectionDays
HLS1BCS	0	Fall	Henley Lake	Scapula	Baseline	0/Baseline/0	0/Baseline/0
HLS2BCS	0	Fall	Henley Lake	Scapula	Baseline	0/Baseline/0	0/Baseline/0
HLS1C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23
HLS2C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23
HLS3C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23
HLS4C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23
HLS5C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23
HLS1C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72
HLS2C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72
HLS3C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72
HLS4C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72
HLS5C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72
HLS1C3CS	999	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114
HLS2C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114
HLS3C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114
HLS4C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114
HLS5C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114
HLS1C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150
HLS2C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150
HLS3C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150
HLS4C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150
HLS5C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150
HLS1C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178
HLS2C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178
HLS3C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178
HLS4C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178
HLS5C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178
HLS1C6CS	1490	Spring	Henley Lake	Scapula	Collection 6	204/Collection6/1490	1490/Collection6/204
HLS2C6CS	1490	Spring	Henley Lake	Scapula	Collection 6	204/Collection6/1490	1490/Collection6/204
HLS3C6CS	1490	Spring	Henley Lake	Scapula	Collection 6	204/Collection6/1490	1490/Collection6/204
HLS4C6CS	1490	Spring	Henley Lake	Scapula	Collection 6	204/Collection6/1490	1490/Collection6/204
HLS5C6CS	1490	Spring	Henley Lake	Scapula	Collection 6	204/Collection6/1490	1490/Collection6/204
HLS1C7CS	1738	Summer	Henley Lake	Scapula	Collection 7	227/Collection7/1738	1738/Collection7/227
HLS3C7CS	1738	Summer	Henley Lake	Scapula	Collection 7	227/Collection7/1738	1738/Collection7/227
HLS5C7CS	1738	Summer	Henley Lake	Scapula	Collection 7	227/Collection7/1738	1738/Collection7/227
HLS1C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249
HLS2C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249
HLS3C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249
HLS4C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249
HLS5C8CS	1980	Summer	Henley Lake	Scapula	Collection 8 	249/Collection8/1980	1980/Collection8/249
HLS1C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269
HLS2C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269
HLS3C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269
HLS4C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269
HLS5C9CS	2224	Summer	Henley Lake	Scapula	Collection 9 	269/Collection9/2224	2224/Collection9/269
HLS1C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291
HLS2C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291
HLS3C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291
HLS4C10CS	2496	Summer	Henley Lake	Scapula	Collection 10 	291/Collection10/2496	2496/Collection10/291
HLS2C11CS	2784	Fall	Henley Lake	Scapula	Collection 11	310/Collection11/2784	2784/Collection11/310
HLS3C11CS	2784	Fall	Henley Lake	Scapula	Collection 11	310/Collection11/2784	2784/Collection11/310
HLS4C11CS	2784	Fall	Henley Lake	Scapula	Collection 11	310/Collection11/2784	2784/Collection11/310
