Sample	Actual Collected ADD	Season1	Location	Sample Type	Collection	DaysCollectionADD	ADDCollectionDays	Days	ADD_Days	ADD	Season	Temp	SpCond	Sal	Orp	DO	pH	Dosat
HLS1BCS	0	Fall	Henley Lake	Scapula	Baseline	0/Baseline/0	0/Baseline/0	0	0/0	0	3	NA	NA	NA	NA	NA	NA	NA
HLS2BCS	0	Fall	Henley Lake	Scapula	Baseline	0/Baseline/0	0/Baseline/0	0	0/0	0	3	NA	NA	NA	NA	NA	NA	NA
HLS1C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23	23	249/23	249	3	5.183706284	79.65572963	0.036957276	179.9259186	3.538512923	7.357847532	27.73137093
HLS2C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23	23	249/23	249	3	5.183706284	79.65572963	0.036957276	179.9259186	3.538512923	7.357847532	27.73137093
HLS3C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23	23	249/23	249	3	5.183706284	79.65572963	0.036957276	179.9259186	3.538512923	7.357847532	27.73137093
HLS4C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23	23	249/23	249	3	5.183706284	79.65572963	0.036957276	179.9259186	3.538512923	7.357847532	27.73137093
HLS5C1CS	249	Fall	Henley Lake	Scapula	Collection 1	23/Collection1/249	249/Collection1/23	23	249/23	249	3	5.183706284	79.65572963	0.036957276	179.9259186	3.538512923	7.357847532	27.73137093
HLS1C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72	72	489/72	489	2	NA	NA	NA	NA	NA	NA	NA
HLS2C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72	72	489/72	489	2	NA	NA	NA	NA	NA	NA	NA
HLS3C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72	72	489/72	489	2	NA	NA	NA	NA	NA	NA	NA
HLS4C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72	72	489/72	489	2	NA	NA	NA	NA	NA	NA	NA
HLS5C2CS	489	Winter	Henley Lake	Scapula	Collection 2	72/Collection2/489	489/Collection2/72	72	489/72	489	2	NA	NA	NA	NA	NA	NA	NA
HLS1C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114	114	727/114	727	2	NA	NA	NA	NA	NA	NA	NA
HLS2C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114	114	727/114	727	2	NA	NA	NA	NA	NA	NA	NA
HLS3C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114	114	727/114	727	2	NA	NA	NA	NA	NA	NA	NA
HLS4C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114	114	727/114	727	2	NA	NA	NA	NA	NA	NA	NA
HLS5C3CS	727	Winter	Henley Lake	Scapula	Collection 3	114/Collection3/727	727/Collection3/114	114	727/114	727	2	NA	NA	NA	NA	NA	NA	NA
HLS1C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150	150	989/150	989	1	NA	NA	NA	NA	NA	NA	NA
HLS2C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150	150	989/150	989	1	NA	NA	NA	NA	NA	NA	NA
HLS3C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150	150	989/150	989	1	NA	NA	NA	NA	NA	NA	NA
HLS4C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150	150	989/150	989	1	NA	NA	NA	NA	NA	NA	NA
HLS5C4CS	989	Spring	Henley Lake	Scapula	Collection 4	150/Collection4/989	989/Collection4/150	150	989/150	989	1	NA	NA	NA	NA	NA	NA	NA
HLS1C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178	178	1242/178	1242	1	NA	NA	NA	NA	NA	NA	NA
HLS2C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178	178	1242/178	1242	1	NA	NA	NA	NA	NA	NA	NA
HLS3C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178	178	1242/178	1242	1	NA	NA	NA	NA	NA	NA	NA
HLS4C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178	178	1242/178	1242	1	NA	NA	NA	NA	NA	NA	NA
HLS5C5CS	1242	Spring	Henley Lake	Scapula	Collection 5	178/Collection5/1242	1242/Collection5/178	178	1242/178	1242	1	NA	NA	NA	NA	NA	NA	NA
HLS1C6CS	1490	Spring	Henley Lake	Scapula	Collection 6	204/Collection6/1490	1490/Collection6/204	204	1490/204	1490	1	9.294307933	77.57003156	0.035988875	185.4355756	1.013183937	6.711923038	8.837172564
