"taxon","taxaColors"
"Comamonadaceae","#5A5156"
"Holophagaceae","#E4E1E3"
"Pseudomonadaceae","#F6222E"
"Rhodocyclaceae","#FE00FA"
"Spirochaetaceae","#16FF32"
"Syntrophomonadaceae","#3283FE"
"Pirellulaceae","#FEAF16"
"Rhodospirillaceae","#B00068"
"Ruminococcaceae","#1CFFCE"
"Sediment_4","#90AD1C"
"Streptomycetaceae","#2ED9FF"
"Xanthobacteraceae","#DEA0FD"
"Campylobacteraceae","#AA0DFE"
"Crenotrichaceae","#F8A19F"
"Dethiosulfovibrionaceae","#325A9B"
"Rikenellaceae","#C4451C"
"Syntrophaceae","#1C8356"
"Enterobacteriaceae","#85660D"
"Phormidiaceae","#B10DA1"
"Methylococcaceae","#FBE426"
"Synechococcaceae","#1CBE4F"
"Xanthomonadaceae","#FA0087"
"Chthoniobacteraceae","#FC1CBF"
"Moraxellaceae","#F7E1A0"
"Methylocystaceae","#C075A6"
"Desulfobulbaceae","#782AB6"
